Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
1673371229636129,Pamela Rendi-Wagner,SPÖ,284954,1582
32984679070,Greenpeace Österreich,Greenpeace Österreich,279677,11696
77393060080,SPÖ,SPÖ,260994,1566
1650580648552563,Norbert Hofer,FPÖ,255426,292
135953609780627,Dominik Nepp,FPÖ-Wien,219362,612
105151752909840,Sebastian Kurz,Volkspartei,184491,1816
21759893033,Die Grünen,Die Grünen,183989,331
88676876113,Die Grünen Wien,die Grünen Wien,164979,1364
169051073236170,FPÖ,FPÖ,134108,195
178362315106,European Parliament,European Parliament,132784,882
1977684662509834,Herbert Kickl,FPÖ,119938,224
547597092025909,Harald Vilimsky,FPÖ,119397,131
110971788921077,Stadt Wien,Stadt Wien,111738,987
469284460250113,Unser Niederösterreich,Unser Niederösterreich,102512,4022
30925241455,Amnesty International Austria,Amnesty International Austria,101221,796
97997637890,Die Grünen Steiermark,Die Grünen Steiermark,98122,538
1047221682152437,Christoph Wiederkehr,NEOS Wien,95418,1251
1644414509160673,Gernot Blümel,Neue Volkspartei Wien,92557,3664
580791221952500,NEOS Wien,NEOS Wien,88435,1089
88108406133,SPÖ Wien,SPÖ Wien,86996,899
1079650008770485,kontrast.at,kontrast.at,83563,2693
36714973506,VIER PFOTEN,VIER PFOTEN,80249,414
590930261019192,Maximilian Krauss,FPÖ-Wien,77898,554
1786588968220782,Thomas Stelzer,OÖVP - die Oberösterreichische Volkspartei,76459,992
243225039137708,Beate Meinl-Reisinger,NEOS,76300,1170
107152329360788,Arbeiterkammer,Arbeiterkammer,69841,136
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,66610,350
288143841600204,refurbed,These ads ran without a disclaimer,65826,21
179085222154531,ÖGB,ÖGB,60448,713
1576711892460949,Sandra Krautwaschl,Die Grünen Steiermark,49804,246
66095458281,Mario Kunasek,FPÖ - Landespartei Steiermark,48927,197
289163077789256,OÖVP - die Oberösterreichische Volkspartei,Oberösterreichische Volkspartei,47942,900
1642678769161065,oekoreich,Tierschutzvolksbegehren,41868,3776
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,41075,1096
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,41004,86
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,40986,202
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),40968,735
141015722773374,Angelika Winzig,Wirtschaftsbund Österreich,39633,1998
328018270709073,Michael Ludwig,Michael Ludwig,38444,627
59212737281,UNICEF Österreich,UNICEF Österreich,37741,750
191576624211837,KOSMO,KOSMO,37403,1527
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,37365,15
185269004912086,Volkspartei Niederösterreich,Volkspartei Niederösterreich,36514,1062
248450014269,ServusTV,ServusTV,36249,1563
447992848717452,Claudia Gamon,NEOS,36024,316
327450964017497,NEOS,NEOS,35613,607
333112690117618,Niederösterreichs Bauern,Niederösterreichischer Bauernbund,35501,1302
208930355786005,SPÖ Oberösterreich,SPÖ Oberösterreich,33862,375
133612666671985,Werner Kogler,Die Grünen,33128,79
61156663040,Neue Volkspartei Wien,Neue Volkspartei Wien,32626,819
63702522062,WWF Austria,WWF Österreich,32571,111
136345101209,VGT Austria,VGT Austria,32477,90
200969413280005,Shell,Shell,32358,36
709246016127897,Partei JETZT,JETZT Liste Pilz,31838,977
991628130904203,Wochenblick,Wochenblick,30598,214
118665682807424,Moment Magazin,Momentum Institut,30358,743
1161003557243992,Michael Schickhofer,SPÖ Steiermark,30110,264
1446536545429987,Wir für Kurz,Volkspartei,29436,447
328437010251,KPÖ Steiermark,KPÖ Steiermark,29012,667
674089153034374,Zack Zack,ZackZack.at,28935,370
290881691011354,Andreas Schieder,SPÖ,27367,136
100606758196849,Servus Nachrichten,ServusTV,27237,1106
124468054313069,Europäisches Parlament Österreich,Europäisches Parlament Österreich,26604,102
104474334446669,Ärzte ohne Grenzen,Ärzte ohne Grenzen,25550,223
114141426894419,Barbara Novak,Barbara Novak,24622,185
494195290313,Udo Landbauer,FPÖ Niederösterreich,23800,161
1806220812928034,Unser Vorarlberg,Unser Vorarlberg,23314,103
339052456846258,Treecelet,These ads ran without a disclaimer,22754,456
141720165842248,Hermann Schützenhöfer,Steirische Volkspartei,22192,514
187626534620326,Europäische Kommission - Vertretung in Österreich,Europäische Kommission - Vertretung in Österreich,22036,796
530256460340682,Stephan Pernkopf,Niederösterreichischer Bauernbund,21969,1380
109044023134793,Addendum,Addendum,21662,126
144875605538239,Weiterbildung in Wien | waff,waff,21060,258
2070651056581316,Birgit Hebein,die Grünen Wien,20721,268
221596214615300,Christian Scheider,Team Kärnten,20687,132
260745781726,Wien Energie,Wien Energie,20460,70
285450705396575,Klimavolksbegehren,Klimavolksbegehren,19911,450
205993832779281,Österreichische Post AG,Österreichische Post AG,19820,31
103555998811,SPAR Österreich,SPAR Österreich,19817,33
146059822108485,PRO-GE,PRO-GE,19170,608
601896713271070,INTERSPAR,INTERSPAR,19062,35
74865038590,HC Strache,FPÖ,17880,67
1553709981598439,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesministerium für Digitalisierung und Wirtschaftsstandort,17565,580
312134126182731,Arbeit&Wirtschaft Magazin,Arbeit&Wirtschaft Magazin,17376,415
833013456857401,Partei JETZT Bund,NR KLUB JETZT,17362,417
759821000889678,Martin Staudinger,SPÖ Vorarlberg,17210,89
1453456681442623,neudenkenheisst,neudenkenheisst,17156,18
204532472901378,Arbeiterkammer Vorarlberg,Arbeiterkammer Vorarlberg,16325,76
1929623263924061,Jürgen Czernohorszky,Jürgen Czernohorszky,16291,194
190177211135791,Markus Abwerzger,FPÖ Tirol - die Tiroler Freiheitlichen,16210,50
2070651056581316,Birgit Hebein,Die Grünen Wien,15199,37
118700824845222,Salzburg AG,Salzburg AG,15070,271
217664835989,Sozialdemokratischer Wirtschaftsverband Wien,Sozialdemokratischer Wirtschaftsverband Wien,15040,314
555818617899843,Österrechtssicher - für Rechtssicherheit und Standortqualität,Österrechtssicher - für Rechtssicherheit und Standortqualität,14949,1502
676447579157395,Ingrid Korosec,Österreichischer Seniorenbund,14718,135
382186268590822,ADF International,ADF International,14697,32
513008922374813,Johannes Schmuckenschlager,Niederösterreichischer Bauernbund,14566,1021
197818597454,e-control,e-control,14531,1412
120645121372982,WKO Steiermark,WKO Steiermark,14221,238
127399223970566,Peter Pilz,NR KLUB JETZT,14126,203
163811269488,CARE Österreich,CARE Österreich,14071,223
143456819025728,SPÖ Steiermark,SPÖ Steiermark,14032,254
624525897689879,Markus Hein,FPÖ Linz,13952,261
187610388402683,Die Furche,DIE FURCHE,13823,105
102283805101,Penny Markt Österreich,Penny Markt Österreich,13808,25
704977523027128,Hans Peter Doskozil,SPÖ Burgenland,13696,39
179480532112410,LICHT FÜR DIE WELT,Licht für die Welt,13670,183
1025756670829069,Industriellenvereinigung OÖ,Industriellenvereinigung Oberösterreich,13537,130
845037255507872,UNOS - Unternehmerisches Österreich,NEOS - Unternehmerisches Österreich,13519,95
222545151104986,XXXLutz Österreich,XXXLutz KG,13364,21
424384408037670,Niko Swatek,NEOS Steiermark,13226,76
36714973506,VIER PFOTEN,These ads ran without a disclaimer,13159,47
192920500725823,Wirtschaftsbund Wien | Wirtschaft in Wien,Wirtschaftsbund Wien | Wirtschaft in Wien,12849,229
233694330135809,Volkspartei Burgenland - ÖVP,Neue Volkspartei Burgenland,12600,205
271890971724,SWV - Salzburger Wirtschaftsverband,Salzburger Wirtschaftsverband (SWV),11828,131
212990319049096,Herwig Mahr,Freiheitlicher Landtagsklub Oberösterreich,11757,152
214499840736,Gewerkschaft GPA,GPA-djp,11695,176
124298681063701,Freiheitliche Bauernschaft Oberösterreich,Freiheitliche Bauernschaft Oberösterreich,11514,156
200201856970,Arbeiterkammer Niederösterreich,Arbeiterkammer Niederösterreich,11238,81
10150145829810364,SPÖ Kärnten,SPÖ Kärnten,11219,109
554259997948372,Junge Generation Wien,Junge Generation Wien,11174,41
