Page ID,Page Name,Disclaimer,Amount Spent (EUR)
704977523027128,Hans Peter Doskozil,SPÖ Burgenland,13696
233694330135809,Volkspartei Burgenland - ÖVP,Neue Volkspartei Burgenland,12105
136345101209,VGT Austria,VGT Austria,9950
1650580648552563,Norbert Hofer,FPÖ,7556
1673371229636129,Pamela Rendi-Wagner,SPÖ,6131
77393060080,SPÖ,SPÖ,5325
111438265554855,Die Grünen Burgenland,Die Grünen Burgenland,5115
32984679070,Greenpeace Österreich,Greenpeace Österreich,4776
105151752909840,Sebastian Kurz,Volkspartei,3956
1977684662509834,Herbert Kickl,FPÖ,3498
237290919634390,SPÖ Burgenland,SPÖ Burgenland,3423
104365891155211,Christian Sagartz,EVP Fraktion im Europäischen Parlament,3000
103727497761628,Jonny Mezgolits,Johannes Mezgolits,2951
169051073236170,FPÖ,FPÖ,2942
327450964017497,NEOS,NEOS,2822
243225039137708,Beate Meinl-Reisinger,NEOS,2460
1232990493514860,Christian Dax,SPÖ Burgenland,2345
410005752926822,Maximilian Köllner,SPÖ Burgenland,2322
547597092025909,Harald Vilimsky,FPÖ,2211
1232990493514860,Christian Dax,Christian Dax,1987
178362315106,European Parliament,European Parliament,1962
135953609780627,Dominik Nepp,FPÖ-Wien,1738
1079650008770485,kontrast.at,kontrast.at,1724
36714973506,VIER PFOTEN,VIER PFOTEN,1604
30925241455,Amnesty International Austria,Amnesty International Austria,1454
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,1450
179085222154531,ÖGB,ÖGB,1352
107152329360788,Arbeiterkammer,Arbeiterkammer,1256
21759893033,Die Grünen,Die Grünen,1205
447992848717452,Claudia Gamon,NEOS,1182
288143841600204,refurbed,These ads ran without a disclaimer,1134
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,1105
883898518343007,Wirtschaftsbund Burgenland,Wirtschaftsbund Burgenland (ÖWB),1024
540667376103323,Christoph Wolf,Neue Volkspartei Burgenland,979
59212737281,UNICEF Österreich,UNICEF Österreich,965
590930261019192,Maximilian Krauss,FPÖ-Wien,897
1642678769161065,oekoreich,Tierschutzvolksbegehren,889
577178945818094,Patrik Fazekas,Patrik Fazekas,835
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,788
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,764
469284460250113,Unser Niederösterreich,Unser Niederösterreich,760
709246016127897,Partei JETZT,JETZT Liste Pilz,691
516894598642204,Christoph Zarits,Christoph Zarits,687
1446536545429987,Wir für Kurz,Volkspartei,685
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,666
248450014269,ServusTV,ServusTV,658
233694330135809,Volkspartei Burgenland - ÖVP,These ads ran without a disclaimer,652
107091724060249,Thomas Ranits,Thomas Ranits,646
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),611
105853361756,Klimabündnis Österreich,Klimabündnis Österreich,608
200969413280005,Shell,Shell,600
991628130904203,Wochenblick,Wochenblick,571
63702522062,WWF Austria,WWF Österreich,568
874442619290818,Alexander Petschnig,Mario Jaksch,555
674089153034374,Zack Zack,ZackZack.at,549
100606758196849,Servus Nachrichten,ServusTV,534
191576624211837,KOSMO,KOSMO,502
339052456846258,Treecelet,These ads ran without a disclaimer,501
103555998811,SPAR Österreich,SPAR Österreich,463
290881691011354,Andreas Schieder,SPÖ,458
105516467622306,Julia Kernbichler,NEOS – Das Neue Österreich und Liberales Forum,451
601896713271070,INTERSPAR,INTERSPAR,429
146059822108485,PRO-GE,PRO-GE,422
124468054313069,Europäisches Parlament Österreich,Europäisches Parlament Österreich,420
118665682807424,Moment Magazin,Momentum Institut,414
555818617899843,Österrechtssicher - für Rechtssicherheit und Standortqualität,Österrechtssicher - für Rechtssicherheit und Standortqualität,402
100596009988354,Junge ÖVP Burgenland,Junge ÖVP Burgenland,398
605492313163490,Mario Jaksch,Mario Jaksch,394
197818597454,e-control,e-control,390
109044023134793,Addendum,Addendum,389
730853657375290,Petra Vorderwinkler,SPÖ Bezirksorganisation Wiener Neustadt,384
285433111304,Arbeiterkammer Burgenland,Arbeiterkammer Burgenland,375
187626534620326,Europäische Kommission - Vertretung in Österreich,Europäische Kommission - Vertretung in Österreich,374
127399223970566,Peter Pilz,NR KLUB JETZT,363
1553709981598439,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesministerium für Digitalisierung und Wirtschaftsstandort,343
2086204581690561,Daniela Winkler,Daniela Winkler,329
104474334446669,Ärzte ohne Grenzen,Ärzte ohne Grenzen,328
1453456681442623,neudenkenheisst,neudenkenheisst,327
102283805101,Penny Markt Österreich,Penny Markt Österreich,322
136345101209,VGT Austria,These ads ran without a disclaimer,314
375211826377606,SPÖ Eisenstadt,SPÖ Burgenland,311
833013456857401,Partei JETZT Bund,NR KLUB JETZT,307
163811269488,CARE Österreich,CARE Österreich,305
74865038590,HC Strache,FPÖ,298
333112690117618,Niederösterreichs Bauern,Niederösterreichischer Bauernbund,296
540667376103323,Christoph Wolf,Christoph Wolf,295
351458116797,Drei Hilft,Drei Hilft,293
364093897023468,FSG - Fraktion Sozialdemokratischer GewerkschafterInnen,FSG,292
222545151104986,XXXLutz Österreich,XXXLutz KG,289
1087405348083449,Wir Swietelskys,Wir Swietelskys,287
2086204581690561,Daniela Winkler,SPÖ Burgenland,287
1747634522153436,wirwimpassinger.at,Ernst Edelmann,269
185269004912086,Volkspartei Niederösterreich,Volkspartei Niederösterreich,265
153646681329693,Debra Austria - Schmetterlingskinder,Debra Austria - Schmetterlingskinder,260
312134126182731,Arbeit&Wirtschaft Magazin,Arbeit&Wirtschaft Magazin,254
187610388402683,Die Furche,DIE FURCHE,253
