Page ID,Page Name,Disclaimer,Amount Spent (EUR)
221596214615300,Christian Scheider,Team Kärnten,20662
1650580648552563,Norbert Hofer,FPÖ,15979
1673371229636129,Pamela Rendi-Wagner,SPÖ,15146
32984679070,Greenpeace Österreich,Greenpeace Österreich,12870
77393060080,SPÖ,SPÖ,11968
10150145829810364,SPÖ Kärnten,SPÖ Kärnten,11211
105151752909840,Sebastian Kurz,Volkspartei,10723
169051073236170,FPÖ,FPÖ,8026
1009883082372196,Wolfgang Germ,FPÖ Klagenfurt,8013
1977684662509834,Herbert Kickl,FPÖ,7723
21759893033,Die Grünen,Die Grünen,7227
547597092025909,Harald Vilimsky,FPÖ,6659
178362315106,European Parliament,European Parliament,6318
135953609780627,Dominik Nepp,FPÖ-Wien,6185
123088887505,Die Grünen Klagenfurt,Die Grünen Klagenfurt,5651
180714714229,Wirtschaftsbund Kärnten,Wirtschaftsbund Kärnten,5341
157998714247048,Kelag Energie,Kelag Energie,5337
313126519912,Grüne Wirtschaft,Grüne Wirtschaft Kärnten,4795
30925241455,Amnesty International Austria,Amnesty International Austria,4613
1079650008770485,kontrast.at,kontrast.at,4516
243225039137708,Beate Meinl-Reisinger,NEOS,4378
36714973506,VIER PFOTEN,VIER PFOTEN,4143
179085222154531,ÖGB,ÖGB,3804
107152329360788,Arbeiterkammer,Arbeiterkammer,3789
288143841600204,refurbed,These ads ran without a disclaimer,3650
89860257881,Die Grünen Kärnten,Die Grünen Kärnten,3580
177249618154,Wirtschaftskammer Kärnten,Wirtschaftskammer Kärnten,3578
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,3454
1984417311801353,SPÖ Villach,SPÖ Gemeinderatsklub Villach,3352
518934634790241,Peter Kaiser,Peter Kaiser,3214
1462204054018643,Die Grünen Villach,Die Grünen Villach,3159
204506393265598,Maria-Luise Mathiaschitz,Maria-Luise Mathiaschitz-Tschabuschnig,3088
590930261019192,Maximilian Krauss,FPÖ-Wien,3020
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,2719
107504594436953,Katharina Spanring,Katharina Spanring,2661
283128991798475,Neue Volkspartei Wernberg - ÖVP,Neue Volkspartei Wernberg - ÖVP,2516
248450014269,ServusTV,ServusTV,2493
105521128057258,Liste Karl Tillian,the Lounge iD,2469
59212737281,UNICEF Österreich,UNICEF Österreich,2466
1642678769161065,oekoreich,Tierschutzvolksbegehren,2422
