Page ID,Page Name,Disclaimer,Amount Spent (EUR)
469284460250113,Unser Niederösterreich,Unser Niederösterreich,58137
185269004912086,Volkspartei Niederösterreich,Volkspartei Niederösterreich,33814
32984679070,Greenpeace Österreich,Greenpeace Österreich,28537
1650580648552563,Norbert Hofer,FPÖ,28083
1673371229636129,Pamela Rendi-Wagner,SPÖ,26080
77393060080,SPÖ,SPÖ,23481
105151752909840,Sebastian Kurz,Volkspartei,20365
494195290313,Udo Landbauer,FPÖ Niederösterreich,17437
169051073236170,FPÖ,FPÖ,15600
1977684662509834,Herbert Kickl,FPÖ,14025
530256460340682,Stephan Pernkopf,Niederösterreichischer Bauernbund,11441
178362315106,European Parliament,European Parliament,10858
547597092025909,Harald Vilimsky,FPÖ,10823
333112690117618,Niederösterreichs Bauern,Niederösterreichischer Bauernbund,10012
135953609780627,Dominik Nepp,FPÖ-Wien,9684
133236800088221,Wirtschaftskammer Niederösterreich,Wirtschaftskammer Niederösterreich,9637
135151521624818,Paul Nemecek,Niederösterreichischer Bauernbund,9457
36714973506,VIER PFOTEN,VIER PFOTEN,8739
21759893033,Die Grünen,Die Grünen,8650
243225039137708,Beate Meinl-Reisinger,NEOS,8309
513008922374813,Johannes Schmuckenschlager,Niederösterreichischer Bauernbund,8062
232384033932443,Franz Schnabl,SPÖ Niederösterreich,7952
30925241455,Amnesty International Austria,Amnesty International Austria,7771
1079650008770485,kontrast.at,kontrast.at,7576
200201856970,Arbeiterkammer Niederösterreich,Arbeiterkammer Niederösterreich,7123
188887757808410,Freiheitliche Wirtschaft - FW Niederösterreich,FW Niederösterreich,6747
179085222154531,ÖGB,ÖGB,6179
107152329360788,Arbeiterkammer,Arbeiterkammer,6169
405258869591356,Matthias Stadler,SPÖ St. Pölten,5861
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,5849
263099607043637,Sozialdemokratischer Wirtschaftsverband Nö,Karin Seim,5820
288143841600204,refurbed,These ads ran without a disclaimer,5564
1671975986419954,Klaus Otzelberger,FPÖ St. Pölten,5368
554259997948372,Junge Generation Wien,Junge Generation Wien,5140
102656171738851,Menschen und Arbeit,MAG Menschen und Arbeit,5060
1265927890114720,Johanna Mikl-Leitner,Volkspartei Niederösterreich,4982
59212737281,UNICEF Österreich,UNICEF Österreich,4912
1642678769161065,oekoreich,Tierschutzvolksbegehren,4830
590930261019192,Maximilian Krauss,FPÖ-Wien,4635
441223455916739,NEOS Niederösterreich,NEOS Niederösterreich,4538
806694216374998,Günther Sidl,BSA Niederösterreich,4495
150623338441911,FPÖ Niederösterreich,FPÖ Niederösterreich,4170
1216506725144043,SPÖ St. Pölten,SPÖ St. Pölten,4141
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,4103
192920500725823,Wirtschaftsbund Wien | Wirtschaft in Wien,Wirtschaftsbund Wien | Wirtschaft in Wien,4042
197901646910079,Matthias Adl,Volkspartei St. Pölten,3966
709246016127897,Partei JETZT,JETZT Liste Pilz,3932
248450014269,ServusTV,ServusTV,3843
436914289678818,Lukas Mandl,Verein VSM - Vorzugsstimmen für Mandl,3834
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,3699
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,3677
338414409618012,Robert Lugar,Robert Lugar,3381
217664835989,Sozialdemokratischer Wirtschaftsverband Wien,Sozialdemokratischer Wirtschaftsverband Wien,3341
1446536545429987,Wir für Kurz,Volkspartei,3267
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),3162
327450964017497,NEOS,NEOS,3099
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,3053
108387904030820,Tullner Volkspartei,TVP,2989
200969413280005,Shell,Shell,2982
991628130904203,Wochenblick,Wochenblick,2847
674089153034374,Zack Zack,ZackZack.at,2828
629343643924060,Florian Krumböck,Florian Krumböck,2817
191576624211837,KOSMO,KOSMO,2803
100606758196849,Servus Nachrichten,ServusTV,2797
63702522062,WWF Austria,WWF Österreich,2743
124468054313069,Europäisches Parlament Österreich,Europäisches Parlament Österreich,2727
339052456846258,Treecelet,These ads ran without a disclaimer,2660
627580790692097,Gottfried Waldhäusl,FPÖ Niederösterreich,2604
146059822108485,PRO-GE,PRO-GE,2574
118665682807424,Moment Magazin,Momentum Institut,2491
136345101209,VGT Austria,VGT Austria,2431
1265927890114720,Johanna Mikl-Leitner,These ads ran without a disclaimer,2391
103555998811,SPAR Österreich,SPAR Österreich,2331
2332245683766582,Stadtrat Gert Zaunbauer,These ads ran without a disclaimer,2302
447992848717452,Claudia Gamon,NEOS,2249
1211909708930114,Ludwig Schleritzko,Niederösterreichischer Bauernbund,2208
197818597454,e-control,e-control,2140
1398828600158379,Die Grünen Tulln,Die Grünen Tulln,2079
1603656483194698,Klaus Schneeberger,Klaus Schneeberger,2079
113830246653029,Oliver Prosenbauer,Volkspartei Brunn am Gebirge,2039
530256460340682,Stephan Pernkopf,These ads ran without a disclaimer,2010
806694216374998,Günther Sidl,SPÖ Niederösterreich,2000
601896713271070,INTERSPAR,INTERSPAR,1973
105005127575470,Bürgermeister Stefan Szirucsek,Volkspartei Baden,1924
290881691011354,Andreas Schieder,SPÖ,1923
187626534620326,Europäische Kommission - Vertretung in Österreich,Europäische Kommission - Vertretung in Österreich,1895
109044023134793,Addendum,Addendum,1883
845037255507872,UNOS - Unternehmerisches Österreich,NEOS - Unternehmerisches Österreich,1865
104474334446669,Ärzte ohne Grenzen,Ärzte ohne Grenzen,1820
555818617899843,Österrechtssicher - für Rechtssicherheit und Standortqualität,Österrechtssicher - für Rechtssicherheit und Standortqualität,1794
