Page ID,Page Name,Disclaimer,Amount Spent (EUR)
32984679070,Greenpeace Österreich,Greenpeace Österreich,16101
118700824845222,Salzburg AG,Salzburg AG,14737
1650580648552563,Norbert Hofer,FPÖ,13894
1673371229636129,Pamela Rendi-Wagner,SPÖ,13458
105151752909840,Sebastian Kurz,Volkspartei,12581
271890971724,SWV - Salzburger Wirtschaftsverband,Salzburger Wirtschaftsverband (SWV),11824
77393060080,SPÖ,SPÖ,10981
21759893033,Die Grünen,Die Grünen,9970
178362315106,European Parliament,European Parliament,7974
169051073236170,FPÖ,FPÖ,6943
1977684662509834,Herbert Kickl,FPÖ,6693
547597092025909,Harald Vilimsky,FPÖ,6674
348653935649916,David Egger,SPÖ Salzburg,6497
30925241455,Amnesty International Austria,Amnesty International Austria,5081
135953609780627,Dominik Nepp,FPÖ-Wien,4502
36714973506,VIER PFOTEN,VIER PFOTEN,4321
243225039137708,Beate Meinl-Reisinger,NEOS,4243
288143841600204,refurbed,These ads ran without a disclaimer,4075
107152329360788,Arbeiterkammer,Arbeiterkammer,4022
1079650008770485,kontrast.at,kontrast.at,3694
243190742384882,Salzburger Volkspartei,Salzburger Volkspartei,3320
179085222154531,ÖGB,ÖGB,3128
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,3046
63702522062,WWF Austria,WWF Österreich,2731
248450014269,ServusTV,ServusTV,2680
1228315510588654,Barbara Unterkofler,Salzburger Volkspartei - Salzburg Stadt,2549
181380276584,Arbeiterkammer Salzburg,Arbeiterkammer Salzburg,2406
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,2406
548091638575123,KPÖ PLUS Salzburg,KPÖ PLUS,2381
447992848717452,Claudia Gamon,NEOS,2321
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),2269
162205823976077,Harry Preuner,Salzburger Volkspartei - Salzburg Stadt,2242
590930261019192,Maximilian Krauss,FPÖ-Wien,2240
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,2167
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,2160
127656051119,Die GRÜNEN Salzburg,Die GRÜNEN Salzburg,2115
1642678769161065,oekoreich,Tierschutzvolksbegehren,2081
59212737281,UNICEF Österreich,UNICEF Österreich,2078
200969413280005,Shell,Shell,2034
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,2016
100606758196849,Servus Nachrichten,ServusTV,1953
133612666671985,Werner Kogler,Die Grünen,1809
1446536545429987,Wir für Kurz,Volkspartei,1756
191576624211837,KOSMO,KOSMO,1743
327450964017497,NEOS,NEOS,1652
709246016127897,Partei JETZT,JETZT Liste Pilz,1542
2117478935181987,Andrea Klambauer,NEOS Salzburg,1475
339052456846258,Treecelet,These ads ran without a disclaimer,1472
49835536470,Wilfried Haslauer,Salzburger Volkspartei,1464
124468054313069,Europäisches Parlament Österreich,Europäisches Parlament Österreich,1442
1580540041983231,Karoline Edtstadler,Salzburger Volkspartei,1431
1147311425310768,Bernhard Auinger,SPÖ Salzburg Stadt,1350
136345101209,VGT Austria,VGT Austria,1334
991628130904203,Wochenblick,Wochenblick,1293
104474334446669,Ärzte ohne Grenzen,Ärzte ohne Grenzen,1292
674089153034374,Zack Zack,ZackZack.at,1239
187626534620326,Europäische Kommission - Vertretung in Österreich,Europäische Kommission - Vertretung in Österreich,1217
109044023134793,Addendum,Addendum,1203
601896713271070,INTERSPAR,INTERSPAR,1145
1553709981598439,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesministerium für Digitalisierung und Wirtschaftsstandort,1130
74865038590,HC Strache,FPÖ,1125
103555998811,SPAR Österreich,SPAR Österreich,1122
524715477879465,Stefan Schnöll,Salzburger Volkspartei,1115
285450705396575,Klimavolksbegehren,Klimavolksbegehren,1069
469284460250113,Unser Niederösterreich,Unser Niederösterreich,1044
