Page ID,Page Name,Disclaimer,Amount Spent (EUR)
97997637890,Die Grünen Steiermark,Die Grünen Steiermark,97213
1576711892460949,Sandra Krautwaschl,Die Grünen Steiermark,48564
66095458281,Mario Kunasek,FPÖ - Landespartei Steiermark,38254
1650580648552563,Norbert Hofer,FPÖ,36823
32984679070,Greenpeace Österreich,Greenpeace Österreich,34324
1673371229636129,Pamela Rendi-Wagner,SPÖ,33045
1161003557243992,Michael Schickhofer,SPÖ Steiermark,29857
328437010251,KPÖ Steiermark,KPÖ Steiermark,28941
77393060080,SPÖ,SPÖ,28056
105151752909840,Sebastian Kurz,Volkspartei,24016
141720165842248,Hermann Schützenhöfer,Steirische Volkspartei,22065
21759893033,Die Grünen,Die Grünen,20904
169051073236170,FPÖ,FPÖ,18102
1977684662509834,Herbert Kickl,FPÖ,17740
178362315106,European Parliament,European Parliament,15748
547597092025909,Harald Vilimsky,FPÖ,15071
120645121372982,WKO Steiermark,WKO Steiermark,14096
143456819025728,SPÖ Steiermark,SPÖ Steiermark,13868
424384408037670,Niko Swatek,NEOS Steiermark,12721
135953609780627,Dominik Nepp,FPÖ-Wien,11675
30925241455,Amnesty International Austria,Amnesty International Austria,11098
36714973506,VIER PFOTEN,VIER PFOTEN,9906
1079650008770485,kontrast.at,kontrast.at,9831
243225039137708,Beate Meinl-Reisinger,NEOS,9528
288143841600204,refurbed,These ads ran without a disclaimer,9200
150646191784125,NEOS Steiermark,NEOS Steiermark,8583
107152329360788,Arbeiterkammer,Arbeiterkammer,8241
109165729133109,FPÖ Steiermark,FPÖ Steiermark,8206
179085222154531,ÖGB,ÖGB,7681
193314717777382,Ich tu's für unsere Zukunft,Land Steiermark,6894
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,6740
609126565857760,Hannes Amesbauer,FPÖ Steiermark,6536
1629280467357033,Energie Steiermark,These ads ran without a disclaimer,6310
205993832779281,Österreichische Post AG,Österreichische Post AG,6157
102603287830946,Klima Champs,GW24,6109
590930261019192,Maximilian Krauss,FPÖ-Wien,5748
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,5548
310902773137927,SteierMag,SteierMag K&T VerlagsgmbH,5324
248450014269,ServusTV,ServusTV,5048
1642678769161065,oekoreich,Tierschutzvolksbegehren,5030
59212737281,UNICEF Österreich,UNICEF Österreich,4950
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,4627
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,4491
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),4343
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,4229
63702522062,WWF Austria,WWF Österreich,4185
153398965289347,Stefan Hermann,FPÖ Steiermark,4155
200969413280005,Shell,Shell,4150
128624867158781,KJÖ Steiermark,KJÖ Steiermark,3939
709246016127897,Partei JETZT,JETZT Liste Pilz,3924
447992848717452,Claudia Gamon,NEOS,3891
124931807725,Die Grazer Grünen,Die Grazer Grünen,3824
167792116901542,KPÖ Graz,KPÖ Steiermark,3792
1446536545429987,Wir für Kurz,Volkspartei,3784
327450964017497,NEOS,NEOS,3710
133612666671985,Werner Kogler,Die Grünen,3690
739818109749403,Hans Seitinger,Steirischer Bauernbund,3660
364914800206501,HiWay-TV,HiWay-TV,3532
674089153034374,Zack Zack,ZackZack.at,3509
100606758196849,Servus Nachrichten,ServusTV,3490
141998935555,Siegfried Nagl,Grazer Volkspartei,3429
165242983658276,Wolfgang Moitzi,SPÖ Steiermark,3349
991628130904203,Wochenblick,Wochenblick,3242
191576624211837,KOSMO,KOSMO,3215
140551609297017,Grazer Volkspartei,Grazer Volkspartei,3192
118665682807424,Moment Magazin,Momentum Institut,3148
146059822108485,PRO-GE,PRO-GE,3060
339052456846258,Treecelet,These ads ran without a disclaimer,3054
110825797507856,Andreas Lackner,Michael Peter Nehsl,3034
136345101209,VGT Austria,VGT Austria,2861
271653890354825,Judith Schwentner,Gemeinderatsklub der Grünen - ALG,2856
66095458281,Mario Kunasek,FPÖ - Landesgruppe Steiermark,2816
124468054313069,Europäisches Parlament Österreich,Europäisches Parlament Österreich,2749
109044023134793,Addendum,Addendum,2718
104474334446669,Ärzte ohne Grenzen,Ärzte ohne Grenzen,2642
278628109523836,Grüne Jugend Steiermark,Grüne Jugend Steiermark,2642
66095458281,Mario Kunasek,Freiheitlicher Landtagsklub Steiermark,2614
103555998811,SPAR Österreich,SPAR Österreich,2609
290881691011354,Andreas Schieder,SPÖ,2587
469284460250113,Unser Niederösterreich,Unser Niederösterreich,2517
187626534620326,Europäische Kommission - Vertretung in Österreich,Europäische Kommission - Vertretung in Österreich,2452
601896713271070,INTERSPAR,INTERSPAR,2440
285450705396575,Klimavolksbegehren,Klimavolksbegehren,2397
582553665182619,SPÖ Graz,SPÖ Graz,2358
308449055853283,Die gewerblichen Dienstleister,These ads ran without a disclaimer,2351
1553709981598439,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Bundesministerium für Digitalisierung und Wirtschaftsstandort,2279
141253455944936,Die Grünen Gleisdorf,Die Grünen Gleisdorf,2273
333112690117618,Niederösterreichs Bauern,Niederösterreichischer Bauernbund,2171
102283805101,Penny Markt Österreich,Penny Markt Österreich,2137
146871548675617,Österreichische Bundesbahnen (ÖBB),Österreichische Bundesbahnen (ÖBB),2125
74865038590,HC Strache,FPÖ,2101
555818617899843,Österrechtssicher - für Rechtssicherheit und Standortqualität,Österrechtssicher - für Rechtssicherheit und Standortqualität,2080
648280858667352,Mustafa Durmus,Junge Generation Steiermark,2037
833013456857401,Partei JETZT Bund,NR KLUB JETZT,2020
36714973506,VIER PFOTEN,These ads ran without a disclaimer,1989
2056235971275620,Doris Kampus,SPÖ Steiermark,1948
127439851282095,Frauen in Graz,Referat für Frauen und Gleichstellung,1893
127399223970566,Peter Pilz,NR KLUB JETZT,1890
197818597454,e-control,e-control,1836
1453456681442623,neudenkenheisst,neudenkenheisst,1824
268242501289,KSV Graz,KSV Graz,1748
1580540041983231,Karoline Edtstadler,Salzburger Volkspartei,1739
132022020234948,Sozialistische Jugend Steiermark,Sozialistische Jugend Steiermark,1726
1161003557243992,Michael Schickhofer,These ads ran without a disclaimer,1696
97997637890,Die Grünen Steiermark,These ads ran without a disclaimer,1690
222545151104986,XXXLutz Österreich,XXXLutz KG,1647
190177211135791,Markus Abwerzger,FPÖ Tirol - die Tiroler Freiheitlichen,1617
956239494404206,ÖVP Knittelfeld,Steirische Volkspartei Knittelfeld,1612
187610388402683,Die Furche,DIE FURCHE,1592
1087405348083449,Wir Swietelskys,Wir Swietelskys,1577
106609500908064,Volkspartei Schladming,Volkspartei Schladming,1552
114818145852,Steirische Volkspartei,Steirische Volkspartei,1551
605431019800888,Christopher Drexler,Steirischer ÖAAB,1470
351458116797,Drei Hilft,Drei Hilft,1465
103589107794909,Lambert Schönleitner,Lambert Schönleitner,1465
1576711892460949,Sandra Krautwaschl,These ads ran without a disclaimer,1430
312134126182731,Arbeit&Wirtschaft Magazin,Arbeit&Wirtschaft Magazin,1426
163811269488,CARE Österreich,CARE Österreich,1419
382186268590822,ADF International,ADF International,1402
123869807638653,Neue Zeit Steiermark,NeueZeit.at,1402
214499840736,Gewerkschaft GPA,GPA-djp,1382
205993832779281,Österreichische Post AG,These ads ran without a disclaimer,1365
79935247286,GRAS - Grüne & Alternative Student_innen,GRAS - Grüne & Alternative Student_innen,1325
547682338626814,Alpro,These ads ran without a disclaimer,1324
179480532112410,LICHT FÜR DIE WELT,Licht für die Welt,1316
168579689823006,FW Steiermark,Freiheitliche Wirtschaft Steiermark,1309
153646681329693,Debra Austria - Schmetterlingskinder,Debra Austria - Schmetterlingskinder,1277
639538052795950,SPÖ Obersteiermark Ost,SPÖ Obersteiermark Ost,1269
125946327466544,Wirtschaftskammer,Wirtschaftskammer,1255
110235809011155,Fazit,Klepej und Tandl,1251
1763537767213498,Michael Ehmann,SPÖ Graz,1250
505117229677565,SPÖ Bruck an der Mur,SPÖ Bruck a.d. Mur,1250
108410167265651,Hannes Schwarz,SPÖ Steiermark,1247
465178706993232,Marco Triller,FPÖ Leoben,1240
364093897023468,FSG - Fraktion Sozialdemokratischer GewerkschafterInnen,FSG,1237
305608429284,EU Environment,EU Environment,1224
111618073593156,Andreas Kinsky,Andreas Kinsky,1219
141366725876424,European Greens,European Greens,1202
145146972927688,Wissensministerium,Wissensministerium,1165
261850724850,Freiheitliche Jugend,Freiheitliche Jugend,1161
61474458710,unzensuriert.at,unzensuriert.at,1153
845037255507872,UNOS - Unternehmerisches Österreich,NEOS - Unternehmerisches Österreich,1150
212990319049096,Herwig Mahr,Freiheitlicher Landtagsklub Oberösterreich,1144
134093926635579,Grüne Wirtschaft,Grüne Wirtschaft,1133
1374291399474154,Die Grünen Leoben,Die Grünen Steiermark,1121
343169479232,Martin Balluch,JETZT - Liste Pilz,1118
114818145852,Steirische Volkspartei,These ads ran without a disclaimer,1109
533665483708070,Grüne Jugend - Grünalternative Jugend,Grüne Jugend - Grünalternative Jugend,1101
624525897689879,Markus Hein,FPÖ Linz,1101
320389701908367,1Europa,Peter Glawischnig,1080
627580790692097,Gottfried Waldhäusl,FPÖ Niederösterreich,1078
153398965289347,Stefan Hermann,Freiheitlicher Landtagsklub Steiermark,1078
848335845369202,Harald Mahrer,Wirtschaftskammer,1074
189754861125846,Grüne Wirtschaft,Grüne Wirtschaft,1072
1648447185409375,"Bundesministerium für Landwirtschaft, Regionen und Tourismus",Bundesministerium für Nachhaltigkeit und Tourismus,1070
456681887737163,Arbeit&Wirtschaft Blog,Arbeit&Wirtschaft Blog,1057
143456819025728,SPÖ Steiermark,These ads ran without a disclaimer,1050
674089153034374,Zack Zack,Zack Zack,1031
167792116901542,KPÖ Graz,KPÖ Graz,1015
974833556055459,Roman Haider,Roman Haider,1012
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1006
163510204203800,Reinhard Lerchbammer,Reinhard Lerchbammer,1004
1642678769161065,oekoreich,These ads ran without a disclaimer,997
1578931835519981,Bundeskanzleramt Österreich,These ads ran without a disclaimer,989
1757021334383139,Ernst Walisch,Ernst Walisch,984
1549820328632775,SPÖ Gratwein-Straßengel,SPÖ Gratwein-Straßengel,983
346842098763288,Freiheitliche Arbeitnehmer Oberösterreich,Freiheitliche Arbeitnehmer Oberösterreich,974
970551679819440,KPÖ Murtal,KPÖ Knittelfeld,973
494195290313,Udo Landbauer,FPÖ Niederösterreich,954
290881691011354,Andreas Schieder,Andreas Schieder,952
124298681063701,Freiheitliche Bauernschaft Oberösterreich,Freiheitliche Bauernschaft Oberösterreich,936
368448716589872,BMK Infothek,das BMK.,934
103539861208213,Karl Fischbacher,Volkspartei Ramsau,911
1499759610320321,Michael Raml,FPÖ Linz,907
635066389969752,Ursula Lackner,SPÖ Stmk,902
289185424484538,Nestlé,Nestlé,898
365568483560440,FPÖ Stadtpartei Leoben,FPÖ Leoben,896
180102758673855,Michael Schnedlitz,FPÖ,895
210611006028,whatchado,whatchado,884
230895353663747,VELUX,These ads ran without a disclaimer,870
73461917166,Gewerkschaft vida,Gewerkschaft vida,863
205710866133426,klima:aktiv,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie (BMK)",851
270975033018648,HELLWEG Die Profi-Baumärkte,These ads ran without a disclaimer,835
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,835
465360890182965,SPÖ Leoben,SPÖ Leoben-Stadt,832
231166380411824,JUNOS Studierende,JUNOS Studierende,823
447992848717452,Claudia Gamon,These ads ran without a disclaimer,821
2098670583594249,Elisabeth Krammel,Volkspartei Schladming,816
128624867158781,KJÖ Steiermark,KJÖ Graz,811
565501213543421,NEOS für Leibnitz,Heimo Kapeller,803
296676857050295,Wolfram Pirchner,Österreichischer Seniorenbund,801
808126865996594,European Dialogue Movement,Andreas Johannes Schröck,795
436914289678818,Lukas Mandl,Verein VSM - Vorzugsstimmen für Mandl,779
219229104837753,SWV - Sozialdemokratischer Wirtschaftsverband Österreich,Sozialdemokratischer Wirtschaftsverband Österreich,759
1583324305255890,Sebastian Bohrn Mena,Tierschutzvolksbegehren,754
1931909046860532,Aus unserer Region,GW24,752
1326183970737367,OMV,OMV,750
575477015936411,BMI - Bundesministerium für Inneres,BMI - Bundesministerium für Inneres,745
170335519841639,SPÖ Trofaiach,SPÖ Trofaiach,738
833013456857401,Partei JETZT Bund,JETZT,734
447992848717452,Claudia Gamon,Claudia Gamon,725
319953855387750,A1now.tv,A1now TV GmbH,724
1378265592489944,Neue Zeit,NeueZeit.at,723
2334323366849425,Quooker Österreich GmbH,These ads ran without a disclaimer,721
368448716589872,BMK Infothek,BMK,707
442336243214680,Journey Stories,The Journey Stories,707
100754824671600,Georg Schwarzl,Georg Schwarzl,702
102398151115817,Meermals,Meermals,677
176999712329637,Freiheitliche Jugend Oberösterreich,Freiheitliche Jugend Oberösterreich,671
327369228120561,Jobs for Europe,ICA Online Marketing,665
129167437490055,Anton Lang,SPÖ Steiermark,662
122459227784392,Erste Bank und Sparkasse,Erste Bank und Sparkasse,661
489956101124619,Max Lercher,Max Lercher,660
108248594442962,Future for Climate,Future for Climate GmbH,658
382287412637830,Daniel Kos,Daniel Kos,656
568095896664253,SPÖ Stadt Feldbach,Bernhard Dr. Koller,627
2423163447708524,Simone Schmiedtbauer,Bauernbund,619
345172509462824,Julia Herr,Sozialistische Jugend Österreich,616
306323002713281,Steirische Wirtschaft,WKO Steiermark,613
1047842275299128,SPÖ Graz-Umgebung/Voitsberg,SPÖ GU/VO,611
609126565857760,Hannes Amesbauer,Hannes Amesbauer,608
169065407139584,Tilt,Tilt,598
159450714481652,ES BLEIBT DABEI,ES BLEIBT DABEI,590
1683743791939360,Karin Greiner,Karin Greiner,588
107152329360788,Arbeiterkammer,These ads ran without a disclaimer,587
2413647948663453,Bildungsverein #offenegesellschaft,BVOG - Bildungsverein Offene Gesellschaft,585
157998714247048,Kelag Energie,Kelag Energie,585
441927269154538,Wandel,Wandel,584
513008922374813,Johannes Schmuckenschlager,Niederösterreichischer Bauernbund,582
1564541583799603,ÖVP Leoben,Reinhard Lerchbammer,576
849742871847407,KPÖ PLUS,KPÖ PLUS,570
113590519612,PULS24NEWS,ProSiebenSat.1 PULS 4 Gruppe,567
1522258834730122,Liste Schladming Neu,Liste Schladming Neu,556
676447579157395,Ingrid Korosec,Österreichischer Seniorenbund,543
328018270709073,Michael Ludwig,Michael Ludwig,543
109044023134793,Addendum,These ads ran without a disclaimer,536
367409910025307,Günther Steinkellner,FPÖ Oberösterreich,536
66095458281,Mario Kunasek,These ads ran without a disclaimer,533
274798042357,JUNOS - Junge Liberale NEOS,JUNOS - Junge Liberale NEOS,533
208930355786005,SPÖ Oberösterreich,SPÖ Oberösterreich,531
1553799571599937,pandoo,These ads ran without a disclaimer,531
510291985696801,Daniela Holzinger-Vogtenhuber,NR KLUB JETZT,527
321827884157,Die neue Gröbminger Volkspartei,Steirische Volkspartei,525
107898832590939,European Commission,European Commission,522
575477015936411,BMI - Bundesministerium für Inneres,These ads ran without a disclaimer,520
849746755202044,Mario Lindner,Mario Lindner,517
290449626693,Österreichische Gesellschaft für Europapolitik,Österreichische Gesellschaft für Europapolitik,516
1079650008770485,kontrast.at,SPÖ-Parlamentsklub,515
105734061143305,Stefan Magnet,Medienlogistik,514
1888670234740483,FPÖ Bad Gleichenberg,FPÖ Bad Gleichenberg,513
157348062232,JVP Steiermark,JVP Steiermark,508
177638225622776,FPÖ Mürzzuschlag,Arnd Meißl,503
1673371229636129,Pamela Rendi-Wagner,These ads ran without a disclaimer,500
104525294314108,Wärme aus Holz,Österreichischer Biomasse-Verband,499
217394141743074,Michael Bernhard,Michael Bernhard,497
1879587722059025,Sebastian Huber,Dr. Sebastian Huber,492
2056235971275620,Doris Kampus,SPÖ Stmk.,490
113272186790700,Rudolf Silvan,Rudolf Silvan,488
106736747499290,Alex Pinter,Alexander Pinter,487
460710870691635,Kommunal,Kommunal,480
513726808791485,Johann Tschürtz,FPÖ Burgenland,477
1520750471388984,Wolfgang Klinger,FPÖ Oberösterreich,476
103106961252518,NEOS für Hausmannstätten,Hermann Fuchs,472
273941079390899,Christoph Stark - Gleisdorf,Christoph Gerold Stark,471
100121118697564,Initiative Österreich impft,These ads ran without a disclaimer,471
1190605097642480,ÖVP Gralla,Alexander Macek,470
101181164801186,GZS - Straß in Steiermark,Alojz Kajbic,460
970529566390833,Sarah Wiener,Die Grünen,451
1660071144087431,Karl Nehammer,Volkspartei,450
124468054313069,Europäisches Parlament Österreich,These ads ran without a disclaimer,445
255318067965019,SPÖ im Parlament,SPÖ-Parlamentsklub,445
117780061529,Verbund,These ads ran without a disclaimer,441
760005634080578,Unser Weißkirchen - Team Peer,Unser Weißkirchen,441
15078244418,Volkspartei,Volkspartei,439
1043694979020538,David Stögmüller,David Stögmüller,435
269980709831300,Walter Ruck,These ads ran without a disclaimer,434
109896597247307,Andreas Spari,Andreas Spari,426
187626534620326,Europäische Kommission - Vertretung in Österreich,These ads ran without a disclaimer,421
104311511150742,Liste Zukunft Allerheiligen SPÖ,Liste ZUKUNFT Allerheiligen SPÖ,420
1756026008024095,Ewa Ernst-Dziedzic,Die Grünen,418
292470757603441,ÖVP Gratwein-Straßengel,ÖVP Gratwein-Straßengel,415
437191132998825,HSPRO,These ads ran without a disclaimer,411
231017501112050,Earthkarma deutsch,These ads ran without a disclaimer,411
109530480691265,Christoffel Blindenmission Österreich - CBM,Christoffel Blindenmission Österreich,410
1583324305255890,Sebastian Bohrn Mena,Sebastian Bohrn Mena,410
104979967618064,Werner Aschenbrenner,Werner Aschenbrenner,408
436914289678818,Lukas Mandl,Lukas Mandl,402
127925800618165,Socialists and Democrats Group in the European Parliament,Socialists and Democrats Group in the European Parliament,400
1557956091147559,MEP Bettina Vollath,SPÖ Steiermark,400
225264274194213,BWT - Best Water Technology,These ads ran without a disclaimer,393
150623338441911,FPÖ Niederösterreich,FPÖ Niederösterreich,388
