Page ID,Page Name,Disclaimer,Amount Spent (EUR)
77393060080,SPÖ,SPÖ,285
1673371229636129,Pamela Rendi-Wagner,SPÖ,210
32984679070,Greenpeace Österreich,Greenpeace Österreich,154
674089153034374,Zack Zack,ZackZack.at,≤100
243225039137708,Beate Meinl-Reisinger,NEOS,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
709246016127897,Partei JETZT,JETZT Liste Pilz,≤100
88676876113,Die Grünen Wien,Die Grünen Wien,≤100
590930261019192,Maximilian Krauss,FPÖ-Wien,≤100
1642678769161065,oekoreich,Tierschutzvolksbegehren,≤100
138952762862969,Junge Generation in der SPÖ,SPÖ,≤100
179085222154531,ÖGB,ÖGB,≤100
441927269154538,Wandel,Wandel,≤100
94967955198,Die Grünen Vorarlberg,Die Grünen Vorarlberg,≤100
353927555088618,Rudolf Taschner,Rudolf Taschner,≤100
339052456846258,Treecelet,These ads ran without a disclaimer,≤100
327450964017497,NEOS,NEOS,≤100
1650580648552563,Norbert Hofer,FPÖ,≤100
274798042357,JUNOS - Junge Liberale NEOS,JUNOS - Junge Liberale NEOS,≤100
107152329360788,Arbeiterkammer,Arbeiterkammer,≤100
1583324305255890,Sebastian Bohrn Mena,Sebastian Bohrn Mena,≤100
1559353254297014,Sepp Schellhorn,Sepp Schellhorn,≤100
118665682807424,Moment Magazin,Momentum Institut,≤100
105448137489878,Melanie Erasim,SPÖ Bezirk Mistelbach,≤100
533665483708070,Grüne Jugend - Grünalternative Jugend,Grüne Jugend - Grünalternative Jugend,≤100
214499840736,Gewerkschaft GPA,GPA-djp,≤100
88108406133,SPÖ Wien,SPÖ Wien,≤100
1617700101837646,Ahmed Husagić,SPÖ,≤100
187626534620326,Europäische Kommission - Vertretung in Österreich,Europäische Kommission - Vertretung in Österreich,≤100
222545151104986,XXXLutz Österreich,XXXLutz KG,≤100
203965369771166,Gudrun Kugler,These ads ran without a disclaimer,≤100
139707196056364,ATV Aktuell,These ads ran without a disclaimer,≤100
169051073236170,FPÖ,FPÖ,≤100
63702522062,WWF Austria,WWF Österreich,≤100
704085706698696,Greenkaps.de,These ads ran without a disclaimer,≤100
711355102657868,SICCRO-Energiekostenbefreiung,These ads ran without a disclaimer,≤100
