Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1786588968220782,Thomas Stelzer,OÖVP - die Oberösterreichische Volkspartei,73267
289163077789256,OÖVP - die Oberösterreichische Volkspartei,Oberösterreichische Volkspartei,47888
1650580648552563,Norbert Hofer,FPÖ,39023
141015722773374,Angelika Winzig,Wirtschaftsbund Österreich,37191
32984679070,Greenpeace Österreich,Greenpeace Österreich,37115
1673371229636129,Pamela Rendi-Wagner,SPÖ,35396
77393060080,SPÖ,SPÖ,31036
208930355786005,SPÖ Oberösterreich,SPÖ Oberösterreich,30449
105151752909840,Sebastian Kurz,Volkspartei,25756
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,24582
169051073236170,FPÖ,FPÖ,21533
1977684662509834,Herbert Kickl,FPÖ,18551
21759893033,Die Grünen,Die Grünen,18444
178362315106,European Parliament,European Parliament,17677
547597092025909,Harald Vilimsky,FPÖ,16738
1025756670829069,Industriellenvereinigung OÖ,Industriellenvereinigung Oberösterreich,13105
30925241455,Amnesty International Austria,Amnesty International Austria,12332
135953609780627,Dominik Nepp,FPÖ-Wien,12216
1079650008770485,kontrast.at,kontrast.at,10582
243225039137708,Beate Meinl-Reisinger,NEOS,10398
36714973506,VIER PFOTEN,VIER PFOTEN,10085
288143841600204,refurbed,These ads ran without a disclaimer,9731
107152329360788,Arbeiterkammer,Arbeiterkammer,9280
179085222154531,ÖGB,ÖGB,8907
2175703466044933,Stefan Kaineder,Die Grünen Oberösterreich,8828
991628130904203,Wochenblick,Wochenblick,8648
263966713976008,Birgit Gerstorfer,SPÖ Oberösterreich,8050
2188880727831144,Markus Achleitner,OÖVP - Die Oberösterreichische Volkspartei,7789
112824921274,Die Grünen Linz,Klub der Grünen im Linzer Gemeinderat,6934
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,6899
624525897689879,Markus Hein,FPÖ Linz,6431
554975451245677,Freiheitliche Wirtschaft - FW Oberösterreich,Freiheitliche Wirtschaft OÖ,6390
590930261019192,Maximilian Krauss,FPÖ-Wien,6080
124298681063701,Freiheitliche Bauernschaft Oberösterreich,Freiheitliche Bauernschaft Oberösterreich,6003
248450014269,ServusTV,ServusTV,6003
574148239265437,Klimabündnis Oberösterreich,Klimabündnis OÖ,5676
563675796999816,Bürgermeister Klaus Luger,SPÖ GR-Fraktion Linz,5637
108330130768878,Wohnfühlland - Wohnbauförderung Land Oberösterreich,Amt der Oö. Landesregierung Abteilung Wohnbauförderung,5358
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,5354
1642678769161065,oekoreich,Tierschutzvolksbegehren,5281
367409910025307,Günther Steinkellner,FPÖ Oberösterreich,5193
