Page ID,Page Name,Disclaimer,Amount Spent (EUR)
88676876113,Die Grünen Wien,die Grünen Wien,164865
135953609780627,Dominik Nepp,FPÖ-Wien,163850
1673371229636129,Pamela Rendi-Wagner,SPÖ,130684
77393060080,SPÖ,SPÖ,130232
110971788921077,Stadt Wien,Stadt Wien,111738
32984679070,Greenpeace Österreich,Greenpeace Österreich,111521
21759893033,Die Grünen,Die Grünen,99888
1047221682152437,Christoph Wiederkehr,NEOS Wien,94004
1644414509160673,Gernot Blümel,Neue Volkspartei Wien,91464
580791221952500,NEOS Wien,NEOS Wien,86781
1650580648552563,Norbert Hofer,FPÖ,86054
88108406133,SPÖ Wien,SPÖ Wien,85205
105151752909840,Sebastian Kurz,Volkspartei,65317
178362315106,European Parliament,European Parliament,56733
590930261019192,Maximilian Krauss,FPÖ-Wien,50488
547597092025909,Harald Vilimsky,FPÖ,48711
30925241455,Amnesty International Austria,Amnesty International Austria,46745
169051073236170,FPÖ,FPÖ,46541
1079650008770485,kontrast.at,kontrast.at,38318
1977684662509834,Herbert Kickl,FPÖ,38034
328018270709073,Michael Ludwig,Michael Ludwig,35358
469284460250113,Unser Niederösterreich,Unser Niederösterreich,34424
61156663040,Neue Volkspartei Wien,Neue Volkspartei Wien,32543
36714973506,VIER PFOTEN,VIER PFOTEN,32424
107152329360788,Arbeiterkammer,Arbeiterkammer,29129
243225039137708,Beate Meinl-Reisinger,NEOS,27460
288143841600204,refurbed,These ads ran without a disclaimer,24663
179085222154531,ÖGB,ÖGB,23327
114141426894419,Barbara Novak,Barbara Novak,23277
144875605538239,Weiterbildung in Wien | waff,waff,20947
191576624211837,KOSMO,KOSMO,20879
2070651056581316,Birgit Hebein,die Grünen Wien,20669
260745781726,Wien Energie,Wien Energie,20428
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,19777
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),19574
133612666671985,Werner Kogler,Die Grünen,18069
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,17495
1642678769161065,oekoreich,Tierschutzvolksbegehren,16985
333112690117618,Niederösterreichs Bauern,Niederösterreichischer Bauernbund,16963
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,16934
290881691011354,Andreas Schieder,SPÖ,16910
447992848717452,Claudia Gamon,NEOS,16022
1929623263924061,Jürgen Czernohorszky,Jürgen Czernohorszky,15984
118665682807424,Moment Magazin,Momentum Institut,15471
2070651056581316,Birgit Hebein,Die Grünen Wien,15199
327450964017497,NEOS,NEOS,15025
