Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1806220812928034,Unser Vorarlberg,Unser Vorarlberg,23298
759821000889678,Martin Staudinger,SPÖ Vorarlberg,17178
204532472901378,Arbeiterkammer Vorarlberg,Arbeiterkammer Vorarlberg,16321
32984679070,Greenpeace Österreich,Greenpeace Österreich,11687
2371363026221746,Johannes Rauch,Die Grünen Vorarlberg,9634
1650580648552563,Norbert Hofer,FPÖ,8492
94967955198,Die Grünen Vorarlberg,Die Grünen Vorarlberg,8337
105842237446427,Nina Tomaselli,Nina Tomaselli,8235
1673371229636129,Pamela Rendi-Wagner,SPÖ,8020
664374710247843,NEOS Vorarlberg,NEOS Vorarlberg,7626
1697898137102698,Christof Bitschi,Vorarlberger Freiheitliche - FPÖ,7441
1607542919475953,Feldkircher Volkspartei,Feldkircher Volkspartei,7016
919423671410313,Üsr Luschnou,Üsr Luschnou,5897
105151752909840,Sebastian Kurz,Volkspartei,5764
77393060080,SPÖ,SPÖ,5663
21759893033,Die Grünen,Die Grünen,5546
135927913177448,Markus Wallner,Vorarlberger Volkspartei,5137
178362315106,European Parliament,European Parliament,5045
404201443015504,Chris Alge - Xi,Xi - Chance Zukunft,4647
169051073236170,FPÖ,FPÖ,4597
1977684662509834,Herbert Kickl,FPÖ,4283
1397420063882542,SPÖ Schruns u. Parteifreie,Martin Borger,3818
547597092025909,Harald Vilimsky,FPÖ,3715
30925241455,Amnesty International Austria,Amnesty International Austria,3552
766272553414521,Mario Leiter,Team Mario Leiter,3528
1894418153993259,Xi - Chance Zukunft,Mare Hojc,3325
243225039137708,Beate Meinl-Reisinger,NEOS,3320
514318488723900,Simon Tschann - Bludenzer Volkspartei,Bludenzer Volkspartei,3161
53969266331,VOL.AT - Vorarlberg Online,These ads ran without a disclaimer,3097
135953609780627,Dominik Nepp,FPÖ-Wien,2904
36714973506,VIER PFOTEN,VIER PFOTEN,2885
101521571361750,Für die Menschen,Industriellenvereinigung Vorarlberg,2864
107152329360788,Arbeiterkammer,Arbeiterkammer,2558
288143841600204,refurbed,These ads ran without a disclaimer,2389
1079650008770485,kontrast.at,kontrast.at,2247
695046690586952,Markus Linhart,ÖVP Bregenz,2098
179085222154531,ÖGB,ÖGB,2057
845037255507872,UNOS - Unternehmerisches Österreich,NEOS - Unternehmerisches Österreich,2056
470277889796113,Industriellenvereinigung Vorarlberg,Industriellenvereinigung Vorarlberg,1938
285831948251345,Die Grünen - Feldkirch blüht,Die Grünen - Feldkirch blüht,1919
328462641291500,Christoph Thoma,Christoph Walter Thoma,1894
385183128166442,Wirtschaftsbund Österreich,Wirtschaftsbund Österreich,1793
143074097483,SOS-Kinderdorf Österreich,SOS-Kinderdorf Österreich,1639
447992848717452,Claudia Gamon,NEOS,1625
27791418071,Ärzte ohne Grenzen,Ärzte ohne Grenzen / Médecins Sans Frontières (MSF),1622
655193467874666,Manfred Haimbuchner,FPÖ Oberösterreich,1549
526470757450133,Martin Borger,Martin Borger,1504
138508202860897,Alexander Van der Bellen,Österreichische Präsidentschaftskanzlei,1397
1860307574279839,NRC - Norwegian Refugee Council Österreich,NRC Flüchtlingshilfe Österreich,1384
590930261019192,Maximilian Krauss,FPÖ-Wien,1371
200969413280005,Shell,Shell,1328
1642678769161065,oekoreich,Tierschutzvolksbegehren,1319
59212737281,UNICEF Österreich,UNICEF Österreich,1286
523706861102652,Die Grünen Leiblachtal Lochau,Die Grünen Leiblachtal Lochau,1259
828195947253015,Grünes FORUM Rankweil,Grünes Forum Rankweil,1239
447992848717452,Claudia Gamon,Claudia Gamon,1215
248450014269,ServusTV,ServusTV,1170
397462700332146,Caritas Vorarlberg,Caritas Vorarlberg,1165
103273201287407,Bregenzer Stadtvertreter Alexander Moosbrugger,Alexander Moosbrugger,1161
63702522062,WWF Austria,WWF Österreich,1157
339052456846258,Treecelet,These ads ran without a disclaimer,1131
599612190165733,SPÖ Feldkirch,SPÖ Feldkirch,1108
447943165277297,Vorarlberger Freiheitliche - FPÖ,Vorarlberger Freiheitliche - FPÖ,1097
506209712808466,com:bau,Messe Dornbirn,1095
327450964017497,NEOS,NEOS,1085
104474334446669,Ärzte ohne Grenzen,Ärzte ohne Grenzen,1026
101085074605848,Karin Feurstein-Pichler,Vorarlberger Volkspartei – Karin Feurstein-Pichler,1000
135927913177448,Markus Wallner,These ads ran without a disclaimer,993
709246016127897,Partei JETZT,JETZT Liste Pilz,986
133612666671985,Werner Kogler,Die Grünen,979
991628130904203,Wochenblick,Wochenblick,947
124468054313069,Europäisches Parlament Österreich,Europäisches Parlament Österreich,909
664374710247843,NEOS Vorarlberg,Georg Dieter Oberndorfer,884
1446536545429987,Wir für Kurz,Volkspartei,880
575477015936411,BMI - Bundesministerium für Inneres,BMI - Bundesministerium für Inneres,856
674089153034374,Zack Zack,ZackZack.at,856
136345101209,VGT Austria,VGT Austria,854
100606758196849,Servus Nachrichten,ServusTV,852
798528263511784,Michael Ritsch,SPÖ Bregenz,851
108361410970526,Simon Tschann,Simon Tschann | zukunftbludenz,815
601896713271070,INTERSPAR,INTERSPAR,786
