Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
56605856504,Vlaams Belang,Vlaams Belang,1938121,909
334361224413,N-VA,Nieuw-Vlaamse Alliantie,1277384,1130
584806884924010,Tom Van Grieken,Vlaams Belang,619334,507
54970503767,PVDA,PVDA,583132,958
24079407056,Bart De Wever,Nieuw-Vlaamse Alliantie,415295,74
236485149843971,Peter Mertens,PVDA,307829,1042
942750852588816,Conner Rousseau,Conner Rousseau,291666,1209
53668151866,Open Vld,Open Vld,263523,1402
53838654385,PTB,PTB,260383,670
73232790238,Greenpeace Belgium,Greenpeace Belgium,244623,2812
178362315106,European Parliament,European Parliament,225764,939
57253967150,Vooruit,sp.a,185043,779
52997544531,CD&V,CD&V,183282,1238
84920854319,Groen,Groen,177494,3119
603811736730421,Tom Vandendriessche,Tom Vandendriessche MEP - ID,130751,520
341174129258800,Georges-Louis Bouchez,Georges-Louis Bouchez,128486,513
499682940133305,Vlaams Belang Brussel,Vlaams Belang,122628,133
56605856504,Vlaams Belang,These ads ran without a disclaimer,121349,48
323086684459048,Lipton Ice Tea,Lipton Ice Tea,120609,27
60317812912,Jan Jambon,Nieuw-Vlaamse Alliantie,98184,38
948453825344452,UNHCR Belgium,UNHCR Belgium,93822,466
60589646095,UNICEF Belgium,UNICEF Belgium,83765,2011
112961202185776,IKEA,IKEA,82253,413
522389238191177,Brusol,BRUSOL,73376,172
429961403724404,Garnier,Garnier,70168,79
110844205773,WWF-Belgium,WWF-Belgium,68348,1950
30102123042,Delhaize,Delhaize,66621,544
287739491272583,Facebook EU Affairs,Facebook,64190,16
453932394796444,Zuhal Demir,Nieuw-Vlaamse Alliantie,64024,71
372776579930604,Petra De Sutter,Groen,62105,1341
78565055764,Plan International Belgium,Plan International Belgium,61775,2095
101240187963272,wallonie-photovoltaiques.com,LA PLATEFORME DU LEAD,60524,50
2146852388859659,Bolt,Bolt Energie,54129,199
518402351504731,Parti Socialiste (PS),Parti Socialiste (PS),52936,336
133467219125,Ben Weyts,Nieuw-Vlaamse Alliantie,52190,54
173518112695794,DéFI,DéFI,52084,469
483497581789280,Theo Francken,Nieuw-Vlaamse Alliantie,49387,49
816130908786112,Vlaams Belang - nos gens d'abord,Vlaams Belang,47211,213
