Page ID,Page Name,Disclaimer,Amount Spent (EUR)
56605856504,Vlaams Belang,Vlaams Belang,1922029
334361224413,N-VA,Nieuw-Vlaamse Alliantie,1275897
584806884924010,Tom Van Grieken,Vlaams Belang,617865
54970503767,PVDA,PVDA,582121
24079407056,Bart De Wever,Nieuw-Vlaamse Alliantie,415295
236485149843971,Peter Mertens,PVDA,305960
942750852588816,Conner Rousseau,Conner Rousseau,284007
53668151866,Open Vld,Open Vld,250755
52997544531,CD&V,CD&V,177099
57253967150,Vooruit,sp.a,175946
84920854319,Groen,Groen,160605
603811736730421,Tom Vandendriessche,Tom Vandendriessche MEP - ID,130751
56605856504,Vlaams Belang,These ads ran without a disclaimer,121300
178362315106,European Parliament,European Parliament,118239
73232790238,Greenpeace Belgium,Greenpeace Belgium,114476
60317812912,Jan Jambon,Nieuw-Vlaamse Alliantie,97184
323086684459048,Lipton Ice Tea,Lipton Ice Tea,65546
453932394796444,Zuhal Demir,Nieuw-Vlaamse Alliantie,64016
372776579930604,Petra De Sutter,Groen,58081
133467219125,Ben Weyts,Nieuw-Vlaamse Alliantie,52189
112961202185776,IKEA,IKEA,51340
483497581789280,Theo Francken,Nieuw-Vlaamse Alliantie,48987
948453825344452,UNHCR Belgium,UNHCR Belgium,48976
2146852388859659,Bolt,Bolt Energie,46786
543319679114946,Matthias Diependaele,Nieuw-Vlaamse Alliantie,39866
60589646095,UNICEF Belgium,UNICEF Belgium,39241
289193165531,11.11.11,11.11.11,37070
429961403724404,Garnier,Garnier,35855
30102123042,Delhaize,Delhaize,35036
110844205773,WWF-Belgium,WWF-Belgium,34275
101869119910407,ING België,ING België,33795
114219933331353,Joachim Coens,Joachim Coens,33306
80987045743,Amnesty International België Vlaanderen,Amnesty International België Vlaanderen,33200
78565055764,Plan International Belgium,Plan International Belgium,31116
287739491272583,Facebook EU Affairs,Facebook,30395
584806884924010,Tom Van Grieken,These ads ran without a disclaimer,29814
343729415128,SOS Kinderdorpen België,SOS Kinderdorpen België,29558
264131406977201,John Crombez,sp.a,29467
341174129258800,Georges-Louis Bouchez,Georges-Louis Bouchez,28907
575160279283539,Sander Loones,Nieuw-Vlaamse Alliantie,27843
145118538898472,Algemene Centrale - ABVV,Algemene Centrale - ABVV,27704
77629766074,Knack,Knack,24526
1477520555859157,Comac Studenten,Comac,23635
328565540829675,ABVV Dienstencheques,ABVV Dienstencheques,22107
603811736730421,Tom Vandendriessche,Tom Vandendriessche MEP,21647
345099982367937,Kristof Calvo,Kristof Calvo,21559
111723720244690,Tinne Van der Straeten,Groen,20132
315662412174661,Kim De Witte,PVDA,19752
345099982367937,Kristof Calvo,Groen,19691
131309180245958,Doorbraak,Doorbraak,19557
649429725077632,Geert Bourgeois,Nieuw-Vlaamse Alliantie,19402
504580942987092,Egbert Lachaert,Egbert Lachaert,19118
933317623465246,Recupel,Recupel,17910
203903005659,Vlaams Belang Jongeren,Vlaams Belang Jongeren,17366
1410219772556421,Maggie De Block,Maggie De Block,17206
1397002987227704,Jos D'Haese,PVDA,17091
1709989875882170,Deutsche Bank Belgium,Deutsche Bank Belgium,15681
232762767418563,ABVV Kappers,ABVV Kappers,15306
1796765513978532,Vlaams Belang Bilzen,Vlaams Belang,15199
150977208365420,Assita Kanko,Nieuw-Vlaamse Alliantie,15072
1943402032590802,Meyrem Almaci,Groen,14826
275607285891320,Johan Van Overtveldt,Nieuw-Vlaamse Alliantie,14752
1661453500556261,Peter De Roover,N-VA,14680
1474193815933413,ABVV Schoonmaak,ABVV Schoonmaak,14223
1447842658809820,Valerie Van Peel,Nieuw-Vlaamse Alliantie,14163
294055357407926,Koen Geens,CD&V,13998
699243700236299,Lorin Parys,Nieuw-Vlaamse Alliantie,13915
151858145215878,RedFox België,Redfox (België),13849
983442595060481,Steven Vandeput,Nieuw-Vlaamse Alliantie,13442
1375436739430055,Anneleen Van Bossuyt,Nieuw-Vlaamse Alliantie (Anneleen Van Bossuyt),13389
107898832590939,European Commission,European Commission,13228
1797427180478228,Maurits Vande Reyde,Maurits Vande Reyde,13160
228307843991539,Alexander De Croo,Open Vld,12782
616252382042509,ABVV Bouw,ABVV Bouw,12741
585236024850280,Belgian Nuclear Forum,Tout sur le nucléaire / Alles over kernenergie,12472
141790109882222,ABVV Bewaking,ABVV Bewaking,12383
185695311469945,Ben & Jerry's,Ben & Jerry's,12080
379749768826697,N-VA Stad Antwerpen,Nieuw-Vlaamse Alliantie,11778
736539056400845,ABVV-Metaal,ABVV-Metaal,11711
208140805905898,GAIA - Global Action in the Interest of Animals,GAIA - Global Action in the Interest of Animals,11667
403864600161608,Christian Leysen,Christian Leysen,11434
295165170561769,Commission Européenne en Belgique / Europese Commissie in Belgie,Commission Européenne en Belgique / Europese Commissie in Belgie,11192
188590271170028,ABVV,Algemeen Belgisch Vakverbond - ABVV,10952
116000561802704,Oxfam-Wereldwinkels,Oxfam-Wereldwinkels,10886
140923406062122,Dove,Dove,10880
141366725876424,European Greens,European Greens,10811
305608429284,EU Environment,EU Environment,10729
1662059670679141,1712,1712 (Centrum voor Algemeen Welzijnswerk Oost-Brabant),10651
1797427180478228,Maurits Vande Reyde,Vande Reyde Maurits Jozef,10577
1070595116362186,Guy D'haeseleer,Vlaams Belang,10570
1848893498684520,Santander Consumer Bank,Santander Consumer Bank,10473
998887823550443,Brecht Warnez,Warnez Brecht Luc T,10384
602581353103964,Colruyt Group,Colruyt Group,10364
371989752387,Transport & Environment,Transport & Environment,10101
125138890876117,N-VA Gent,Nieuw-Vlaamse Alliantie,9938
231742536958,De Morgen,De Morgen,9798
595882667132447,Sihame El Kaouakibi,Sihame El Kaouakibi,9693
299844037256,sp.a Vlaams-Brabant,sp.a,9423
1345513882259768,Sign for my Future,Sign for my Future,9421
55736375278,Artsen Zonder Grenzen,Artsen Zonder Grenzen (België),9143
231742536958,De Morgen,These ads ran without a disclaimer,9019
114095183370825,8AM,GMGroup,8998
146272022205358,NewB,NewB,8814
365242667182267,Barbara Pas,Vlaams Belang,8541
147059973378,ACLVB - Liberale Vakbond,CGSLB - Syndicat libéral,8454
384632394957341,Hilde Crevits,Hilde Crevits,8411
209799696641499,Filip Brusselmans,Filip Brusselmans,7983
495564387205601,CD&V Limburg,CD&V Limburg,7744
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,7658
1937666046354856,Meryame Kitir,sp.a,7619
149158155084,Gwendolyn Rutten,Gwendolyn Rutten,7590
334361224413,N-VA,These ads ran without a disclaimer,7534
1473802016233527,Informazout,Informazout,7522
984867054996076,Joris Vandenbroucke,Vandenbroucke Joris Jeroen J,7331
373843839334168,ACV,ACV,7268
780466711993867,Nespresso,Nespresso,7049
109988677044893,Filip De Man,Filip De Man,7043
357699964322135,VIA Don Bosco,VIA Don Bosco,6690
269157793205215,sp.a West-Vlaanderen,sp.a West-Vlaanderen,6625
169065407139584,Tilt,Tilt,6612
287739491272583,Facebook EU Affairs,Facebook EU Affairs,6333
192181027566488,Kris Peeters,Kris Peeters,6167
1070595116362186,Guy D'haeseleer,Guy D'haeseleer,6121
547978585231957,Vlaamse overheid,Vlaamse overheid,6078
1668403796577735,uwgratisgids.be,These ads ran without a disclaimer,6034
512123045595812,Frosch Belgium,Frosch Belgium,5991
1953990651532264,Koen Van den Heuvel,Koen Van den Heuvel,5955
48034275355,EPP - European People's Party,EPP - European People's Party,5928
138174122881,OxfamSolidarité OxfamSolidariteit,OxfamSolidarité-OxfamSolidariteit,5721
78944030699,Kanaal Z - Canal Z,Kanaal Z - Canal Z,5578
277636928983663,Hendrik Bogaert,Bogaert Hendrik Frank,5515
257794051588457,Peter Van Rompuy,CD&V,5515
603811736730421,Tom Vandendriessche,Vlaams Belang Europees Parlement,5480
125105154858140,Kristof Hendrickx,"Kristof Hendrickx, N-VA",5469
77629766074,Knack,These ads ran without a disclaimer,5443
596946040405796,Bart Somers,Bart Somers,5357
416251445083421,"FOD Economie, KMO, Middenstand en Energie","FOD Economie, KMO, Middenstand en Energie",5350
110540418715,VIER VOETERS,These ads ran without a disclaimer,5344
157445631732612,WAT WAT,De Ambrassade,5311
409051602452966,Tom De Meester,PVDA,5310
518573208206444,N-VA West-Vlaanderen,Ben Glorieux,5310
652427761837497,Eva De Bleeker,De Bleeker Eva Maria A,5214
408479362538591,Vlaams Parlement,These ads ran without a disclaimer,5080
491116271027288,Open Vld Kapellen,Dirk Van Mechelen,5000
103746756361685,N-VA Brugge,Nieuw-Vlaamse Alliantie,4781
274961409207861,N-VA Groot Aalst,Nieuw-Vlaamse Alliantie,4627
99985820015,Guy Verhofstadt,Guy Verhofstadt,4612
80161254850,European Youth Forum,European Youth Forum,4612
285791090989,Friends of Democrats Abroad Belgium,Democrats Abroad,4585
156922821011409,Timberland,PHD Media,4447
453850452100175,Marc Botenga - PVDA,Marc Botenga (MEP),4434
316139873331,A.S.Adventure,A.S.Adventure,4409
1585072555117186,Dries Van Langenhove,Vlaams Belang,4370
948453825344452,UNHCR Belgium,Adrien Bastin,4366
270994524621,VRT NWS,These ads ran without a disclaimer,4346
362996563734991,N-VA Kortrijk,Nieuw-Vlaamse Alliantie,4310
1943402032590802,Meyrem Almaci,Meyrem Almaci,4287
236485149843971,Peter Mertens,These ads ran without a disclaimer,4248
43883239276,Bruxelles Environnement - Leefmilieu Brussel,Bruxelles Environnement - Leefmilieu Brussel,4239
150977208365420,Assita Kanko,Assita Kanko,4188
150977208365420,Assita Kanko,N-VA,4174
104343896272579,Mercy Ships Belgium,Mercy Ships Belgium vzw,4123
428344933899238,VELUX,VELUX_BE,3994
585236024850280,Belgian Nuclear Forum,These ads ran without a disclaimer,3922
206193139504506,Kathleen Van Brempt,Kathleen Van Brempt,3824
81497097451,Vluchtelingenwerk Vlaanderen,Vluchtelingenwerk Vlaanderen,3802
194951997194401,N-VA Sint-Niklaas,Nieuw-Vlaamse Alliantie,3767
188973157812025,De Zondag,De Zondag,3760
228307843991539,Alexander De Croo,Alexander De Croo,3753
320505575247082,Gaby Colebunders,PVDA,3724
121822074551891,Action Damien - Damiaanactie,Action Damien,3702
534390356609579,Mustela Belgium,Laboratoires Expanscience,3685
495564387205601,CD&V Limburg,Kuylen Stijn,3643
112961202185776,IKEA,These ads ran without a disclaimer,3642
220538077963325,Europees Parlement in België / Parlement européen en Belgique,Europees Parlement in België / Parlement européen en Belgique,3635
