Page ID,Page Name,Disclaimer,Amount Spent (EUR)
53838654385,PTB,PTB,191299
73232790238,Greenpeace Belgium,Greenpeace Belgium,82713
341174129258800,Georges-Louis Bouchez,Georges-Louis Bouchez,73535
178362315106,European Parliament,European Parliament,63510
101240187963272,wallonie-photovoltaiques.com,LA PLATEFORME DU LEAD,60524
816130908786112,Vlaams Belang - nos gens d'abord,Vlaams Belang,47051
482811111771571,Parti Populaire,Parti Populaire - Le Peuple,36284
173518112695794,DéFI,DéFI,35324
323086684459048,Lipton Ice Tea,Lipton Ice Tea,35246
518402351504731,Parti Socialiste (PS),Parti Socialiste (PS),29505
60589646095,UNICEF Belgium,UNICEF Belgium,27716
189649407806135,CDH - Centre Démocrate Humaniste,CDH - Centre Démocrate Humaniste,27312
127544574000243,ING Belgique,ING Belgique,25439
386211174868638,Comac étudiants,Comac,24168
112961202185776,IKEA,IKEA,23876
429961403724404,Garnier,Garnier,23248
180233078762668,Mutualité chrétienne (MC),Mutualité chrétienne (MC),22191
236330169511,MR - Mouvement Réformateur,MR - Mouvement Réformateur,22056
30102123042,Delhaize,Delhaize,21564
110844205773,WWF-Belgium,WWF-Belgium,21557
112931942124523,SOS Villages d'Enfants Belgique,SOS Villages d'Enfants Belgique,21362
948453825344452,UNHCR Belgium,UNHCR Belgium,18337
287739491272583,Facebook EU Affairs,Facebook,18041
78565055764,Plan International Belgium,Plan International Belgium,17612
556347961236170,FGTB Titres-services,FGTB Titres-services,16686
201359506543663,Centrale Générale - FGTB,Centrale Générale - FGTB,15257
103588564450090,Maxime Prévot-Président du CDH,CDH - Centre Démocrate Humaniste,14661
933317623465246,Recupel,Recupel,14280
536040200159049,FGTB Coiffure,FGTB Coiffure,13307
108820070638334,Il fera beau demain - Mouvement positif,Il fera beau demain - Mouvement positif,12701
295165170561769,Commission Européenne en Belgique / Europese Commissie in Belgie,Commission Européenne en Belgique / Europese Commissie in Belgie,12199
254275311677180,FGTB Nettoyage,FGTB Nettoyage,11482
38296327361,Ecolo,Ecolo,11340
174309193235171,FGTB Construction,FGTB Construction,10991
1473802016233527,Informazout,Informazout,10863
1000331320002877,RedFox Belgique,RedfoxFR,10601
153281801079,CGSLB - Syndicat libéral,CGSLB - Syndicat libéral,10538
141366725876424,European Greens,European Greens,10276
181975318662681,Raoul Hedebouw,PTB,10132
108820070638334,Il fera beau demain - Mouvement positif,Il fera beau demain - Mouvement positif,9953
1345513882259768,Sign for my Future,Sign for my Future,9760
1709989875882170,Deutsche Bank Belgium,Deutsche Bank Belgium,9364
1498177693625569,FGTB Gardiennage,FGTB Gardiennage,9151
1848893498684520,Santander Consumer Bank,Santander Consumer Bank,8202
414230891947291,Kruidvat België/Belgique,These ads ran without a disclaimer,8011
89846075866,ProDG,ProDG,7864
286270414893643,CBC Banque & Assurance,CBC Banque & Assurance,7777
146272022205358,NewB,NewB,7745
169065407139584,Tilt,Tilt,7638
558881267857893,walloniephotovoltaiques.com,LA PLATEFORME DU LEAD,7474
140923406062122,Dove,Dove,7336
53950718052,Médecins Sans Frontières,Médecins Sans Frontières (Belgique),6971
585236024850280,Belgian Nuclear Forum,Tout sur le nucléaire / Alles over kernenergie,6948
602581353103964,Colruyt Group,Colruyt Group,6722
107898832590939,European Commission,European Commission,6594
2146852388859659,Bolt,Bolt Energie,6460
88984475432,Amnesty International Belgique francophone,Amnesty International Belgique francophone,6306
305608429284,EU Environment,EU Environment,6257
185695311469945,Ben & Jerry's,Ben & Jerry's,6209
16301530829,Elio Di Rupo,Parti Socialiste (PS),6023
258877047783179,Macha,These ads ran without a disclaimer,5972
178016496357972,GuideGratuit.be,These ads ran without a disclaimer,5905
341897923206486,Frédéric Daerden,Frédéric Charles R Daerden,5905
283381275019979,Solvari Belgique,These ads ran without a disclaimer,5877
171238582919259,FGTB,FGTB - Fédération Générale du Travail de Belgique,5863
780466711993867,Nespresso,Nespresso,5400
156559267857740,CDH BW,cdH Brabant wallon,5344
681552741902811,Service Citoyen - Samenlevingsdienst,Service Citoyen,5327
371989752387,Transport & Environment,Transport & Environment,5300
208140805905898,GAIA - Global Action in the Interest of Animals,GAIA - Global Action in the Interest of Animals,5246
250345941651306,BNP Paribas Fortis Belgique,These ads ran without a disclaimer,5216
586599721528737,Résilux SA,These ads ran without a disclaimer,5144
518402351504731,Parti Socialiste (PS),These ads ran without a disclaimer,5097
121822074551891,Action Damien - Damiaanactie,Action Damien,5095
118510721519982,CNCD-11.11.11,CNCD-11.11.11,4949
