Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
178362315106,European Parliament,European Parliament,141359,876
1648096958816379,"Да, България","Да, България",51383,220
107898832590939,European Commission,European Commission,39302,284
401246707396255,Христо Иванов,Демократична България,24913,73
995342840629890,Демократична България,Демократична България,23742,140
100112124691395,Демократична България в Столичния общински съвет,Демократична България,22080,195
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,20515,209
178362315106,European Parliament,These ads ran without a disclaimer,18945,35
735335623203253,badu.bg,These ads ran without a disclaimer,18067,6
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,17786,18
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,12612,307
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,11865,42
116081183123848,Калоян Янков - Kaloyan Yankov,Yankov Kaloyan,9064,54
118545209545847,Ние Гражданите,www.niegrajdanite.site,8804,42
103233964987474,Ти броиш,"Да, България",8131,83
1163987410423594,Приоритети,БЗНС,7849,119
1832673263678286,Корнелия Нинова,пресцентър,7720,281
106284264679338,Бермудският триъгълник,Zeitgeist България,7048,206
1461853244069926,Радан Кънев,Радан Кънев,6372,110
195938627212812,Грийнпийс България,Greenpeace Bulgaria,6324,168
1525636387721037,Спаси София,ИК Борис Бонев за кмет на София,6167,110
1448688418697634,Topnovini.bg,Topnovini.bg,5513,371
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,5450,96
111131874129445,Победител,Победител,5369,71
233810563693016,Стефан Тафров,Стефан Тафров,5339,60
729627343834501,Kialo,These ads ran without a disclaimer,5331,273
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,5163,28
427091487494895,Веселин Марешки,Веселин Марешки,5144,75
262524054082832,informo.bg,informo.bg,4828,132
427091487494895,Веселин Марешки,These ads ran without a disclaimer,4776,11
46235289341,Vlado Karolev,SEE Capital Advisory,4510,47
48268614826,Volen Siderov,Десислав Чуколов,4493,25
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,4357,89
650913995015696,Здравко Димитров - Зико,Здравко Димитров - Зико,4336,82
48268614826,Volen Siderov,Волен Николов Сидеров,4317,221
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,4245,445
147547541961576,Council of the European Union,Council of the European Union,4243,237
448500651897944,Дани Каназирева,Стоянова Гергана,4136,128
823170804413576,Йорданка Фандъкова - Yordanka Fandakova,МК ГЕРБ/СДС/,3974,38
