Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,6645
1648096958816379,"Да, България","Да, България",2123
107898832590939,European Commission,European Commission,2097
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,1372
125816068816547,Андон Тодоров,Лилия Мечева,1161
401246707396255,Христо Иванов,Демократична България,1062
735335623203253,badu.bg,These ads ran without a disclaimer,930
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,924
1438204226503681,Партия на ЗЕЛЕНИТЕ,Соня Ставрева,921
995342840629890,Демократична България,Демократична България,870
178362315106,European Parliament,These ads ran without a disclaimer,792
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,592
1832673263678286,Корнелия Нинова,пресцентър,403
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,399
74441521161,Яне Янев,Яне Янев,345
1163987410423594,Приоритети,БЗНС,328
125816068816547,Андон Тодоров,Miroslava Ilieva,309
1459082564304109,Regiona BG,Соня Ставрева,294
48268614826,Volen Siderov,Волен Николов Сидеров,289
121410865928828,БЗНС - Сандански,Атанас Василев,278
106284264679338,Бермудският триъгълник,Zeitgeist България,266
103233964987474,Ти броиш,"Да, България",263
427091487494895,Веселин Марешки,Веселин Марешки,256
1461853244069926,Радан Кънев,Радан Кънев,233
101858651537997,Атака  За Православна България,Адриан Асенов,230
729627343834501,Kialo,These ads ran without a disclaimer,217
111131874129445,Победител,Победител,209
427091487494895,Веселин Марешки,These ads ran without a disclaimer,206
1438204226503681,Партия на ЗЕЛЕНИТЕ,These ads ran without a disclaimer,206
100625462083230,Емил Колевичин,Емил Колевичин,202
289082018098560,Движение ВОЛЯ,Движение Воля,198
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,194
262524054082832,informo.bg,informo.bg,191
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,189
147547541961576,Council of the European Union,Council of the European Union,188
1448688418697634,Topnovini.bg,Topnovini.bg,187
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,174
274783042565155,Уча.се,Уча.се,173
109298083801260,Албина Анева-Томова,Albina Aneva-Tomova,164
233810563693016,Стефан Тафров,Стефан Тафров,163
1580544528624837,4власт- Информационна агенция,Соня Ставрева,162
1438204226503681,Партия на ЗЕЛЕНИТЕ,Miroslava Ilieva,161
2413637455316898,Всички Новини,Соня Ставрева,152
100502688162733,За Бога и Човека,Димитър Савов,152
195938627212812,Грийнпийс България,Greenpeace Bulgaria,149
281240812299682,Новините от деня,Соня Ставрева,148
105386537536349,Борислав Пръков,These ads ran without a disclaimer,147
101642867911146,Стоян Божинов,Mihail Velev,142
2413637455316898,Всички Новини,These ads ran without a disclaimer,140
105701314680364,Pavel Valnev,Pavel Valnev,134
2001338343411469,Новините от Благоевград и България,Соня Ставрева,131
643076279442588,Alexis.bg,These ads ran without a disclaimer,126
115808076995823,Християн за България Православна Свята,Димитър Савов,122
218608215380166,TopNovina,Лилия Мечева,121
106499671297763,Моят Глас,Моят Глас,120
163350039852,Европейски парламент в България,Европейски парламент в България,120
1459082564304109,Regiona BG,These ads ran without a disclaimer,116
103664337713631,Движение ЗАЕДНО за промяна,Йордан Трендафилов,115
1183492355137046,Росен Богомилов,Ivanov Hristo,113
100572665201061,Политическа Партия Бригада,Арбен Хавальов,110
2051476654950711,Път на младите,Път на младите,109
134649730497,Actualno.com,Actualno.com,106
111768057292852,Българско лято,Българско лято,105
1648096958816379,"Да, България",Ивайло Мирчев,103
106961837822781,Републиканци за България,Републиканци за България,102
114443729937463,Росен Георгиев,dreamart,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100
141366725876424,European Greens,European Greens,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
692677637542890,Bar & Dinner,These ads ran without a disclaimer,≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
2308322492514513,Obshtestvo,Общество ОРГ,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
279391448746613,ПП "Земеделски съюз "Александър Стамболийски" Благоевград,These ads ran without a disclaimer,≤100
281240812299682,Новините от деня,These ads ran without a disclaimer,≤100
1427433997531642,Бали & СПА,These ads ran without a disclaimer,≤100
1580544528624837,4власт- Информационна агенция,These ads ran without a disclaimer,≤100
196869257582,Еко Новини,Еко Новини,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,≤100
48268614826,Volen Siderov,Десислав Чуколов,≤100
114254809968744,Rumen Tomov,Rumen Tomov,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
792732460839000,Valeri Smilenov,Kiril Atanasov,≤100
101796794703627,Отровното трио,Отровното трио,≤100
114443729937463,Росен Георгиев,These ads ran without a disclaimer,≤100
2513850155501663,Демократична България - Благоевград,Демократична България,≤100
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,≤100
110150327054753,Феим Иса- кмет на община Гърмен,Ali Hatip,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
108005927269254,Георги Думанов,These ads ran without a disclaimer,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
101127665385023,Наталия Димитрова- Попова / Natalia Dimitrova-Popova,Nataliya Dimitrova-Popova,≤100
104106688390461,Читанка,Читанка,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
1679461339043861,Възраждане,Възраждане,≤100
116200869776245,Крум Стоилов /21 - 118 в бюлетината/,Dobrin Stoilov,≤100
223193691527945,Независимо Банско - Nezavisimo Bansko,Nikolay Elenkov,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
170315589442,Gospodari,Gospodari,≤100
103638151043016,Иван Кадев,These ads ran without a disclaimer,≤100
103419518480666,Владимир Милушев,Vladimir Milushev,≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
