Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,8546
1648096958816379,"Да, България","Да, България",3595
107898832590939,European Commission,European Commission,2301
417917798392477,Живко Табаков,Живко Табаков - официална страница,2240
102232487847958,Димитър Найденов,Dimitar Naydenov,1808
401246707396255,Христо Иванов,Демократична България,1685
353988078058649,Петър Низамов     Petar Nizamov,Петър Низамов,1435
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,1153
178362315106,European Parliament,These ads ran without a disclaimer,1016
735335623203253,badu.bg,These ads ran without a disclaimer,991
103233964987474,Ти броиш,"Да, България",901
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,867
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,753
428923417145039,България на гражданите Бургас,България на гражданите Бургас,611
106178964638535,Изправи се.БГ - Бургас,Изправи се.БГ,482
1163987410423594,Приоритети,БЗНС,440
1832673263678286,Корнелия Нинова,пресцентър,421
120836639304355,Иван Монев - официална страница,Ivan Monev,416
106284264679338,Бермудският триъгълник,Zeitgeist България,386
107715390587765,Николай Тишев,БСП Бургас,340
111131874129445,Победител,Победител,311
417917798392477,Живко Табаков,These ads ran without a disclaimer,303
427091487494895,Веселин Марешки,Веселин Марешки,302
195938627212812,Грийнпийс България,Greenpeace Bulgaria,302
1448688418697634,Topnovini.bg,Topnovini.bg,292
995342840629890,Демократична България,Демократична България,291
427091487494895,Веселин Марешки,These ads ran without a disclaimer,290
1648096958816379,"Да, България",Ивайло Мирчев,285
262524054082832,informo.bg,informo.bg,283
2051476654950711,Път на младите,Път на младите,277
1461853244069926,Радан Кънев,Радан Кънев,277
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,269
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,258
48268614826,Volen Siderov,Волен Николов Сидеров,246
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,243
204240423705136,ПП МОРЕ,ПП МОРЕ,239
729627343834501,Kialo,These ads ran without a disclaimer,237
289082018098560,Движение ВОЛЯ,Движение Воля,224
147547541961576,Council of the European Union,Council of the European Union,224
274783042565155,Уча.се,Уча.се,202
