Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4496
1648096958816379,"Да, България","Да, България",1525
107898832590939,European Commission,European Commission,1194
420478588313252,Движение Заедно за промяна - ДА за Димитровград,Стефан Димитров Димитров,956
401246707396255,Христо Иванов,Демократична България,806
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,658
178362315106,European Parliament,These ads ran without a disclaimer,540
735335623203253,badu.bg,These ads ran without a disclaimer,476
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,460
100540061821442,Републиканци за България - Хасково,"ПП ""Републиканци за България"", област Хасково",443
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,407
995342840629890,Демократична България,Демократична България,303
631020226923156,ГЕРБ-Хасково,Vasil Mitev,299
1163987410423594,Приоритети,БЗНС,287
1832673263678286,Корнелия Нинова,пресцентър,262
106284264679338,Бермудският триъгълник,Zeitgeist България,200
346358422208415,Стефан Димитров,Стефан Димитров Димитров,185
103233964987474,Ти броиш,"Да, България",183
427091487494895,Веселин Марешки,Веселин Марешки,183
152684394776500,Д-р Марио - Природна медицина за цялото семейство,Mario Yanakiev,168
1448688418697634,Topnovini.bg,Topnovini.bg,164
427091487494895,Веселин Марешки,These ads ran without a disclaimer,160
48268614826,Volen Siderov,Волен Николов Сидеров,159
111131874129445,Победител,Победител,155
115861949818334,Движение •Време е за Хасково•,Георги Пеев,155
1461853244069926,Радан Кънев,Радан Кънев,152
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,149
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,148
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,146
442477622857591,Vasil Mitev - Васил Митев,Vasil Mitev,145
262524054082832,informo.bg,informo.bg,136
370273953330345,Evgenia Angelova,Офис на Евгения Ангелова,128
289082018098560,Движение ВОЛЯ,Движение Воля,127
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,126
101858651537997,Атака  За Православна България,Адриан Асенов,125
102858961862765,Сашо Савов,Vasil Mitev,118
147547541961576,Council of the European Union,Council of the European Union,117
105349481597398,Станимир Стоянов - 29 МИР Хасково,Stanimir Stoyanov,≤100
105701314680364,Pavel Valnev,Pavel Valnev,≤100
195938627212812,Грийнпийс България,Greenpeace Bulgaria,≤100
201899843265553,Aлександър Сабанов,Aleksandar Sabanov,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
134649730497,Actualno.com,Actualno.com,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
106499671297763,Моят Глас,Моят Глас,≤100
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,≤100
274783042565155,Уча.се,Уча.се,≤100
1648096958816379,"Да, България",Ивайло Мирчев,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
121692819231759,Иван Минев,These ads ran without a disclaimer,≤100
1183492355137046,Росен Богомилов,Ivanov Hristo,≤100
106961837822781,Републиканци за България,Републиканци за България,≤100
101119454630477,Христо Сариев,Христо Сариев,≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
643076279442588,Alexis.bg,These ads ran without a disclaimer,≤100
111768057292852,Българско лято,Българско лято,≤100
100408734709873,Веселин Илчев - Кандидат за кмет на гр.Хасково,Йоанна Статева,≤100
2051476654950711,Път на младите,Път на младите,≤100
100572665201061,Политическа Партия Бригада,Арбен Хавальов,≤100
115808076995823,Християн за България Православна Свята,Димитър Савов,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
46235289341,Vlado Karolev,SEE Capital Advisory,≤100
2308322492514513,Obshtestvo,Общество ОРГ,≤100
48268614826,Volen Siderov,Десислав Чуколов,≤100
228481527617566,Демократична България - Стара Загора,Демократична България - Стара Загора,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
420478588313252,Движение Заедно за промяна - ДА за Димитровград,These ads ran without a disclaimer,≤100
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100
141366725876424,European Greens,European Greens,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
104106688390461,Читанка,Читанка,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
1679461339043861,Възраждане,Възраждане,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
101796794703627,Отровното трио,Отровното трио,≤100
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
104644937617138,Ангел Папазов,Ангел Папазов,≤100
100754974636009,Демократична България - Хасково,These ads ran without a disclaimer,≤100
344617396401957,Ваня Григорова,Vanya Grigorova,≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
570067133191153,Иван Владов,These ads ran without a disclaimer,≤100
1367672173297067,Българска Социалистическа Партия,Българска Социалистическа Партия,≤100
127457487402289,ПП Глас народен,ПП Глас народен,≤100
170315589442,Gospodari,Gospodari,≤100
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,≤100
233810563693016,Стефан Тафров,Стефан Тафров,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
104812720887549,Коста Стоев,Kosta Stoev,≤100
444930982267001,Цвета Кирилова,Цвета Кирилова,≤100
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100
266312156156,Trt Bulgarian,These ads ran without a disclaimer,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,≤100
629301000594495,Виолета Желева,Виолета Желева,≤100
101555824591639,Д-р Н. Николов - Местни избори 2019 г. Община Хасково,These ads ran without a disclaimer,≤100
394730594658166,Заблуди в любовта,Български фонд за жените / Bulgarian Fund for Women,≤100
346358422208415,Стефан Димитров,These ads ran without a disclaimer,≤100
104514158117066,Кръстина Таскова/ Krastina Taskova,Political party Volya Movement,≤100
1621838538045377,ВМРО Хасково,These ads ran without a disclaimer,≤100
193905760625866,Doppelherz Bulgaria,Queisser Pharma Bulgaria,≤100
100896118178258,Достойнството на един народ,Достойнството на един народ,≤100
805557116231007,Главна дирекция "Национална полиция",These ads ran without a disclaimer,≤100
586177848546662,Д-р Георги Димов,These ads ran without a disclaimer,≤100
105969731378317,Републиканци за България - София град,Angel Ivanov,≤100
100744515419136,Тодор Топалов- кандидат на Демократична България,Тодор Топалов - Демократична България,≤100
183125116821,EURES,These ads ran without a disclaimer,≤100
1544953965731921,Цветан Гайд,Natanail Georgiev,≤100
324356301333631,Антикорупционен фонд,Антикорупционен фонд,≤100
167997703919912,Елена Пешева,СНЦ ВОЛЯ,≤100
650980745524113,Lega nel Mondo Bulgaria,Davide Cristiano,≤100
1449471385153938,RED TOWER,These ads ran without a disclaimer,≤100
615042775190542,Красимир Янков,Красимир Янков,≤100
48268614826,Volen Siderov,ПП АТАКА,≤100
347429092335844,Черна книга на правителственото разхищение,These ads ran without a disclaimer,≤100
136255256529200,Централна Избирателна Комисия,Централна Избирателна Комисия,≤100
1887175071512125,Аз съм един от 2 509 955 непримирими българи. А Вие?,Марин Георгиев,≤100
1679461339043861,Възраждане,Anna Hristova,≤100
727244807407719,Богдан Кирилов,Bogdan Kirilov,≤100
1754994061248148,AES Bulgaria/ЕЙ И ЕС България,These ads ran without a disclaimer,≤100
107171094187444,Branko Ivanov,These ads ran without a disclaimer,≤100
262681199589,ALDE Party – Liberals and Democrats for Europe,ALDE Party – Liberals and Democrats for Europe,≤100
1614684092127946,Китай без цензура,Китай без цензура,≤100
533489056704484,Български център за нестопанско право-БЦНП,Български център за нестопанско право-БЦНП,≤100
404421529636122,За Земята,Keremidchieva Violeta,≤100
836647486706752,Актуално,These ads ran without a disclaimer,≤100
136255256529200,Централна Избирателна Комисия,These ads ran without a disclaimer,≤100
1159090224155277,НФСБ - Пловдив област,dreamart,≤100
109512694231729,Информационна агенция Mediafax,Mediafax,≤100
595837157094793,ETI Collection,These ads ran without a disclaimer,≤100
709384432421964,България на Труда и Разума - БТР,These ads ran without a disclaimer,≤100
211424918871945,Георги Костов,Valkov Danail,≤100
159086909272944,Дай,Дай,≤100
194632287248942,ВМРО - Българско национално движение,ВМРО,≤100
100112124691395,Демократична България в Столичния общински съвет,Демократична България,≤100
289082018098560,Движение ВОЛЯ,These ads ran without a disclaimer,≤100
305608429284,EU Environment,These ads ran without a disclaimer,≤100
401257899988429,Иван Портних,These ads ran without a disclaimer,≤100
2027763654126460,БСП Хасково,These ads ran without a disclaimer,≤100
413012762124344,bradva.bg,These ads ran without a disclaimer,≤100
709384432421964,България на Труда и Разума - БТР,България на Труда и Разума - БТР,≤100
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,≤100
365142420704218,Лесен кредит,These ads ran without a disclaimer,≤100
116081183123848,Калоян Янков - Kaloyan Yankov,Yankov Kaloyan,≤100
1967166133516609,Valeri Simeonov,Mitrakiev Boyan,≤100
100708048271195,Петиция: "От народа за народа",Тошко Тодоров,≤100
211247363067771,Общество,Общество,≤100
1424938757739868,Civil Liberties Union for Europe,These ads ran without a disclaimer,≤100
109598500421936,Днес,These ads ran without a disclaimer,≤100
559359624446543,Национално Движение ‘Цар Калоян’,These ads ran without a disclaimer,≤100
59519326031,Капитал,Икономедиа,≤100
404421529636122,За Земята,За Земята,≤100
229586070497595,ПП ГЕРБ - Стара Загора,ПП ГЕРБ - Стара Загора,≤100
134649730497,Actualno.com,Webground,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
275751876931,AVON Bulgaria,These ads ran without a disclaimer,≤100
107549114255561,САЩ подкрепят България,These ads ran without a disclaimer,≤100
109820800817268,Hristo Zhorov,Ivanov Hristo,≤100
440532906297136,БСП Кърджали,These ads ran without a disclaimer,≤100
316002512431444,Tech@Facebook,These ads ran without a disclaimer,≤100
2041389956077700,Петър Клисаров,ПП Пряка демокрация,≤100
1756836897963434,Ивайло Симеонов,Denitsa Dobreva,≤100
119576588238010,Лиляна Павлова,Лиляна Павлова,≤100
120923579310475,Христо Вълчев,Nikolay Tenev,≤100
239611712717792,Красимир Каракачанов,Красимир Каракачанов,≤100
284609378287194,НПО портал,НПО портал,≤100
1587789761499903,BgSport Stil,These ads ran without a disclaimer,≤100
110952884141503,Има ли такава партия?,These ads ran without a disclaimer,≤100
651747871952382,Кристиян Шкварек,Oblakov Nikolay,≤100
1667387193547601,Бутик Милано/ Boutique Milano,Октай Мехмедали,≤100
11894837530,UNICEF Bulgaria,UNICEF Bulgaria,≤100
119405895873,Huawei,These ads ran without a disclaimer,≤100
274783042565155,Уча.се,These ads ran without a disclaimer,≤100
247214619360,Зелено движение,Зелено движение,≤100
487636818043374,Весела Лечева,Verginiya Dimitrova,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
155516354469476,Крум Дончев/Krum Donchev,These ads ran without a disclaimer,≤100
840508039323482,Искрен Веселинов,Искрен Веселинов - ВМРО,≤100
580544908998708,"Общ.ИСПЕРИХ-МИНАЛО,НАСТОЯЩЕ И Бъдеще",Юнуз Хаккъ,≤100
1459082564304109,Regiona BG,These ads ran without a disclaimer,≤100
116206531782887,Wise,These ads ran without a disclaimer,≤100
243836896168114,Александър Сиди,Александър Сиди,≤100
247214619360,Зелено движение,Ivanov Hristo,≤100
559359624446543,Национално Движение ‘Цар Калоян’,Miroslav Georgiev,≤100
315771075734365,Партия КОД - Консервативно Обединение на Десницата,These ads ran without a disclaimer,≤100
364788430386875,Инициатива "Правосъдие за всеки",Инициатива "Правосъдие за всеки",≤100
1329572193784367,Stem op een Vrouw,These ads ran without a disclaimer,≤100
650913995015696,Здравко Димитров - Зико,Здравко Димитров - Зико,≤100
315771075734365,Партия КОД - Консервативно Обединение на Десницата,Anitchkin Haralampi,≤100
828765900805875,ВМРО Стара Загора,Evden Nikolov,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
72324636188,Bird.bg,These ads ran without a disclaimer,≤100
1635132923194308,Кръстина Таскова,СНЦ ВОЛЯ,≤100
105143727640813,Top’s Honey,Top's honey,≤100
139581756144530,Ангел Джамбазки,Войчин Мирчо,≤100
1438646326347103,Ивелина Василева,These ads ran without a disclaimer,≤100
1449052665318446,European Asylum Support Office - EASO,These ads ran without a disclaimer,≤100
423831208205667,Мая Манолова марш на село,These ads ran without a disclaimer,≤100
1055079737898196,Адв.Божидар Колев-кандидат за народен представител-19/102,Божидар Колев,≤100
370126427038537,Свиленград МОЖЕ,These ads ran without a disclaimer,≤100
415934405499236,President Bulgaria,These ads ran without a disclaimer,≤100
1840027882991452,Консерваторъ,Oblakov Nikolay,≤100
1147377068609069,Мария Цветкова,Мария Цветкова- ВМРО,≤100
1544953965731921,Цветан Гайд,Георги Георгиев,≤100
828765900805875,ВМРО Стара Загора,Stefan Ivanov,≤100
179216538774562,24ins.bg,These ads ran without a disclaimer,≤100
651747871952382,Кристиян Шкварек,Krystian Szkwarek,≤100
105407121339669,Инж. Деан Станчев,Инж. Деан Станчев,≤100
59935306600,Diesel Hero & Дизел Юнак by Dr. Yonco Mermerski,These ads ran without a disclaimer,≤100
137320579016,Blitz.bg,Блиц,≤100
243868101610,ПП АТАКА,These ads ran without a disclaimer,≤100
231355234453479,Бъди войник,These ads ran without a disclaimer,≤100
919232861444360,European Youth Event,These ads ran without a disclaimer,≤100
176422139572231,БСП Свиленград,These ads ran without a disclaimer,≤100
1525636387721037,Спаси София,ИК Борис Бонев за кмет на София,≤100
187526028562585,Dantes,Dantes Denchev,≤100
373213199362639,WWF Bulgaria,These ads ran without a disclaimer,≤100
684649321622139,ВМРО Младежи - София,ВМРО Младежи - София,≤100
490656127781163,Кеворк Кеворкян,These ads ran without a disclaimer,≤100
109482817117216,Демократична България - Пловдив,Демократична България,≤100
126284006523,Eurochild,These ads ran without a disclaimer,≤100
615042775190542,Красимир Янков,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
2308322492514513,Obshtestvo,These ads ran without a disclaimer,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
271746059949890,Евро Ферт АД,These ads ran without a disclaimer,≤100
192761971423,Sport Depot,These ads ran without a disclaimer,≤100
351414791640117,Юлиан Ангелов,Юлиан Aнгелов - ВМРО,≤100
170916863064800,ВМРО - Женска организация,ВМРО - Женска организация,≤100
766619283459737,Chasovalnik,These ads ran without a disclaimer,≤100
327043254359706,Доц. д-р Милен Михов,Доц. д-р Милен Михов - ВМРО,≤100
409523793168497,Андрей Слабаков,Андрей Слабаков,≤100
1830012777053067,Възраждане - София,Nikolov Deyan,≤100
1624245034513280,ДПС - Община Смолян,Salih Arshinski,≤100
505458439599358,Смени системата с Блѫгарски Успѣшен Модeлъ,These ads ran without a disclaimer,≤100
105427737830976,АЛЕВА Консулт,These ads ran without a disclaimer,≤100
116156306438562,Надежда Петкова,Надежда Петкова,≤100
1979671802303128,Атанас Стоянов,Атанас Стоянов,≤100
1040487469355385,TripActions,These ads ran without a disclaimer,≤100
103609994948236,Сам срещу всички,Бойко Борисов: Сам срещу всички.,≤100
828411763950694,TaxEduportal,These ads ran without a disclaimer,≤100
1388178334846080,Национален младежки комитет,Национален младежки комитет на ВМРО,≤100
348718982355954,Прогледни,These ads ran without a disclaimer,≤100
1637403469881344,Ilhan Kyuchyuk,Kyuchyuk Ilhan,≤100
317433685633688,ВОЛЯ - Българските Родолюбци,These ads ran without a disclaimer,≤100
103050565049653,Константин за България Православна Свята,Константин Георгиев,≤100
115816835104562,Deutsche Bank,These ads ran without a disclaimer,≤100
279919645775063,БСП за България - Област Ямбол,Кристиан Вигенин,≤100
102375604876057,Fine Acts - Bulgaria,Fine Acts,≤100
