Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4669
298542210304791,Благо Солов / Blago Soloff,Благо Солов,2084
1648096958816379,"Да, България","Да, България",1488
107898832590939,European Commission,European Commission,1383
401246707396255,Христо Иванов,Демократична България,787
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,722
735335623203253,badu.bg,These ads ran without a disclaimer,653
178362315106,European Parliament,These ads ran without a disclaimer,597
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,530
105724620830341,Иван Панайотов,PP GERB,504
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,432
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,377
1832673263678286,Корнелия Нинова,пресцентър,293
103233964987474,Ти броиш,"Да, България",279
1163987410423594,Приоритети,БЗНС,266
111077251029866,Стефан Балабанов - Избори 2021,Рамадан Мехмед,255
995342840629890,Демократична България,Демократична България,239
106284264679338,Бермудският триъгълник,Zeitgeist България,235
427091487494895,Веселин Марешки,Веселин Марешки,206
1183492355137046,Росен Богомилов,Ivanov Hristo,194
111131874129445,Победител,Победител,183
48268614826,Volen Siderov,Волен Николов Сидеров,180
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,170
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,162
427091487494895,Веселин Марешки,These ads ran without a disclaimer,162
1461853244069926,Радан Кънев,Радан Кънев,155
110329560358142,"Иванка Кърджийска, граждански активист",Elena Mateeva,148
1448688418697634,Topnovini.bg,Topnovini.bg,148
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,143
101858651537997,Атака  За Православна България,Адриан Асенов,141
113647773370394,Георги Тупаров,These ads ran without a disclaimer,141
289082018098560,Движение ВОЛЯ,Движение Воля,138
262524054082832,informo.bg,informo.bg,128
147547541961576,Council of the European Union,Council of the European Union,127
274783042565155,Уча.се,Уча.се,117
134649730497,Actualno.com,Actualno.com,109
105701314680364,Pavel Valnev,Pavel Valnev,103
2051476654950711,Път на младите,Път на младите,103
298542210304791,Благо Солов / Blago Soloff,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
195938627212812,Грийнпийс България,Greenpeace Bulgaria,≤100
106499671297763,Моят Глас,Моят Глас,≤100
100502688162733,За Бога и Човека,Димитър Савов,≤100
101796794703627,Отровното трио,Отровното трио,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
111768057292852,Българско лято,Българско лято,≤100
1648096958816379,"Да, България",Ивайло Мирчев,≤100
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,≤100
643076279442588,Alexis.bg,These ads ran without a disclaimer,≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
100572665201061,Политическа Партия Бригада,Арбен Хавальов,≤100
115808076995823,Християн за България Православна Свята,Димитър Савов,≤100
106961837822781,Републиканци за България,Републиканци за България,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
2308322492514513,Obshtestvo,Общество ОРГ,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
745745842196473,Атанас Иванов Качаков,These ads ran without a disclaimer,≤100
104183485063561,Георги Янкулов - кандидат за народен представител,Георги Янкулов,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
1967166133516609,Valeri Simeonov,Mitrakiev Boyan,≤100
1387369924903782,Бъдеще за Община Велинград-гражданско обединение,Georgi Mavrov,≤100
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
104351627638304,Изправи се.БГ - Белово,These ads ran without a disclaimer,≤100
48268614826,Volen Siderov,Десислав Чуколов,≤100
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
141366725876424,European Greens,European Greens,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
104106688390461,Читанка,Читанка,≤100
1679461339043861,Възраждане,Възраждане,≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,≤100
1161789123969080,Атанас Шопов - Общински съветник,These ads ran without a disclaimer,≤100
1787354731489751,Тодор Попов,Тодор Попов,≤100
127457487402289,ПП Глас народен,ПП Глас народен,≤100
436128143511989,Алтернатива за Пазарджик,These ads ran without a disclaimer,≤100
170315589442,Gospodari,Gospodari,≤100
444930982267001,Цвета Кирилова,Цвета Кирилова,≤100
167997703919912,Елена Пешева,СНЦ ВОЛЯ,≤100
104514158117066,Кръстина Таскова/ Krastina Taskova,Political party Volya Movement,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
112705316758232,Николай Янев за кмет на Пазарджик,These ads ran without a disclaimer,≤100
105807494901446,Lyubomir Levicharov,Lyubomir Levicharov,≤100
233810563693016,Стефан Тафров,Стефан Тафров,≤100
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,≤100
1367672173297067,Българска Социалистическа Партия,Българска Социалистическа Партия,≤100
650980745524113,Lega nel Mondo Bulgaria,Davide Cristiano,≤100
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
1544953965731921,Цветан Гайд,Natanail Georgiev,≤100
793518730788512,Златна и Сребърна Бижутерия ТАЕЛ / TAEL,These ads ran without a disclaimer,≤100
105969731378317,Републиканци за България - София град,Angel Ivanov,≤100
404421529636122,За Земята,Keremidchieva Violeta,≤100
394730594658166,Заблуди в любовта,Български фонд за жените / Bulgarian Fund for Women,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
1456221634613364,ПП ГЕРБ Пазарджик Област,These ads ran without a disclaimer,≤100
805557116231007,Главна дирекция "Национална полиция",These ads ran without a disclaimer,≤100
106990047383631,Илиян Владов Порязов,These ads ran without a disclaimer,≤100
1063647696995316,Импресарска Фирма " РЕВЮ ",These ads ran without a disclaimer,≤100
183125116821,EURES,These ads ran without a disclaimer,≤100
