Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,2069
1648096958816379,"Да, България","Да, България",657
107898832590939,European Commission,European Commission,602
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,497
774327646009341,Емил Костадинов,Емил Костадинов,440
735335623203253,badu.bg,These ads ran without a disclaimer,434
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,381
112983206748771,Евдокия Асенова - Радомир,ОБС на БСП Радомир,350
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,341
401246707396255,Христо Иванов,Демократична България,339
178362315106,European Parliament,These ads ran without a disclaimer,281
154328721303,Георги Кадиев (Georgi Kadiev),Georgi Kadiev,220
1525636387721037,Спаси София,ИК Борис Бонев за кмет на София,188
304200936359386,Мая Манолова,Мая Манолова,169
46235289341,Vlado Karolev,SEE Capital Advisory,169
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,163
48268614826,Volen Siderov,Десислав Чуколов,159
109947980369954,Пламен Алексиев - Plamen Aleksiev,GM,150
106284264679338,Бермудският триъгълник,Zeitgeist България,137
106961837822781,Републиканци за България,Републиканци за България,136
1461853244069926,Радан Кънев,Радан Кънев,135
195938627212812,Грийнпийс България,Greenpeace Bulgaria,131
1163987410423594,Приоритети,БЗНС,123
1832673263678286,Корнелия Нинова,пресцентър,113
103233964987474,Ти броиш,"Да, България",108
114608919941167,Владимир Тренев за кмет на Радомир,Angel Trenev,≤100
111131874129445,Победител,Победител,≤100
823170804413576,Йорданка Фандъкова - Yordanka Fandakova,МК ГЕРБ/СДС/,≤100
1183492355137046,Росен Богомилов,Ivanov Hristo,≤100
427091487494895,Веселин Марешки,Веселин Марешки,≤100
774327646009341,Емил Костадинов,These ads ran without a disclaimer,≤100
127457487402289,ПП Глас народен,ПП Глас народен,≤100
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,≤100
1448688418697634,Topnovini.bg,Topnovini.bg,≤100
1577145262564024,АБВ - Перник,АБВ - Перник,≤100
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,≤100
119576588238010,Лиляна Павлова,Лиляна Павлова,≤100
427091487494895,Веселин Марешки,These ads ran without a disclaimer,≤100
106866741184074,Републиканци за България - Перник,Sergey Todorov,≤100
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,≤100
995342840629890,Демократична България,Демократична България,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
289082018098560,Движение ВОЛЯ,Движение Воля,≤100
262524054082832,informo.bg,informo.bg,≤100
643076279442588,Alexis.bg,These ads ran without a disclaimer,≤100
274783042565155,Уча.се,Уча.се,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
105701314680364,Pavel Valnev,Pavel Valnev,≤100
196869257582,Еко Новини,Еко Новини,≤100
106499671297763,Моят Глас,Моят Глас,≤100
106451201509854,"Сергей Тодоров, Републиканци за България - Перник",Sergey Todorov,≤100
110620020046,zapernik.com,These ads ran without a disclaimer,≤100
233810563693016,Стефан Тафров,Стефан Тафров,≤100
481529835332126,Deep Dish,These ads ran without a disclaimer,≤100
259922107547082,Д-р Султанка Петрова,ВМРО,≤100
1967166133516609,Valeri Simeonov,Mitrakiev Boyan,≤100
101796794703627,Отровното трио,Отровното трио,≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
134649730497,Actualno.com,Actualno.com,≤100
179988009453617,Boris Borissov - Борис Борисов,Boris Borisov,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
1577145262564024,АБВ - Перник,These ads ran without a disclaimer,≤100
1648096958816379,"Да, България",Ивайло Мирчев,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
100572665201061,Политическа Партия Бригада,Арбен Хавальов,≤100
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,≤100
111768057292852,Българско лято,Българско лято,≤100
82865033239,Калоян Паргов,БСП София,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
190741571096581,Петър Славов,Peter Slavov,≤100
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
2051476654950711,Път на младите,Път на младите,≤100
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100
163350039852,Европейски парламент в България,These ads ran without a disclaimer,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
101139977961422,Стефан Иванов - за кмет на София и общински съветник,Ivan Velkov,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
141366725876424,European Greens,European Greens,≤100
104106688390461,Читанка,Читанка,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
287044798131,Избирам Перник,These ads ran without a disclaimer,≤100
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,≤100
122787875780647,Възраждане за Банкя,Иван Савов,≤100
117472351629932,БСП СОФИЯ,БСП СОФИЯ,≤100
112983206748771,Евдокия Асенова - Радомир,These ads ran without a disclaimer,≤100
106678617410610,Ивайло Иванов,These ads ran without a disclaimer,≤100
1525636387721037,Спаси София,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
336639303182606,ПП ГЕРБ - София,These ads ran without a disclaimer,≤100
170315589442,Gospodari,Gospodari,≤100
107734337299017,Мая Александрова - кандидат за кмет на район Люлин,Dimitar Brayanov,≤100
1679461339043861,Възраждане,Възраждане,≤100
404421529636122,За Земята,Keremidchieva Violeta,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
1170825022932227,Христина Семерджиева -  ЗА"Овча купел",Vladimir Semerdjiev,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
336639303182606,ПП ГЕРБ - София,Коалиция ГЕРБ-СДС,≤100
122661569128163,Радостин Любомиров,These ads ran without a disclaimer,≤100
1967166133516609,Valeri Simeonov,Smart Media Consult Ltd,≤100
191614021180417,Милка Христова,БСП СОФИЯ,≤100
595837157094793,ETI Collection,These ads ran without a disclaimer,≤100
305608429284,EU Environment,These ads ran without a disclaimer,≤100
734105799990582,Карлос Контрера,Войчин Мирчо,≤100
444930982267001,Цвета Кирилова,Цвета Кирилова,≤100
638801676228695,Българска банка за развитие,Българска банка за развитие,≤100
104514158117066,Кръстина Таскова/ Krastina Taskova,Political party Volya Movement,≤100
320209328143802,Български Съюз за Директна Демокрация,Български Съюз за Директна Демокрация,≤100
624402004734046,Иво Пиперов,Ivo Piperov,≤100
1887175071512125,Аз съм един от 2 509 955 непримирими българи. А Вие?,Марин Георгиев,≤100
2308322492514513,Obshtestvo,Общество ОРГ,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
650980745524113,Lega nel Mondo Bulgaria,Davide Cristiano,≤100
394730594658166,Заблуди в любовта,Български фонд за жените / Bulgarian Fund for Women,≤100
