Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,13961
118545209545847,Ние Гражданите,www.niegrajdanite.site,8653
1648096958816379,"Да, България","Да, България",5057
107898832590939,European Commission,European Commission,4140
448500651897944,Дани Каназирева,Стоянова Гергана,4115
650913995015696,Здравко Димитров - Зико,Здравко Димитров - Зико,4093
106275630751495,Сега е времето,Ina Angelova,3620
109482817117216,Демократична България - Пловдив,Демократична България,3503
401246707396255,Христо Иванов,Демократична България,2537
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,2272
995342840629890,Демократична България,Демократична България,2026
178362315106,European Parliament,These ads ran without a disclaimer,1984
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,1926
735335623203253,badu.bg,These ads ran without a disclaimer,1664
512515892224612,Славчо Атанасов,Radoslav Chaushev,1651
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,1546
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,1202
454278658081734,Йордан Иванов,Yordan Ivanov,1056
106275630751495,Сега е времето,These ads ran without a disclaimer,907
357101931120801,Любомир Чакъров,Любомир Чакъров,839
117232146321893,Костадин Димитров - кметът на Тракия,Elitsa Mavrodinova,806
1832673263678286,Корнелия Нинова,пресцентър,749
1163987410423594,Приоритети,БЗНС,745
106284264679338,Бермудският триъгълник,Zeitgeist България,681
103233964987474,Ти броиш,"Да, България",603
103043611080627,Vladimir Marinov,Vladimir Marinov,598
729627343834501,Kialo,These ads ran without a disclaimer,560
2166739833562870,Веселина Александрова,Демократична България,555
101796794703627,Отровното трио,Отровното трио,506
111131874129445,Победител,Победител,492
1448688418697634,Topnovini.bg,Topnovini.bg,490
172815719404234,СЪЮЗ ЗА ПЛОВДИВ,Стоянова Гергана,481
427091487494895,Веселин Марешки,These ads ran without a disclaimer,475
195938627212812,Грийнпийс България,Greenpeace Bulgaria,470
262524054082832,informo.bg,informo.bg,462
118323779572503,Николай Радев за Пловдив на хората,Svetoslav Pojidaev,451
395062877280638,Зеленo движение в Пловдив,Демократична България,450
1461853244069926,Радан Кънев,Радан Кънев,449
48268614826,Volen Siderov,Волен Николов Сидеров,443
233810563693016,Стефан Тафров,Стефан Тафров,435
427091487494895,Веселин Марешки,Веселин Марешки,412
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,411
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,404
289082018098560,Движение ВОЛЯ,Движение Воля,403
280705602041579,ВМРО Пловдив,Petrov Dimcho,402
454278658081734,Йордан Иванов,Демократична България,400
118545209545847,Ние Гражданите,These ads ran without a disclaimer,400
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,398
134649730497,Actualno.com,Actualno.com,379
147547541961576,Council of the European Union,Council of the European Union,375
900339610002884,Димитър Янев,Димитър Янев,350
107565880642029,Земеделски Народен Съюз за Марица,Georgi Trenkov,340
101858651537997,Атака  За Православна България,Адриан Асенов,335
274783042565155,Уча.се,Уча.се,320
106499671297763,Моят Глас,Моят Глас,287
105701314680364,Pavel Valnev,Pavel Valnev,271
141366725876424,European Greens,European Greens,270
115951846933612,Републиканци за България - Пловдив,ПП Републиканци за България,249
1159090224155277,НФСБ - Пловдив област,dreamart,247
163350039852,Европейски парламент в България,Европейски парламент в България,246
2051476654950711,Път на младите,Път на младите,241
119576588238010,Лиляна Павлова,Лиляна Павлова,240
1967166133516609,Valeri Simeonov,Mitrakiev Boyan,237
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,233
2308322492514513,Obshtestvo,Общество ОРГ,220
100572665201061,Политическа Партия Бригада,Арбен Хавальов,220
111768057292852,Българско лято,Българско лято,214
709384432421964,България на Труда и Разума - БТР,Райчо Марков,210
643076279442588,Alexis.bg,These ads ran without a disclaimer,208
1648096958816379,"Да, България",Ивайло Мирчев,205
108574734359741,"Партия КОД, Официална страница",КОД,199
157793791502878,Savini,Vladislav Dimchev,198
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",197
395062877280638,Зеленo движение в Пловдив,Ivanov Hristo,195
1183492355137046,Росен Богомилов,Ivanov Hristo,191
100502688162733,За Бога и Човека,Димитър Савов,187
103609994948236,Сам срещу всички,Vozhda,186
106961837822781,Републиканци за България,Републиканци за България,172
512515892224612,Славчо Атанасов,These ads ran without a disclaimer,171
111077251029866,Стефан Балабанов - Избори 2021,Рамадан Мехмед,169
116521996388197,Промяната започва с действие,Промяната започва с действие,169
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,165
650913995015696,Здравко Димитров - Зико,These ads ran without a disclaimer,165
527351247377965,European Committee of the Regions,European Committee of the Regions,164
356285984443120,Петър Москов,Консервативно обединение на десницата,163
115808076995823,Християн за България Православна Свята,Димитър Савов,163
298542210304791,Благо Солов / Blago Soloff,Благо Солов,160
106756580716251,ВМРО - Асеновград,These ads ran without a disclaimer,157
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,153
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,152
295082755616,ДСБ Пловдив,Демократична България,149
117232146321893,Костадин Димитров - кметът на Тракия,These ads ran without a disclaimer,146
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,143
196869257582,Еко Новини,Еко Новини,141
207544111264,Mediapool.bg,Mediapool.bg,140
190316344375565,БЗНС,БЗНС,139
103199624418468,Лидия Гимишева,Lidiya Gimisheva,138
172815719404234,СЪЮЗ ЗА ПЛОВДИВ,These ads ran without a disclaimer,136
104296628174169,Димитър за България Православна Свята,Димитър Савов,134
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,133
1624468484507424,Павел Михайлов,Olga Daskalova,132
104106688390461,Читанка,Читанка,131
48268614826,Volen Siderov,Десислав Чуколов,129
762986410409232,За Петър Чобанов,Chobanov Petar,123
114133272105085,Пепа Деведжиева,Pepa Devedzhieva,120
106275630751495,Сега е времето,Ина Ангелова,120
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,120
595381480604774,Д-р Христо Грудев,These ads ran without a disclaimer,119
851819404881729,Виайлет такси  - Пловдив,These ads ran without a disclaimer,116
170315589442,Gospodari,Gospodari,116
608571119318086,Denislava Staneva Soprano,Denislava Staneva,113
398343726922160,Костадин Костадинов,Възраждане,111
101143393747049,Атанас Бояджиев,These ads ran without a disclaimer,111
127457487402289,ПП Глас народен,ПП Глас народен,109
1679461339043861,Възраждане,Възраждане,107
1505520436439498,БСП Хисаря - За открито и честно управление,Svetoslav Pojidaev,104
99823115305,Поглед Инфо,Поглед Инфо,102
552691901804371,Сузана Николова,Сузана Николова,101
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
103199624418468,Лидия Гимишева,These ads ran without a disclaimer,≤100
1171564862866070,Plovdiv Town - град Пловдив,Plovdiv Town - град Пловдив,≤100
104644937617138,Ангел Папазов,Ангел Папазов,≤100
1655374811403250,Слави Георгиев,Слави Георгиев,≤100
103043611080627,Vladimir Marinov,These ads ran without a disclaimer,≤100
191714710878057,Георги Титюков - зам.-кмет "Спорт и младежки дейности" в Община Пловдив,Георги Титюков,≤100
109482817117216,Демократична България - Пловдив,Yordan Ivanov,≤100
167997703919912,Елена Пешева,СНЦ ВОЛЯ,≤100
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,≤100
404421529636122,За Земята,Keremidchieva Violeta,≤100
353988078058649,Петър Низамов     Petar Nizamov,Петър Низамов,≤100
448500651897944,Дани Каназирева,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
284609378287194,НПО портал,НПО портал,≤100
444930982267001,Цвета Кирилова,Цвета Кирилова,≤100
1967166133516609,Valeri Simeonov,Smart Media Consult Ltd,≤100
106519330022117,Светлозар Янков,These ads ran without a disclaimer,≤100
305608429284,EU Environment,These ads ran without a disclaimer,≤100
394730594658166,Заблуди в любовта,Български фонд за жените / Bulgarian Fund for Women,≤100
1367672173297067,Българска Социалистическа Партия,Българска Социалистическа Партия,≤100
1228198117206814,Емил А. Георгиев,Georgiev Emil,≤100
2169116143357997,Постоянна ромска конференция,These ads ran without a disclaimer,≤100
330889637493030,Алина Добрева,Алина Добрева,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
1806064659643519,"Да, Пловдив",Демократична България,≤100
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100
108365237230498,Борис Вълев - кандидат за кмет на район "Северен" - Сега е времето,These ads ran without a disclaimer,≤100
533489056704484,Български център за нестопанско право-БЦНП,Български център за нестопанско право-БЦНП,≤100
1544953965731921,Цветан Гайд,Natanail Georgiev,≤100
193905760625866,Doppelherz Bulgaria,Queisser Pharma Bulgaria,≤100
836647486706752,Актуално,These ads ran without a disclaimer,≤100
