Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,2550
1648096958816379,"Да, България","Да, България",933
120162426040709,Бъдеще за Разград,Miroslav Grancharov,887
107898832590939,European Commission,European Commission,632
401246707396255,Христо Иванов,Демократична България,472
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,313
178362315106,European Parliament,These ads ran without a disclaimer,271
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,252
735335623203253,badu.bg,These ads ran without a disclaimer,233
580544908998708,"Общ.ИСПЕРИХ-МИНАЛО,НАСТОЯЩЕ И Бъдеще",Юнуз Хаккъ,161
1832673263678286,Корнелия Нинова,пресцентър,129
1163987410423594,Приоритети,БЗНС,124
427091487494895,Веселин Марешки,Веселин Марешки,122
204240423705136,ПП МОРЕ,ПП МОРЕ,122
893625900726913,Виртуална приемна на Калоян Монев - общински съветник в ОбС Разград,Monev Kaloyan,105
427091487494895,Веселин Марешки,These ads ran without a disclaimer,≤100
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,≤100
106284264679338,Бермудският триъгълник,Zeitgeist България,≤100
103233964987474,Ти броиш,"Да, България",≤100
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,≤100
1461853244069926,Радан Кънев,Радан Кънев,≤100
995342840629890,Демократична България,Демократична България,≤100
111131874129445,Победител,Победител,≤100
289082018098560,Движение ВОЛЯ,Движение Воля,≤100
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,≤100
1448688418697634,Topnovini.bg,Topnovini.bg,≤100
262524054082832,informo.bg,informo.bg,≤100
580544908998708,"Общ.ИСПЕРИХ-МИНАЛО,НАСТОЯЩЕ И Бъдеще",These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
