Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,2011
1648096958816379,"Да, България","Да, България",687
107898832590939,European Commission,European Commission,603
401246707396255,Христо Иванов,Демократична България,370
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,336
735335623203253,badu.bg,These ads ran without a disclaimer,267
1624245034513280,ДПС - Община Смолян,Salih Arshinski,222
178362315106,European Parliament,These ads ran without a disclaimer,219
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,197
1590739371167513,ДПС - Област Смолян,Salih Arshinski,188
995342840629890,Демократична България,Демократична България,133
1832673263678286,Корнелия Нинова,пресцентър,119
1163987410423594,Приоритети,БЗНС,113
427091487494895,Веселин Марешки,Веселин Марешки,≤100
106284264679338,Бермудският триъгълник,Zeitgeist България,≤100
103233964987474,Ти броиш,"Да, България",≤100
113101453423366,ПП ВОЛЯ - ДЕВИН,Kristian Karabeliov,≤100
111131874129445,Победител,Победител,≤100
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,≤100
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,≤100
1461853244069926,Радан Кънев,Радан Кънев,≤100
427091487494895,Веселин Марешки,These ads ran without a disclaimer,≤100
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,≤100
1448688418697634,Topnovini.bg,Topnovini.bg,≤100
643076279442588,Alexis.bg,These ads ran without a disclaimer,≤100
289082018098560,Движение ВОЛЯ,Движение Воля,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,≤100
247214619360,Зелено движение,Зелено движение,≤100
262524054082832,informo.bg,informo.bg,≤100
105701314680364,Pavel Valnev,Pavel Valnev,≤100
106844760720394,инж. Георги Тонков,These ads ran without a disclaimer,≤100
587200818099723,Борислав Сандов / Borislav Sandov,Зелено Движение,≤100
274783042565155,Уча.се,Уча.се,≤100
195938627212812,Грийнпийс България,Greenpeace Bulgaria,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
699379580207131,Коалиция за развитие на Община Смолян,These ads ran without a disclaimer,≤100
1648096958816379,"Да, България",Ивайло Мирчев,≤100
134649730497,Actualno.com,Actualno.com,≤100
106961837822781,Републиканци за България,Републиканци за България,≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
106499671297763,Моят Глас,Моят Глас,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
100572665201061,Политическа Партия Бригада,Арбен Хавальов,≤100
1183492355137046,Росен Богомилов,Ivanov Hristo,≤100
111768057292852,Българско лято,Българско лято,≤100
2308322492514513,Obshtestvo,Общество ОРГ,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
104106688390461,Читанка,Читанка,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
48268614826,Volen Siderov,Десислав Чуколов,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
2051476654950711,Път на младите,Път на младите,≤100
141366725876424,European Greens,European Greens,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
1679461339043861,Възраждане,Възраждане,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
101796794703627,Отровното трио,Отровното трио,≤100
107429110660723,Здравко Иванов,These ads ran without a disclaimer,≤100
170315589442,Gospodari,Gospodari,≤100
104514158117066,Кръстина Таскова/ Krastina Taskova,Political party Volya Movement,≤100
127457487402289,ПП Глас народен,ПП Глас народен,≤100
1449471385153938,RED TOWER,These ads ran without a disclaimer,≤100
1367672173297067,Българска Социалистическа Партия,Българска Социалистическа Партия,≤100
102417914520014,Николай Бозвелиев,Nikolay Bozveliev,≤100
394730594658166,Заблуди в любовта,Български фонд за жените / Bulgarian Fund for Women,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
183125116821,EURES,These ads ran without a disclaimer,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
1564770140423138,Аз Обичам Смолян,These ads ran without a disclaimer,≤100
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,≤100
112151323521917,Община Чепеларе заслужава повече,These ads ran without a disclaimer,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
595837157094793,ETI Collection,These ads ran without a disclaimer,≤100
805557116231007,Главна дирекция "Национална полиция",These ads ran without a disclaimer,≤100
193905760625866,Doppelherz Bulgaria,Queisser Pharma Bulgaria,≤100
233810563693016,Стефан Тафров,Стефан Тафров,≤100
266312156156,Trt Bulgarian,These ads ran without a disclaimer,≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
105969731378317,Републиканци за България - София град,Angel Ivanov,≤100
1679461339043861,Възраждане,Anna Hristova,≤100
136255256529200,Централна Избирателна Комисия,Централна Избирателна Комисия,≤100
159086909272944,Дай,Дай,≤100
305608429284,EU Environment,These ads ran without a disclaimer,≤100
167997703919912,Елена Пешева,СНЦ ВОЛЯ,≤100
1159090224155277,НФСБ - Пловдив област,dreamart,≤100
404421529636122,За Земята,Keremidchieva Violeta,≤100
586177848546662,Д-р Георги Димов,These ads ran without a disclaimer,≤100
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,≤100
650980745524113,Lega nel Mondo Bulgaria,Davide Cristiano,≤100
615042775190542,Красимир Янков,Красимир Янков,≤100
262681199589,ALDE Party – Liberals and Democrats for Europe,ALDE Party – Liberals and Democrats for Europe,≤100
324356301333631,Антикорупционен фонд,Антикорупционен фонд,≤100
1887175071512125,Аз съм един от 2 509 955 непримирими българи. А Вие?,Марин Георгиев,≤100
289082018098560,Движение ВОЛЯ,These ads ran without a disclaimer,≤100
106971900737894,The United Arab Emirates Nation Brand,These ads ran without a disclaimer,≤100
836647486706752,Актуално,These ads ran without a disclaimer,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
1624245034513280,ДПС - Община Смолян,These ads ran without a disclaimer,≤100
136255256529200,Централна Избирателна Комисия,These ads ran without a disclaimer,≤100
107171094187444,Branko Ivanov,These ads ran without a disclaimer,≤100
347429092335844,Черна книга на правителственото разхищение,These ads ran without a disclaimer,≤100
100112124691395,Демократична България в Столичния общински съвет,Демократична България,≤100
1754994061248148,AES Bulgaria/ЕЙ И ЕС България,These ads ran without a disclaimer,≤100
650913995015696,Здравко Димитров - Зико,Здравко Димитров - Зико,≤100
211424918871945,Георги Костов,Valkov Danail,≤100
413012762124344,bradva.bg,These ads ran without a disclaimer,≤100
107549114255561,САЩ подкрепят България,These ads ran without a disclaimer,≤100
247947655894064,Кирил Хаджихристев,These ads ran without a disclaimer,≤100
134649730497,Actualno.com,Webground,≤100
365142420704218,Лесен кредит,These ads ran without a disclaimer,≤100
149485941788903,ЗА Смолян,These ads ran without a disclaimer,≤100
275751876931,AVON Bulgaria,These ads ran without a disclaimer,≤100
1329572193784367,Stem op een Vrouw,These ads ran without a disclaimer,≤100
344617396401957,Ваня Григорова,Vanya Grigorova,≤100
102685121893682,Джуви за Смолян и Родопите,Vladimir Dzhuvinov,≤100
119405895873,Huawei,These ads ran without a disclaimer,≤100
360424321432255,Doha Debates,These ads ran without a disclaimer,≤100
116081183123848,Калоян Янков - Kaloyan Yankov,Yankov Kaloyan,≤100
100708048271195,Петиция: "От народа за народа",Тошко Тодоров,≤100
194632287248942,ВМРО - Българско национално движение,ВМРО,≤100
629301000594495,Виолета Желева,Виолета Желева,≤100
919232861444360,European Youth Event,These ads ran without a disclaimer,≤100
119576588238010,Лиляна Павлова,Лиляна Павлова,≤100
101389081996817,Диана Фиданова- кандидат за кмет на община Баните,Илина Димитрова,≤100
1438646326347103,Ивелина Василева,These ads ran without a disclaimer,≤100
211247363067771,Общество,Общество,≤100
109820800817268,Hristo Zhorov,Ivanov Hristo,≤100
247214619360,Зелено движение,Ivanov Hristo,≤100
840508039323482,Искрен Веселинов,Искрен Веселинов - ВМРО,≤100
105143727640813,Top’s Honey,Top's honey,≤100
105427737830976,АЛЕВА Консулт,These ads ran without a disclaimer,≤100
1459082564304109,Regiona BG,These ads ran without a disclaimer,≤100
284609378287194,НПО портал,НПО портал,≤100
109598500421936,Днес,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
559359624446543,Национално Движение ‘Цар Калоян’,These ads ran without a disclaimer,≤100
243836896168114,Александър Сиди,Александър Сиди,≤100
315771075734365,Партия КОД - Консервативно Обединение на Десницата,Anitchkin Haralampi,≤100
155516354469476,Крум Дончев/Krum Donchev,These ads ran without a disclaimer,≤100
1449052665318446,European Asylum Support Office - EASO,These ads ran without a disclaimer,≤100
239611712717792,Красимир Каракачанов,Красимир Каракачанов,≤100
274783042565155,Уча.се,These ads ran without a disclaimer,≤100
401257899988429,Иван Портних,These ads ran without a disclaimer,≤100
109482817117216,Демократична България - Пловдив,Демократична България,≤100
231355234453479,Бъди войник,These ads ran without a disclaimer,≤100
316002512431444,Tech@Facebook,These ads ran without a disclaimer,≤100
243868101610,ПП АТАКА,These ads ran without a disclaimer,≤100
2308322492514513,Obshtestvo,These ads ran without a disclaimer,≤100
651747871952382,Кристиян Шкварек,Krystian Szkwarek,≤100
651747871952382,Кристиян Шкварек,Oblakov Nikolay,≤100
1147377068609069,Мария Цветкова,Мария Цветкова- ВМРО,≤100
1587789761499903,BgSport Stil,These ads ran without a disclaimer,≤100
