Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,29151
100112124691395,Демократична България в Столичния общински съвет,Демократична България,21672
995342840629890,Демократична България,Демократична България,14881
1648096958816379,"Да, България","Да, България",12008
107898832590939,European Commission,European Commission,7875
1525636387721037,Спаси София,ИК Борис Бонев за кмет на София,5609
178362315106,European Parliament,These ads ran without a disclaimer,5171
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,5085
401246707396255,Христо Иванов,Демократична България,4829
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,4167
735335623203253,badu.bg,These ads ran without a disclaimer,4125
105758050796225,Георги Илиев - кмет на Слатина,"Да, България",3835
823170804413576,Йорданка Фандъкова - Yordanka Fandakova,МК ГЕРБ/СДС/,3780
233810563693016,Стефан Тафров,Стефан Тафров,3632
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,3461
46235289341,Vlado Karolev,SEE Capital Advisory,3316
48268614826,Volen Siderov,Десислав Чуколов,2986
195938627212812,Грийнпийс България,Greenpeace Bulgaria,2971
1461853244069926,Радан Кънев,Радан Кънев,2610
103139487719985,Район "Витоша" - Александър Кьосевски - Kандидат за кмет 2019,БСП СОФИЯ,2562
123484745711687,Константин Павлов - кмет на район Лозенец,"Да, България",2519
729627343834501,Kialo,These ads ran without a disclaimer,2493
102025847873624,Александър Ваклин,Александър Ваклин,2318
304200936359386,Мая Манолова,Мая Манолова,2288
154328721303,Георги Кадиев (Georgi Kadiev),Georgi Kadiev,2159
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,2078
105731786877098,AirSofia.Info,AirBG.info,1943
171676746220433,Ивайло Мирчев,Ивайло Мирчев,1810
715783095166706,Димитър Делчев,Alfamarket,1809
284529554932809,България на гражданите,Alfamarket,1773
1435581376738395,Стефан Марков,Стефан Марков за общински съветник,1745
1448688418697634,Topnovini.bg,Topnovini.bg,1744
1467696853502381,Партия на Зелените,Mitrakiev Boyan,1656
106284264679338,Бермудският триъгълник,Zeitgeist България,1650
117649926303037,Георги Валентинов Георгиев - общински съветник,Георги Георгиев - кандидат за общински съветник,1643
101796794703627,Отровното трио,Отровното трио,1620
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,1613
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,1550
1163987410423594,Приоритети,БЗНС,1528
103233964987474,Ти броиш,"Да, България",1488
48034275355,EPP - European People's Party,EPP - European People's Party,1390
1830012777053067,Възраждане - София,Nikolov Deyan,1366
561187070718518,ПП Движение Напред България,ПП Движение "Напред България",1323
262524054082832,informo.bg,informo.bg,1268
147547541961576,Council of the European Union,Council of the European Union,1210
127457487402289,ПП Глас народен,ПП Глас народен,1208
111131874129445,Победител,Победител,1192
141366725876424,European Greens,European Greens,1183
103793487652536,Владимир Петров,БСП СОФИЯ,1097
106241110790030,Атанас Медникаров - кандидат за кмет на район Студентски,VMRO - BND,1072
1832673263678286,Корнелия Нинова,пресцентър,1072
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,1066
253210631434135,ПОЛИТИКА и КОРУПЦИЯ !,These ads ran without a disclaimer,1008
2051476654950711,Път на младите,Път на младите,996
117649926303037,Георги Валентинов Георгиев - общински съветник,Георги Георгиев,991
163350039852,Европейски парламент в България,These ads ran without a disclaimer,947
427091487494895,Веселин Марешки,These ads ran without a disclaimer,930
117472351629932,БСП СОФИЯ,БСП СОФИЯ,921
694942987200347,Любомир Дреков,Borislava Hristova-Abadjieva,898
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,872
100607862103093,Републиканци за България - София 24 МИР,Републиканци за България,849
103521637674277,Кмет за София,ИК Радослав Каратанчев за кмет на София,847
336639303182606,ПП ГЕРБ - София,МК ГЕРБ /СДС/,827
694942987200347,Любомир Дреков,These ads ran without a disclaimer,799
190741571096581,Петър Славов,Peter Slavov,790
734105799990582,Карлос Контрера,Войчин Мирчо,779
103484624344404,Ангел Стефанов - кмет на Овча купел,"Да, България",763
105324790849459,Арх. Стефан Стефанов,Valentin Raychev,745
427091487494895,Веселин Марешки,Веселин Марешки,738
106499671297763,Моят Глас,Моят Глас,726
274783042565155,Уча.се,Уча.се,719
28312410177,World Food Programme,These ads ran without a disclaimer,703
190316344375565,БЗНС,БЗНС,701
48268614826,Volen Siderov,Волен Николов Сидеров,681
651747871952382,Кристиян Шкварек,Oblakov Nikolay,674
1706692426218926,Димитър Божилов,Димитър Божилов,672
558416064518510,"Да, за Младост",Rosen Georgiev,669
1648096958816379,"Да, България",Ивайло Мирчев,668
207544111264,Mediapool.bg,Mediapool.bg,662
82865033239,Калоян Паргов,БСП София,656
289082018098560,Движение ВОЛЯ,Движение Воля,642
233970676790649,Земеделски народен съюз,Alfamarket,638
1560928537284555,Vladislav Panev,Ivanov Hristo,632
1560928537284555,Vladislav Panev,Vladislav Panev,631
134649730497,Actualno.com,Actualno.com,619
638801676228695,Българска банка за развитие,Българска банка за развитие,617
760254480757763,Пресцентър АТАКА,Десислав Чуколов,609
356285984443120,Петър Москов,Консервативно обединение на десницата,608
113446830055501,"Петко Горанов  кмет на район ""Студентски"", София",Маргарита Горанова,608
105701314680364,Pavel Valnev,Pavel Valnev,597
643076279442588,Alexis.bg,These ads ran without a disclaimer,594
1183492355137046,Росен Богомилов,Ivanov Hristo,560
101277475162240,София Избира Децата,These ads ran without a disclaimer,557
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,553
108574734359741,"Партия КОД, Официална страница",КОД,549
247214619360,Зелено движение,Ivanov Hristo,525
179988009453617,Boris Borissov - Борис Борисов,Boris Borisov,523
2134865239860116,"София каза ""Да, България""","Да, България",511
823170804413576,Йорданка Фандъкова - Yordanka Fandakova,These ads ran without a disclaimer,500
457491278370259,Забелязано в Администрацията,These ads ran without a disclaimer,500
103609994948236,Сам срещу всички,Vozhda,499
1454418391266065,Румен Петков - Rumen Petkov,Georgiev Georgi Angelov,494
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,493
196869257582,Еко Новини,Еко Новини,485
527351247377965,European Committee of the Regions,European Committee of the Regions,469
163350039852,Европейски парламент в България,Европейски парламент в България,464
1170825022932227,Христина Семерджиева -  ЗА"Овча купел",Vladimir Semerdjiev,454
119576588238010,Лиляна Павлова,Лиляна Павлова,453
111768057292852,Българско лято,Българско лято,450
502893606416105,Николай Николов,Николай Николов,450
123622399032279,Христо Вълчанов за район Витоша,"Да, България",447
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,444
1485499585100466,Инж. Димитър Димов-Dipl Eng Dimitar Dimov,Цветелина Стефанова,418
1525636387721037,Спаси София,These ads ran without a disclaimer,417
116521996388197,Промяната започва с действие,Промяната започва с действие,411
101858651537997,Атака  За Православна България,Адриан Асенов,411
106759734825906,Иван Р. Тодоров,Ivan Todorov,406
103139487719985,Район "Витоша" - Александър Кьосевски - Kандидат за кмет 2019,These ads ran without a disclaimer,406
