Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,3400
107898832590939,European Commission,European Commission,1090
1648096958816379,"Да, България","Да, България",1003
735335623203253,badu.bg,These ads ran without a disclaimer,801
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,682
107591467320274,Инж.Николай Чолаков Page,Николай Чолаков,645
100301748023655,Свободен Костинброд,These ads ran without a disclaimer,617
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,570
127457487402289,ПП Глас народен,ПП Глас народен,558
401246707396255,Христо Иванов,Демократична България,523
116455316419527,Местна коалиция "Воля" - Костинброд,Mitrakiev Boyan,484
178362315106,European Parliament,These ads ran without a disclaimer,432
109620293776438,Стефан Николов,Алтернативата на гражданите,323
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,286
119131816153882,ДИБО Ботевград,Tsvetina Georgieva,265
154328721303,Георги Кадиев (Georgi Kadiev),Georgi Kadiev,212
106284264679338,Бермудският триъгълник,Zeitgeist България,193
1525636387721037,Спаси София,ИК Борис Бонев за кмет на София,192
194899274180302,Дамян Маринов,Damian Marinov,191
262524054082832,informo.bg,informo.bg,183
1163987410423594,Приоритети,БЗНС,175
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,170
1832673263678286,Корнелия Нинова,пресцентър,169
834597000272966,Димитър Г. Лъвски,These ads ran without a disclaimer,165
995342840629890,Демократична България,Демократична България,160
46235289341,Vlado Karolev,SEE Capital Advisory,148
48268614826,Volen Siderov,Волен Николов Сидеров,145
427091487494895,Веселин Марешки,Веселин Марешки,138
103233964987474,Ти броиш,"Да, България",137
111131874129445,Победител,Победител,135
1183492355137046,Росен Богомилов,Ivanov Hristo,133
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,118
195938627212812,Грийнпийс България,Greenpeace Bulgaria,116
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,116
101858651537997,Атака  За Православна България,Адриан Асенов,113
304200936359386,Мая Манолова,Мая Манолова,112
2027872237519327,Будилник Община Елин Пелин,These ads ran without a disclaimer,111
48268614826,Volen Siderov,Десислав Чуколов,109
643076279442588,Alexis.bg,These ads ran without a disclaimer,104
427091487494895,Веселин Марешки,These ads ran without a disclaimer,103
1448688418697634,Topnovini.bg,Topnovini.bg,≤100
289082018098560,Движение ВОЛЯ,Движение Воля,≤100
112618173477917,Георги Димитров за Сливница,Dimitrov Georgi,≤100
1461853244069926,Радан Кънев,Радан Кънев,≤100
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,≤100
823170804413576,Йорданка Фандъкова - Yordanka Fandakova,МК ГЕРБ/СДС/,≤100
1576164215958256,БСП Златица,Стоянка Балова,≤100
115400023186954,Д-р Йордан Петров,These ads ran without a disclaimer,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
274783042565155,Уча.се,Уча.се,≤100
105701314680364,Pavel Valnev,Pavel Valnev,≤100
106499671297763,Моят Глас,Моят Глас,≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
100572665201061,Политическа Партия Бригада,Арбен Хавальов,≤100
1648096958816379,"Да, България",Ивайло Мирчев,≤100
113807767157761,Републиканци за България - София Област,Републиканци за България - София област,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
115808076995823,Християн за България Православна Свята,Димитър Савов,≤100
134649730497,Actualno.com,Actualno.com,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
112977483440223,Местна коалиция Алтернативата на гражданите,Алтернативата на гражданите,≤100
111518640256852,Богомил Богомилов - кандидат за народен представител,Богомил Богомилов,≤100
111768057292852,Българско лято,Българско лято,≤100
119576588238010,Лиляна Павлова,Лиляна Павлова,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
2051476654950711,Път на младите,Път на младите,≤100
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,≤100
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,≤100
106961837822781,Републиканци за България,Републиканци за България,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100
329820107415889,Васил Цветков - народен представител в 44-то Народно събрание,Vasil Tsvetkov,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
179988009453617,Boris Borissov - Борис Борисов,Boris Borisov,≤100
101796794703627,Отровното трио,Отровното трио,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
141366725876424,European Greens,European Greens,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
1679461339043861,Възраждане,Възраждане,≤100
104106688390461,Читанка,Читанка,≤100
1967166133516609,Valeri Simeonov,Mitrakiev Boyan,≤100
170315589442,Gospodari,Gospodari,≤100
163350039852,Европейски парламент в България,These ads ran without a disclaimer,≤100
595837157094793,ETI Collection,These ads ran without a disclaimer,≤100
329820107415889,Васил Цветков - народен представител в 44-то Народно събрание,These ads ran without a disclaimer,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
190741571096581,Петър Славов,Peter Slavov,≤100
101139977961422,Стефан Иванов - за кмет на София и общински съветник,Ivan Velkov,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
444930982267001,Цвета Кирилова,Цвета Кирилова,≤100
404421529636122,За Земята,Keremidchieva Violeta,≤100
2308322492514513,Obshtestvo,Общество ОРГ,≤100
105969731378317,Републиканци за България - София град,Angel Ivanov,≤100
394730594658166,Заблуди в любовта,Български фонд за жените / Bulgarian Fund for Women,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
336639303182606,ПП ГЕРБ - София,МК ГЕРБ /СДС/,≤100
1544953965731921,Цветан Гайд,Natanail Georgiev,≤100
104514158117066,Кръстина Таскова/ Krastina Taskova,Political party Volya Movement,≤100
183125116821,EURES,These ads ran without a disclaimer,≤100
336639303182606,ПП ГЕРБ - София,These ads ran without a disclaimer,≤100
107591467320274,Инж.Николай Чолаков Page,These ads ran without a disclaimer,≤100
193905760625866,Doppelherz Bulgaria,Queisser Pharma Bulgaria,≤100
159086909272944,Дай,Дай,≤100
805557116231007,Главна дирекция "Национална полиция",These ads ran without a disclaimer,≤100
1525636387721037,Спаси София,These ads ran without a disclaimer,≤100
1449471385153938,RED TOWER,These ads ran without a disclaimer,≤100
1887175071512125,Аз съм един от 2 509 955 непримирими българи. А Вие?,Марин Георгиев,≤100
103793487652536,Владимир Петров,БСП СОФИЯ,≤100
107734337299017,Мая Александрова - кандидат за кмет на район Люлин,Dimitar Brayanov,≤100
1367672173297067,Българска Социалистическа Партия,Българска Социалистическа Партия,≤100
100112124691395,Демократична България в Столичния общински съвет,Демократична България,≤100
