Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,6394
1648096958816379,"Да, България","Да, България",2067
107898832590939,European Commission,European Commission,1734
401246707396255,Христо Иванов,Демократична България,1111
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,972
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,839
178362315106,European Parliament,These ads ran without a disclaimer,828
228481527617566,Демократична България - Стара Загора,Демократична България - Стара Загора,824
735335623203253,badu.bg,These ads ran without a disclaimer,766
46235289341,Vlado Karolev,SEE Capital Advisory,699
103233964987474,Ти броиш,"Да, България",663
420478588313252,Движение Заедно за промяна - ДА за Димитровград,Стефан Димитров Димитров,564
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,558
995342840629890,Демократична България,Демократична България,469
1832673263678286,Корнелия Нинова,пресцентър,462
101753367884956,Стоян Петров,These ads ran without a disclaimer,418
1163987410423594,Приоритети,БЗНС,404
106284264679338,Бермудският триъгълник,Zeitgeist България,328
229586070497595,ПП ГЕРБ - Стара Загора,ПП ГЕРБ - Стара Загора,323
111131874129445,Победител,Победител,254
1183492355137046,Росен Богомилов,Ivanov Hristo,241
427091487494895,Веселин Марешки,Веселин Марешки,241
1448688418697634,Topnovini.bg,Topnovini.bg,239
1461853244069926,Радан Кънев,Радан Кънев,237
828765900805875,ВМРО Стара Загора,Evden Nikolov,235
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,225
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,225
48268614826,Volen Siderov,Волен Николов Сидеров,225
427091487494895,Веселин Марешки,These ads ran without a disclaimer,223
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,222
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,217
262524054082832,informo.bg,informo.bg,205
195938627212812,Грийнпийс България,Greenpeace Bulgaria,202
106114551544296,Красимир Вълчев,ПП ГЕРБ,200
729627343834501,Kialo,These ads ran without a disclaimer,177
289082018098560,Движение ВОЛЯ,Движение Воля,175
91714018207,Живко Тодоров,Живко Тодоров,174
101858651537997,Атака  За Православна България,Адриан Асенов,170
147547541961576,Council of the European Union,Council of the European Union,166
108896990528680,Йордан Христов,These ads ran without a disclaimer,165
274783042565155,Уча.се,Уча.се,162
1635132923194308,Кръстина Таскова,СНЦ ВОЛЯ,156
1967166133516609,Valeri Simeonov,Mitrakiev Boyan,156
964108183935122,Емил Стоименов,Stoimenov Emil,151
106499671297763,Моят Глас,Моят Глас,144
105701314680364,Pavel Valnev,Pavel Valnev,143
134649730497,Actualno.com,Actualno.com,139
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,135
163350039852,Европейски парламент в България,Европейски парламент в България,122
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",121
709384432421964,България на Труда и Разума - БТР,Райчо Марков,118
828765900805875,ВМРО Стара Загора,These ads ran without a disclaimer,118
643076279442588,Alexis.bg,These ads ran without a disclaimer,111
108574734359741,"Партия КОД, Официална страница",КОД,110
1648096958816379,"Да, България",Ивайло Мирчев,108
2308322492514513,Obshtestvo,Общество ОРГ,107
1563207683909230,Зарата Новини,Zhelyazkov Petar,106
2051476654950711,Път на младите,Път на младите,104
111768057292852,Българско лято,Българско лято,101
100572665201061,Политическа Партия Бригада,Арбен Хавальов,101
100502688162733,За Бога и Човека,Димитър Савов,≤100
106961837822781,Републиканци за България,Републиканци за България,≤100
346358422208415,Стефан Димитров,Стефан Димитров Димитров,≤100
119576588238010,Лиляна Павлова,Лиляна Павлова,≤100
115808076995823,Християн за България Православна Свята,Димитър Савов,≤100
141366725876424,European Greens,European Greens,≤100
356285984443120,Петър Москов,Консервативно обединение на десницата,≤100
398450980521639,Атанас Славов - кандидат на Демократична България,Атанас Славов - Демократична България,≤100
2041389956077700,Петър Клисаров,ПП Пряка Демокрация,≤100
1716549201986593,Слави Т. Трифонов,ПП Има Такъв Народ,≤100
104106688390461,Читанка,Читанка,≤100
48268614826,Volen Siderov,Десислав Чуколов,≤100
1645339895679790,Ресторант "Орфеида",These ads ran without a disclaimer,≤100
760254480757763,Пресцентър АТАКА,Десислав Чуколов,≤100
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
103609994948236,Сам срещу всички,Vozhda,≤100
101796794703627,Отровното трио,Отровното трио,≤100
1751567228403557,ГЕРБ КАЗАНЛЪК,These ads ran without a disclaimer,≤100
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100
103439391741697,П.П.  Пряка Демокрация,Димитър Савов,≤100
102660361082858,ВОЛЯ Казанлък,These ads ran without a disclaimer,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
762986410409232,За Петър Чобанов,Chobanov Petar,≤100
398343726922160,Костадин Костадинов,Възраждане,≤100
170616756314388,Iveta Cherneva - Author,These ads ran without a disclaimer,≤100
1679461339043861,Възраждане,Възраждане,≤100
116521996388197,Промяната започва с действие,Промяната започва с действие,≤100
102761408552655,Лъчезар Борисов,ПП ГЕРБ,≤100
683910225098413,ЕН Такси 6106,These ads ran without a disclaimer,≤100
99823115305,Поглед Инфо,Поглед Инфо,≤100
127457487402289,ПП Глас народен,ПП Глас народен,≤100
284609378287194,НПО портал,НПО портал,≤100
233810563693016,Стефан Тафров,Стефан Тафров,≤100
170315589442,Gospodari,Gospodari,≤100
231167243587444,Konstantin Dragov,These ads ran without a disclaimer,≤100
1458743741116627,Асоциация на индустриалния капитал в България,These ads ran without a disclaimer,≤100
116521996388197,Промяната започва с действие,These ads ran without a disclaimer,≤100
487636818043374,Весела Лечева,Verginiya Dimitrova,≤100
1560928537284555,Vladislav Panev,Vladislav Panev,≤100
1967166133516609,Valeri Simeonov,Smart Media Consult Ltd,≤100
110540099038355,SOS Детски селища България,SOS Детски селища България,≤100
91714018207,Живко Тодоров,These ads ran without a disclaimer,≤100
108735963826795,Петър Желязков  41- 101,These ads ran without a disclaimer,≤100
104514158117066,Кръстина Таскова/ Krastina Taskova,Political party Volya Movement,≤100
1367672173297067,Българска Социалистическа Партия,Българска Социалистическа Партия,≤100
