Page ID,Page Name,Disclaimer,Amount Spent (EUR)
116081183123848,Калоян Янков - Kaloyan Yankov,Yankov Kaloyan,8083
178362315106,European Parliament,European Parliament,4751
1648096958816379,"Да, България","Да, България",1645
107898832590939,European Commission,European Commission,1296
113734730023753,Добромир Добрев,Добромир Добрев,932
401246707396255,Христо Иванов,Демократична България,846
106634937559960,Има Такъв Народ,ПП Има Такъв Народ,720
735335623203253,badu.bg,These ads ran without a disclaimer,509
178362315106,European Parliament,These ads ran without a disclaimer,508
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,469
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,403
995342840629890,Демократична България,Демократична България,382
487636818043374,Весела Лечева,Verginiya Dimitrova,363
1848253305454498,Явор Божанков,Явор Божанков,362
1832673263678286,Корнелия Нинова,пресцентър,349
1163987410423594,Приоритети,БЗНС,303
106284264679338,Бермудският триъгълник,Zeitgeist България,258
116081183123848,Калоян Янков - Kaloyan Yankov,These ads ran without a disclaimer,251
102125121198432,Велико Търново има избор 61,Илиян Дуков,242
103233964987474,Ти броиш,"Да, България",212
111131874129445,Победител,Победител,206
427091487494895,Веселин Марешки,Веселин Марешки,198
1848253305454498,Явор Божанков,Georgi Bachvarov,193
222261161147903,Хан Хаджи Николи / Hadji Nikoli Inn,Lyubomir Markov,188
1448688418697634,Topnovini.bg,Topnovini.bg,180
1461853244069926,Радан Кънев,Радан Кънев,173
427091487494895,Веселин Марешки,These ads ran without a disclaimer,173
110315867526143,Zeitgeist: Bulgaria,Zeitgeist България,169
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,169
155516354469476,Крум Дончев/Krum Donchev,Крум Дончев/Krum Donchev,164
48268614826,Volen Siderov,Волен Николов Сидеров,155
262524054082832,informo.bg,informo.bg,153
147547541961576,Council of the European Union,Council of the European Union,142
195938627212812,Грийнпийс България,Greenpeace Bulgaria,137
289082018098560,Движение ВОЛЯ,Движение Воля,126
729627343834501,Kialo,These ads ran without a disclaimer,122
101796794703627,Отровното трио,Отровното трио,121
106499671297763,Моят Глас,Моят Глас,117
101858651537997,Атака  За Православна България,Адриан Асенов,116
105701314680364,Pavel Valnev,Pavel Valnev,112
490656127781163,Кеворк Кеворкян,Кеворк Кеворкян,111
134649730497,Actualno.com,Actualno.com,105
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
709384432421964,България на Труда и Разума - БТР,Райчо Марков,≤100
2169116143357997,Постоянна ромска конференция,Roma Standing Conference,≤100
1848253305454498,Явор Божанков,These ads ran without a disclaimer,≤100
1648096958816379,"Да, България",Ивайло Мирчев,≤100
106961837822781,Републиканци за България,Републиканци за България,≤100
274783042565155,Уча.се,Уча.се,≤100
295567130571338,НФСБ /Национален фронт за спасение на България/,Политическа Партия "Национален Фронт за Спасение на България",≤100
108574734359741,"Партия КОД, Официална страница",КОД,≤100
