Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,6101
107898832590939,European Commission,European Commission,2467
496714657067332,Serdar Denktaş,Serdar Denktaş,2436
109083482458237,Mustafa Akıncı,Mustafa Akıncı,1984
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,1747
112732195470659,European Commission in Cyprus,European Commission in Cyprus,1480
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,1361
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,1325
1658836934390503,Tufan Erhürman,Tufan Erhürman,1121
1555729751333078,Ersin Tatar,Ersin Tatar,1101
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,764
204892446290422,Kudret Özersay,Kudret Özersay,735
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,635
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,632
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,432
175364966541034,Let's Make Cyprus Green,EkoNest,408
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,402
100514261565221,Chinese Embassy in Cyprus,Georgios Kitis,356
533373550026645,Aon Cyprus,Aon Cyprus,342
205478755729,European Parliament Office in Cyprus,European Parliament Office in Cyprus,321
1663243560590599,Ονούφριος Κουλλά l Onoufrios Koulla,Onoufrios Koulla,303
244607425634139,StockWatch Cyprus,Stockwatch,299
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,EDEK,295
112535566894357,Χρίστος Ζαννέττου - Christos Zannettou,Giorgos Zannetos,288
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,272
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,269
698669730577000,Ygeiawatch,Ygeiawatch,268
794974070573548,Toyota Cyprus,Toyota Cyprus,230
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,These ads ran without a disclaimer,228
111125275639882,epic cy,epic cy,225
147547541961576,Council of the European Union,Council of the European Union,209
220687858081709,Hasan Taçoy,HASAN TAÇOY,201
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,188
1184280198249256,Κίνημα Αλληλεγγύη,Κίνημα Αλληλεγγύη,184
102111178030734,ALPAN UZ,Uz Alpan,176
156466074385246,Kıbrıs Postası,Kıbrıs Postası,166
609745702447737,ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ,Eleftherios Demetriou,162
935543569845191,ΠΝΟΗ ΛΑΟΥ,ΠΝΟΗ ΛΑΟY,161
470323203056530,Συμμαχία Πολιτών,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,152
811609932267686,AKEL Türkçe,ΑΚΕΛ - AKEL,149
556192687867978,Σελίδα Χρύσανθου Σαββίδη,Chrysanthos Savvides,147
166984250879162,Vekibris,VeKıbrıs,142
325422097488660,Cumhuriyetçi Türk Partisi,Cumhuriyetçi Türk Partisi,139
305608429284,EU Environment,EU Environment,134
1644214549164677,Halkın Partisi,Halkın Partisi,127
1970316573002822,Şiddete Karşı Yan Yana,Şiddete Karşı Yan Yana,115
771955332942116,Χριστιάνα Ερωτοκρίτου,Christiana Erotokritou,110
100443554796863,Αιμιλία Ευαγγέλου Ξύδια-Aimilia Evangelou Xidia,Ioanna Evangelou,104
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,103
141366725876424,European Greens,European Greens,102
998046016880140,Νικόλας Παπαδόπουλος,Constantinos Georgallides,102
203131049761826,Ανδρέας Κυπριανού - Andreas Kyprianou,Andreas Kyprianou,≤100
100165882026706,Kleanthis Koutsoftas,Kleanthis Koutsoftas,≤100
878208312216203,Prof. Dr. Niyazi Kızılyürek,Niyazi Kızılyürek,≤100
112465656970942,Θκυό Λόγια / Thkio Logia,Thkio Logia,≤100
2221678617878265,Coca-Cola,Coca-Cola,≤100
1555729751333078,Ersin Tatar,These ads ran without a disclaimer,≤100
122074554119,EU Social,These ads ran without a disclaimer,≤100
1900800053503394,Ulusal Birlik Partisi,These ads ran without a disclaimer,≤100
270213387069072,Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou,\tGeorgia Constantinou Panayiotou,≤100
115653995162093,Nicos Tornaritis - Νίκος Τορναρίτης,Nicos Tornaritis - Νίκος Τορναρίτης,≤100
376769355759242,Cumhuriyetçi Türk Partisi Gençlik Örgütü,Cumhuriyetçi Türk Partisi,≤100
114666170404607,Lakis Ioannou - Γραφείο Δικαιωμάτων Πολίτη,Λακης Ιωαννου,≤100
46620712083,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,≤100
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,≤100
173956835959315,Ευθύμιος Δίπλαρος - Efthimios Diplaros,Ευθυμιος Διπλαρος,≤100
453414104748271,Lefkoşa Türk Belediyesi,Atif Muezzinler,≤100
105793014658187,Dursun Oğuz,Dursun Oğuz,≤100
788345414696872,Erhan Arıklı,These ads ran without a disclaimer,≤100
101131288575477,Protagonistes.com.cy,Protagonistes.com.cy,≤100
339741359534555,Katerina Panagopoulos,These ads ran without a disclaimer,≤100
101600574720044,Tolga Atakan,Tolga Atakan,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
293704380825571,Δημοκρατικό Κόμμα,Constantinos Georgallides,≤100
1450100371962753,Δήμος Αμμοχώστου,Δήμος Αμμοχώστου,≤100
131599480586562,Katerina Christophidou,Katerina Christophidou,≤100
113626357005765,CITR International,CITR Cyprus,≤100
1384880214973279,Παγκύπρια Συντεχνία Ισότητα,Kyriacos Kyriacou,≤100
160132285717693,Ως Ιθάκην : Κίνημα Αλλαγής και Κάθαρσης,Ioannis Cannas,≤100
243441845686056,Τουριστικός Τύπος - Tourist Press,Antreas Erotokritou,≤100
169357619771189,University of Nicosia,These ads ran without a disclaimer,≤100
311289838967373,ΚΩΝΣΤΑΝΤΙΝΟΣ ΟΔΥΣΣΕΩΣ,Κωνσταντινος Οδυσσεως,≤100
237392416610109,Coca-Cola HBC Cyprus,Lanitis Bros,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
133920606715369,Μιχάλης Δαμιανός - Michael Damianos,Michael Damianos,≤100
306684270037168,Μαρίνος Μουσιούττας,Andreas Nikitaras,≤100
1029832620461314,Respect Ayia Napa,Christakis Georgiadis,≤100
574047286040162,A. Karitzis & Associates LLC,Ζαχαρίας Καψής,≤100
105824561051061,"Υφυπουργείο Έρευνας, Καινοτομίας & Ψηφιακής Πολιτικής",These ads ran without a disclaimer,≤100
104705784234532,Keep our sand and sea plastic-free,Keep our sand and sea plastic-free,≤100
131599480586562,Katerina Christophidou,These ads ran without a disclaimer,≤100
310934165676880,Sophia For Children,Sophia For Children,≤100
219265161533109,StudentLife.com.cy,StudentLife.com.cy,≤100
553108428214366,Simos Ioannou - Σίμος Ιωάννου,Simos Ioannou,≤100
794332650955917,Fouroshiki,Fouroshiki Limited,≤100
315840879071640,Loucas Fourlas,Loucas Fourlas,≤100
436419753766608,Παναγιώτης Σεντώνας - Panayiotis Sentonas,Παναγιώτης Σεντώνας - Panayiotis Sentonas,≤100
