Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,3180
1555729751333078,Ersin Tatar,Ersin Tatar,1480
107898832590939,European Commission,European Commission,1309
109083482458237,Mustafa Akıncı,Mustafa Akıncı,1204
496714657067332,Serdar Denktaş,Serdar Denktaş,1167
1658836934390503,Tufan Erhürman,Tufan Erhürman,736
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,550
112732195470659,European Commission in Cyprus,European Commission in Cyprus,469
204892446290422,Kudret Özersay,Kudret Özersay,401
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,286
175364966541034,Let's Make Cyprus Green,EkoNest,285
220687858081709,Hasan Taçoy,HASAN TAÇOY,255
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,202
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,175
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,171
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,164
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,156
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,152
277418479069194,CTP Girne İlçesi,Cumhuriyetçi Türk Partisi,144
811609932267686,AKEL Türkçe,ΑΚΕΛ - AKEL,114
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,These ads ran without a disclaimer,114
111125275639882,epic cy,epic cy,111
325422097488660,Cumhuriyetçi Türk Partisi,Cumhuriyetçi Türk Partisi,103
147547541961576,Council of the European Union,Council of the European Union,≤100
1970316573002822,Şiddete Karşı Yan Yana,Şiddete Karşı Yan Yana,≤100
102111178030734,ALPAN UZ,Uz Alpan,≤100
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,≤100
878208312216203,Prof. Dr. Niyazi Kızılyürek,Niyazi Kızılyürek,≤100
1644214549164677,Halkın Partisi,Halkın Partisi,≤100
156466074385246,Kıbrıs Postası,Kıbrıs Postası,≤100
609745702447737,ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ,Eleftherios Demetriou,≤100
166984250879162,Vekibris,VeKıbrıs,≤100
533373550026645,Aon Cyprus,Aon Cyprus,≤100
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,≤100
794974070573548,Toyota Cyprus,Toyota Cyprus,≤100
1900800053503394,Ulusal Birlik Partisi,These ads ran without a disclaimer,≤100
998046016880140,Νικόλας Παπαδόπουλος,Constantinos Georgallides,≤100
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,≤100
112465656970942,Θκυό Λόγια / Thkio Logia,Thkio Logia,≤100
1555729751333078,Ersin Tatar,These ads ran without a disclaimer,≤100
114666170404607,Lakis Ioannou - Γραφείο Δικαιωμάτων Πολίτη,Λακης Ιωαννου,≤100
453414104748271,Lefkoşa Türk Belediyesi,Atif Muezzinler,≤100
2221678617878265,Coca-Cola,Coca-Cola,≤100
376769355759242,Cumhuriyetçi Türk Partisi Gençlik Örgütü,Cumhuriyetçi Türk Partisi,≤100
305608429284,EU Environment,EU Environment,≤100
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,≤100
141366725876424,European Greens,European Greens,≤100
788345414696872,Erhan Arıklı,These ads ran without a disclaimer,≤100
376769355759242,Cumhuriyetçi Türk Partisi Gençlik Örgütü,These ads ran without a disclaimer,≤100
101600574720044,Tolga Atakan,Tolga Atakan,≤100
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,≤100
339741359534555,Katerina Panagopoulos,These ads ran without a disclaimer,≤100
470323203056530,Συμμαχία Πολιτών,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,≤100
1924710064268211,The Pionears Cyprus,Eleni Tsiouti,≤100
205478755729,European Parliament Office in Cyprus,European Parliament Office in Cyprus,≤100
107020484724682,Πέτρος Νακούζη - Petros Nacouzi,Petros Nacouzi,≤100
1803683629674363,Seçim Analiz,These ads ran without a disclaimer,≤100
794974070573548,Toyota Cyprus,Amalia Chiromeridou,≤100
105793014658187,Dursun Oğuz,Dursun Oğuz,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
1547289762223708,Casino İşletmecileri Birliği,Aziz Korkmaz,≤100
252217245625469,Earth and Ocean Cyprus,Earth & Ocean,≤100
122074554119,EU Social,These ads ran without a disclaimer,≤100
237392416610109,Coca-Cola HBC Cyprus,Lanitis Bros,≤100
46620712083,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,≤100
556192687867978,Σελίδα Χρύσανθου Σαββίδη,Chrysanthos Savvides,≤100
