Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,5247
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,2907
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,2619
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,2432
107898832590939,European Commission,European Commission,1884
112732195470659,European Commission in Cyprus,European Commission in Cyprus,1214
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,1186
502944236549149,Ανδρέας Αποστόλου,Ανδρέας Α. Αποστόλου,1142
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,1068
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,EDEK,745
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,638
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,542
114666170404607,Lakis Ioannou - Γραφείο Δικαιωμάτων Πολίτη,Λακης Ιωαννου,516
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,498
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,488
244607425634139,StockWatch Cyprus,Stockwatch,478
205478755729,European Parliament Office in Cyprus,European Parliament Office in Cyprus,470
1663243560590599,Ονούφριος Κουλλά l Onoufrios Koulla,Onoufrios Koulla,415
115653995162093,Nicos Tornaritis - Νίκος Τορναρίτης,Nicos Tornaritis - Νίκος Τορναρίτης,407
935543569845191,ΠΝΟΗ ΛΑΟΥ,ΠΝΟΗ ΛΑΟY,380
698669730577000,Ygeiawatch,Ygeiawatch,379
100514261565221,Chinese Embassy in Cyprus,Georgios Kitis,340
175364966541034,Let's Make Cyprus Green,EkoNest,336
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,335
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,334
470323203056530,Συμμαχία Πολιτών,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,323
794974070573548,Toyota Cyprus,Toyota Cyprus,277
771955332942116,Χριστιάνα Ερωτοκρίτου,Christiana Erotokritou,265
556192687867978,Σελίδα Χρύσανθου Σαββίδη,Chrysanthos Savvides,261
533373550026645,Aon Cyprus,Aon Cyprus,259
1184280198249256,Κίνημα Αλληλεγγύη,Κίνημα Αλληλεγγύη,252
111125275639882,epic cy,epic cy,226
147547541961576,Council of the European Union,Council of the European Union,219
203131049761826,Ανδρέας Κυπριανού - Andreas Kyprianou,Andreas Kyprianou,218
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,215
1639752569433397,Θεόδωρος Μανιταράς,Theodoros Manitaras,200
108613407328077,Georgiou Makis,Apollonia Palmyri,189
101155998600240,Σωτήρης Ιωάννου,Σωτηρης Ιωαννου,188
305608429284,EU Environment,EU Environment,177
103371315030884,Διεθνολόγος Πέτρος Ζαρούνας,Petros Zarounas,170
270213387069072,Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou,\tGeorgia Constantinou Panayiotou,168
173956835959315,Ευθύμιος Δίπλαρος - Efthimios Diplaros,Ευθυμιος Διπλαρος,167
609745702447737,ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ,Eleftherios Demetriou,163
358536694500716,Άννα Κοσμά / Anna Kosma /,Anna Kosma,162
46620712083,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,155
306684270037168,Μαρίνος Μουσιούττας,Andreas Nikitaras,144
141366725876424,European Greens,European Greens,142
2043648115906156,Alecos Markides - Αλέκος Μαρκίδης,Alecos Markides,135
101131288575477,Protagonistes.com.cy,Protagonistes.com.cy,134
28312410177,World Food Programme,These ads ran without a disclaimer,123
2221678617878265,Coca-Cola,Coca-Cola,121
131599480586562,Katerina Christophidou,Katerina Christophidou,121
114666170404607,Lakis Ioannou - Γραφείο Δικαιωμάτων Πολίτη,These ads ran without a disclaimer,115
264549677274777,Andreas Ttaouxis - Ανδρέας Τταουξιής,Ανδρέας Τταουξιη,112
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,These ads ran without a disclaimer,109
133920606715369,Μιχάλης Δαμιανός - Michael Damianos,Michael Damianos,104
169357619771189,University of Nicosia,These ads ran without a disclaimer,103
293704380825571,Δημοκρατικό Κόμμα,Constantinos Georgallides,102
173555302713353,Curves Larnaca,These ads ran without a disclaimer,101
998046016880140,Νικόλας Παπαδόπουλος,Constantinos Georgallides,≤100
104837798005091,Πρόδρομος Αλαμπρίτης - Prodromos Alambritis,Προδρομος Αλαμπριτης,≤100
105824561051061,"Υφυπουργείο Έρευνας, Καινοτομίας & Ψηφιακής Πολιτικής",These ads ran without a disclaimer,≤100
112465656970942,Θκυό Λόγια / Thkio Logia,Thkio Logia,≤100
275845143290085,Ioannis Savva Archaeologist - Research Historian,Ioannis Savva,≤100
