Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,10206
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,2215
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,2210
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,EDEK,1768
112732195470659,European Commission in Cyprus,European Commission in Cyprus,1504
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,1149
107898832590939,European Commission,European Commission,1039
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,811
115653995162093,Nicos Tornaritis - Νίκος Τορναρίτης,Nicos Tornaritis - Νίκος Τορναρίτης,762
609745702447737,ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ,Eleftherios Demetriou,650
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,637
470323203056530,Συμμαχία Πολιτών,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,630
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,589
305608429284,EU Environment,EU Environment,578
306684270037168,Μαρίνος Μουσιούττας,Andreas Nikitaras,566
141366725876424,European Greens,European Greens,556
270213387069072,Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou,\tGeorgia Constantinou Panayiotou,508
811609932267686,AKEL Türkçe,ΑΚΕΛ - AKEL,445
46620712083,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,399
131599480586562,Katerina Christophidou,Katerina Christophidou,384
831939610501208,Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή,Marinos Cleanthous,335
878208312216203,Prof. Dr. Niyazi Kızılyürek,Niyazi Kızılyürek,283
436419753766608,Παναγιώτης Σεντώνας - Panayiotis Sentonas,Παναγιώτης Σεντώνας - Panayiotis Sentonas,233
131599480586562,Katerina Christophidou,These ads ran without a disclaimer,231
339741359534555,Katerina Panagopoulos,These ads ran without a disclaimer,223
998046016880140,Νικόλας Παπαδόπουλος,Μανωλης Κυριακου,223
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,These ads ran without a disclaimer,193
1406872809567447,Δημήτρης Παπαδάκης,Δημήτρης Παπαδάκης - Demetris Papadakis,177
293704380825571,Δημοκρατικό Κόμμα,Constantinos Georgallides,174
698669730577000,Ygeiawatch,Ygeiawatch,170
1900800053503394,Ulusal Birlik Partisi,These ads ran without a disclaimer,166
2221678617878265,Coca-Cola,Coca-Cola,157
326882297995016,Ψηφίζω Δρ. Μαρδαπήττα Χρύσανθο,These ads ran without a disclaimer,155
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,148
533373550026645,Aon Cyprus,Aon Cyprus,147
293704380825571,Δημοκρατικό Κόμμα,Μανωλης Κυριακου,141
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,134
794332650955917,Fouroshiki,Fouroshiki Limited,132
1820884184678798,Ξαναμπές στο Παιχνίδι - Ευρωεκλογές 2019,These ads ran without a disclaimer,127
2043648115906156,Alecos Markides - Αλέκος Μαρκίδης,Alecos Markides,107
249760808408460,Οργάνωση Νέων Επιστημόνων ΔΗΣΥ,These ads ran without a disclaimer,107
394425467361593,Dr. Fischer Cyprus,These ads ran without a disclaimer,≤100
315840879071640,Loucas Fourlas,Isidoros Kolotas,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
305608429284,EU Environment,These ads ran without a disclaimer,≤100
109083482458237,Mustafa Akıncı,Mustafa Akıncı,≤100
204892446290422,Kudret Özersay,Kudret Özersay,≤100
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,≤100
1570853669894501,Elias Myrianthous Βουλευτής Κ. Σ. ΕΔΕΚ Πάφου,These ads ran without a disclaimer,≤100
492377674148648,Παγκύπριο Φεστιβάλ Νεολαίας & Φοιτητών ΕΔΟΝ,Alkis Sylikiotis,≤100
1666515286969405,Χρύσανθος Φάκας - Chrysanthos Fakas,These ads ran without a disclaimer,≤100
878208312216203,Prof. Dr. Niyazi Kızılyürek,These ads ran without a disclaimer,≤100
355087424564148,VoteWatch Europe,These ads ran without a disclaimer,≤100
2243589379200521,Cyclamen Project,These ads ran without a disclaimer,≤100
1555729751333078,Ersin Tatar,Ersin Tatar,≤100
642656172469187,Kim Nicolaou - Artist,Kyriacos Nicolaou,≤100
998046016880140,Νικόλας Παπαδόπουλος,Constantinos Georgallides,≤100
175364966541034,Let's Make Cyprus Green,EkoNest,≤100
1969039479869301,Νατάσα Ιωάννου,These ads ran without a disclaimer,≤100
1666888540256216,Νεολαία Οικολόγων-Young Cyprus Greens,These ads ran without a disclaimer,≤100
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,≤100
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,These ads ran without a disclaimer,≤100
115653995162093,Nicos Tornaritis - Νίκος Τορναρίτης,These ads ran without a disclaimer,≤100
1820884184678798,Ξαναμπές στο Παιχνίδι - Ευρωεκλογές 2019,Andreas Andreou,≤100
270213387069072,Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou,These ads ran without a disclaimer,≤100
129254657098019,Accept - LGBTI Cyprus,These ads ran without a disclaimer,≤100
492377674148648,Παγκύπριο Φεστιβάλ Νεολαίας & Φοιτητών ΕΔΟΝ,These ads ran without a disclaimer,≤100
219265161533109,StudentLife.com.cy,StudentLife.com.cy,≤100
332523037613071,Ιακώβου Βάκης,Γιωργος Αλεξανδρου,≤100
192502287525568,24h.com.cy,These ads ran without a disclaimer,≤100
445219289352830,PSD Diaspora Cipru,These ads ran without a disclaimer,≤100
315840879071640,Loucas Fourlas,These ads ran without a disclaimer,≤100
117799504920552,ΑΚΕΛ - AKEL,These ads ran without a disclaimer,≤100
48034275355,EPP - European People's Party,EPP - European People's Party,≤100
996217153768083,Happy Hatchery,These ads ran without a disclaimer,≤100
311289838967373,ΚΩΝΣΤΑΝΤΙΝΟΣ ΟΔΥΣΣΕΩΣ,Κωνσταντινος Οδυσσεως,≤100
264549677274777,Andreas Ttaouxis - Ανδρέας Τταουξιής,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
1793510380925494,USR Diaspora,These ads ran without a disclaimer,≤100
338449099676042,SiFu Giorgio Gigs,These ads ran without a disclaimer,≤100
126673650730964,garagErasmus Foundation,These ads ran without a disclaimer,≤100
600328553408402,Friedrich Ebert Stiftung - FES Cyprus,FES Cyprus,≤100
184459331590578,Michalis Sophocleous,These ads ran without a disclaimer,≤100
184060638403926,Pavlides Laboratory,These ads ran without a disclaimer,≤100
133920606715369,Μιχάλης Δαμιανός - Michael Damianos,These ads ran without a disclaimer,≤100
1075706322493158,Ομοσπονδία Συνδέσμων Γονέων Δημοσίων Σχολείων Μέσης Εκπαίδευσης Λευκωσίας,These ads ran without a disclaimer,≤100
1651084981816691,Boobam,These ads ran without a disclaimer,≤100
107898832590939,European Commission,These ads ran without a disclaimer,≤100
1184280198249256,Κίνημα Αλληλεγγύη,Κίνημα Αλληλεγγύη,≤100
1644214549164677,Halkın Partisi,These ads ran without a disclaimer,≤100
306221479930314,Constantinos Ioannou -  Minister of Health,These ads ran without a disclaimer,≤100
831939610501208,Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή,These ads ran without a disclaimer,≤100
919232861444360,European Youth Event,These ads ran without a disclaimer,≤100
169970233695201,Mehmet Manavoğlu,These ads ran without a disclaimer,≤100
436419753766608,Παναγιώτης Σεντώνας - Panayiotis Sentonas,These ads ran without a disclaimer,≤100
401156360637381,Μεγάλη Ελλάδα / Megali Ellada,Eleftherios Demetriou,≤100
237392416610109,Coca-Cola HBC Cyprus,Lanitis Bros,≤100
408568246617951,Μαρία Παστελλά,Eftychios Michail,≤100
846785392333726,Voice Kıbrıs Haber,These ads ran without a disclaimer,≤100
715275145197045,Dialogos,Dialogos,≤100
335839580440114,Ask Europe,These ads ran without a disclaimer,≤100
281904555771607,Gool Gadgets Go,These ads ran without a disclaimer,≤100
162863994461073,Center for Social Innovation - CSI,Center for Social Innovation - CSI,≤100
1265800296920375,Πατριωτικός Συνασπισμός,These ads ran without a disclaimer,≤100
408847570006,Pissouri Bay Divers,These ads ran without a disclaimer,≤100
157790290940020,Χαράλαμπος Θεοπέμπτου,These ads ran without a disclaimer,≤100
173342948271,Νεολαία Δημοκρατικού Συναγερμού (ΝΕΔΗΣΥ - NEDISY),These ads ran without a disclaimer,≤100
1329572193784367,Stem op een Vrouw,These ads ran without a disclaimer,≤100
164689207310799,Χαράλαμπος Πετρίδης - Charalambos Petrides,These ads ran without a disclaimer,≤100
223559201340424,Kıbrıs Sağlık ve Toplum Bilimleri Üniversitesi,These ads ran without a disclaimer,≤100
