Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,8825
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,4855
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,4051
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,3987
107898832590939,European Commission,European Commission,3197
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,2097
112732195470659,European Commission in Cyprus,European Commission in Cyprus,2078
114157567088314,Γιώργος Διογένους - Georgios Diogenous,Γεωργιος Διογενους,1537
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,1489
203131049761826,Ανδρέας Κυπριανού - Andreas Kyprianou,Andreas Kyprianou,1300
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,EDEK,1246
173956835959315,Ευθύμιος Δίπλαρος - Efthimios Diplaros,Ευθυμιος Διπλαρος,1107
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,1100
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,913
244607425634139,StockWatch Cyprus,Stockwatch,892
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,892
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,834
205478755729,European Parliament Office in Cyprus,European Parliament Office in Cyprus,813
698669730577000,Ygeiawatch,Ygeiawatch,742
175364966541034,Let's Make Cyprus Green,EkoNest,680
935543569845191,ΠΝΟΗ ΛΑΟΥ,ΠΝΟΗ ΛΑΟY,675
100501781957851,Μάριος Σταδιώτης - Υποψήφιος Βουλευτής Λεμεσού,Marios Stadiotis,649
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,551
100514261565221,Chinese Embassy in Cyprus,Georgios Kitis,548
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,533
104680544860990,Σώτος Σάββα / Sotos Savva,Praxoulla Aresti,524
794974070573548,Toyota Cyprus,Toyota Cyprus,516
1184280198249256,Κίνημα Αλληλεγγύη,Κίνημα Αλληλεγγύη,512
470323203056530,Συμμαχία Πολιτών,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,485
556192687867978,Σελίδα Χρύσανθου Σαββίδη,Chrysanthos Savvides,470
771955332942116,Χριστιάνα Ερωτοκρίτου,Christiana Erotokritou,427
533373550026645,Aon Cyprus,Aon Cyprus,387
147547541961576,Council of the European Union,Council of the European Union,360
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,344
111125275639882,epic cy,epic cy,338
115653995162093,Nicos Tornaritis - Νίκος Τορναρίτης,Nicos Tornaritis - Νίκος Τορναρίτης,336
270213387069072,Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou,\tGeorgia Constantinou Panayiotou,328
141366725876424,European Greens,European Greens,318
28312410177,World Food Programme,These ads ran without a disclaimer,311
305608429284,EU Environment,EU Environment,295
102547288547992,Πέτρος Μηνάς - Υποψήφιος Βουλευτής Λεμεσού - Αφύπνιση 2020,Petros Minas,293
1663243560590599,Ονούφριος Κουλλά l Onoufrios Koulla,Onoufrios Koulla,279
306684270037168,Μαρίνος Μουσιούττας,Andreas Nikitaras,267
46620712083,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS,259
183981211645839,Neophytos Charalambides / Νεόφυτος Χαραλαμπίδης,Νεοφυτος Χαραλαμπιδης,248
609745702447737,ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ,Eleftherios Demetriou,244
