Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,10128
107898832590939,European Commission,European Commission,7130
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,6867
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,5942
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,4188
109083482458237,Mustafa Akıncı,Mustafa Akıncı,3904
1555729751333078,Ersin Tatar,Ersin Tatar,3640
496714657067332,Serdar Denktaş,Serdar Denktaş,3568
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,3021
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,2300
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,2243
133920606715369,Μιχάλης Δαμιανός - Michael Damianos,Michael Damianos,2025
112732195470659,European Commission in Cyprus,European Commission in Cyprus,1923
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,1822
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,1783
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,1775
1658836934390503,Tufan Erhürman,Tufan Erhürman,1710
204892446290422,Kudret Özersay,Kudret Özersay,1602
175364966541034,Let's Make Cyprus Green,EkoNest,1480
244607425634139,StockWatch Cyprus,Stockwatch,1407
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,1201
698669730577000,Ygeiawatch,Ygeiawatch,1137
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,1102
771955332942116,Χριστιάνα Ερωτοκρίτου,Christiana Erotokritou,1005
147547541961576,Council of the European Union,Council of the European Union,904
220687858081709,Hasan Taçoy,HASAN TAÇOY,866
111125275639882,epic cy,epic cy,787
556192687867978,Σελίδα Χρύσανθου Σαββίδη,Chrysanthos Savvides,779
533373550026645,Aon Cyprus,Aon Cyprus,771
205478755729,European Parliament Office in Cyprus,European Parliament Office in Cyprus,711
115653995162093,Nicos Tornaritis - Νίκος Τορναρίτης,Nicos Tornaritis - Νίκος Τορναρίτης,654
101131288575477,Protagonistes.com.cy,Protagonistes.com.cy,653
151183983049330,Γιώργος Κουντούρης,Γιώργος Κουντούρης,611
203131049761826,Ανδρέας Κυπριανού - Andreas Kyprianou,Andreas Kyprianou,603
935543569845191,ΠΝΟΗ ΛΑΟΥ,ΠΝΟΗ ΛΑΟY,570
