Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4187
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,1744
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,1680
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ - AKEL,1548
107898832590939,European Commission,European Commission,1487
1339801222697855,Γιώργος Δημητριάδης - George Demetriades,Georgios Demetriades,1117
556192687867978,Σελίδα Χρύσανθου Σαββίδη,Chrysanthos Savvides,1009
112732195470659,European Commission in Cyprus,European Commission in Cyprus,930
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,927
1938937872998528,Κωνσταντίνος Λετυμπιώτης - Konstantinos Letymbiotis,Konstantinos Letymbiotis,821
832972046731724,Λευτέρης Χριστοφόρου - Lefteris Christoforou,Λευτέρης Χριστοφόρου - Lefteris Christoforou,701
2050729838486968,Θεατρο Ανεμωνα - Theatro Anemwna,Theodora Xenofontos,534
998046016880140,Νικόλας Παπαδόπουλος,Δημοκρατικό Κόμμα,521
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,EDEK,510
244607425634139,StockWatch Cyprus,Stockwatch,470
230976897088341,Χαράλαμπος - Πάμπος Πιττοκοπίτης,Χαράλαμπος Πιττοκοπίτης,459
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,415
293704380825571,Δημοκρατικό Κόμμα,Δημοκρατικό Κόμμα,373
205478755729,European Parliament Office in Cyprus,European Parliament Office in Cyprus,334
256299421194660,Αβέρωφ Νεοφύτου - Averof Neofytou,Δημοκρατικός Συναγερμός,324
100514261565221,Chinese Embassy in Cyprus,Georgios Kitis,320
102701778528140,Δώρος Παφίτης,S.C.G Opsis Digital Ltd,307
698669730577000,Ygeiawatch,Ygeiawatch,299
175364966541034,Let's Make Cyprus Green,EkoNest,272
935543569845191,ΠΝΟΗ ΛΑΟΥ,ΠΝΟΗ ΛΑΟY,258
489124984493054,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ,249
794974070573548,Toyota Cyprus,Toyota Cyprus,224
1184280198249256,Κίνημα Αλληλεγγύη,Κίνημα Αλληλεγγύη,220
771955332942116,Χριστιάνα Ερωτοκρίτου,Christiana Erotokritou,211
108405347646957,Λίνος Τσοκκάς - Linos Tsokkas,Leonidas - Linos Tsokkas,203
533373550026645,Aon Cyprus,Aon Cyprus,195
470323203056530,Συμμαχία Πολιτών,ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ,192
147547541961576,Council of the European Union,Council of the European Union,184
111125275639882,epic cy,epic cy,179
203131049761826,Ανδρέας Κυπριανού - Andreas Kyprianou,Andreas Kyprianou,160
404386316397983,Κόμμα Δικαιοσύνης - ΟΑΔ,Michael Minas,138
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,These ads ran without a disclaimer,120
