Page ID,Page Name,Disclaimer,Amount Spent (CZK),Number of Ads in Library
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,2912233,1273
111041662264882,ČSSD,ČSSD,2757146,4007
214827221987263,Andrej Babiš,ANO,2681489,517
178362315106,European Parliament,European Parliament,2579221,872
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,2503856,2688
109323929038,Česká pirátská strana,Česká pirátská strana,1724869,470
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,1440403,266
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,1370037,120
251656685576,KDU-ČSL,KDU-ČSL,1106044,1216
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,966564,727
114474108677288,Martin Kuba,Martin Kuba,818057,208
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,774112,54
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,682697,1089
317398901621260,IKEA,IKEA,666815,15
107898832590939,European Commission,European Commission,659307,247
106008800769282,KHNP,Isobar,646302,85
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,637036,681
295889117124834,Tipsport,Tipsport,635267,2
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,561857,1001
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),545047,881
101198835090246,Lidé PRO,"PRO ČR, z.s.",530715,312
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,502125,2
90002267161,TOP 09,TOP 09,492383,210
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,463993,274
1469427909957890,Reportér magazín,Reportér magazín,437542,286
313971562018913,STAN Středočeský kraj,Starostové a nezávislí,431191,454
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,430184,152
356448681873897,Mikuláš Peksa,Mikuláš Peksa,414814,255
1269502056393120,Info.cz,Info.cz,391800,428
347200411975609,VELUX,VELUX,371591,3
739115596482745,Trikolóra,Trikolóra,369780,684
104969727582298,Možnost volby,Konektor Social,353444,62
553773474671244,Martin Kupka,ODS - Občanská demokratická strana,322524,114
301147597357008,Robin Povšík,ČSSD Středočeský kraj,310264,108
693725074166331,Naše zdravotnictví,Naše zdravotnictví,296344,787
178362315106,European Parliament,These ads ran without a disclaimer,289323,33
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,289045,613
130631260290858,Česká pirátská strana - Středočeský kraj,Česká pirátská strana,284132,84
1477535869227488,Vít Rakušan,Starostové a nezávislí,276948,170
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,270182,102
151864748349113,Finanční správa ČR,Ministerstvo financí,268563,62
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,264674,407
1681478228766601,Jan Grolich I Hejtman JMK,Pavel Krček,262257,175
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,262130,171
356451014434612,Marian Jurečka,KDU-ČSL,260433,486
289075461571,TOP 09 - Středočeský kraj,TOP 09,225568,95
111657753956755,Michael Žantovský,TOP 09,214381,103
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,213795,77
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",212700,100
107747200956355,Petr Kajnar,Česká strana sociálně demokratická,206337,551
109323929038,Česká pirátská strana,These ads ran without a disclaimer,205629,39
176459739425212,Ivo Grüner,ČSSD,200823,82
371102969577848,Spojenci - Koalice pro Olomoucký kraj,Spojenci - Koalice pro Olomoucký kraj,197991,224
104517784280261,Jiří Kadeřávek - zakladatel Pirátů,Jiří Kadeřávek,196307,219
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,194408,15
535611970260854,Evropa společně,Evropa společně,190900,52
579215965436046,JSNS,"Člověk v tísni, o.p.s.",189968,195
166647353891,DOBROTY S PŘÍBĚHEM,These ads ran without a disclaimer,188578,10
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,183326,139
101730838422101,Za Sazku,SAZKA a.s.,183228,13
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,181905,265
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,180317,257
264983260329918,Kupředu do minulosti,Igor Ondřej,180174,298
711658465662315,XTV,XTV,178915,323
116938576359818,Dalibor Uhlíř - Trikolóra,Dalibor Uhlíř,173339,131
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,170489,152
106793243996130,Alpiq Retail,Alpiq Retail CZ,170351,3204
2108659169383946,František Talíř,KDU-ČSL,169721,274
424114981002397,Český rozhlas Plus,Český rozhlas,168638,174
111758600358330,SPOLU PRO KRAJ,"SPOLU PRO KRAJ - Osobnosti kraje, ČSSD a Zelení",168141,162
1036986463173677,Humans of Piráti,Česká pirátská strana,167348,54
101894271393926,Daniel Kůs - kandidát do Poslanecké sněmovny PČR,Česká pirátská strana,160697,104
275042429350706,Tomáš Zdechovský,KDU-ČSL,160545,148
108955600806152,Jakub Unucka - Občan a politik ODS,ODS,160237,132
320144481956623,HLAS,První prezidentská,155559,197
471227586234132,Dr. Pavel Stodůlka,Pavel Stodůlka,151145,67
107898832590939,European Commission,These ads ran without a disclaimer,148407,15
382745889213194,Roman Kriz,Kriz Roman,146664,168
106662040952250,Miroslav Křížek,Miroslav Křížek,145337,24
1917661888252695,Tomáš Goláň - senátor,SENÁTOR 21,142950,40
124212050978293,Kverulant org,Kverulant org,141207,289
103068351300691,Eduard Stehlík,Eduard Stehlík,140308,135
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,136894,61
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,133373,206
524288824339961,Václav Hampl,"PRAHA SOBĚ, KDU-ČSL, ZELENÍ, SENÁTOR 21",129370,186
103430204491217,Robert Šlachta,Šimway,128642,32
977639539069229,Jana Maláčová,Jana Maláčová,128340,118
378827025796132,Peak.cz,Peak.cz,127822,1385
161396423900274,Piráti - Pardubický kraj,Česká pirátská strana,126920,423
107116341083373,Ondřej Závodský,Ondřej Závodský,125687,67
55408246161,Amnesty International ČR,Amnesty International ČR,125178,65
163186777045684,Česká pirátská strana - Královéhradecký kraj,Verisova Libuse,122628,104
123858471641,iROZHLAS.cz,Český rozhlas,122330,39
149368281915233,ČSSD Jihočeský kraj,Česká strana sociálně demokratická,120246,124
104907604401326,Obnovme jihočeské lesy,Libor Moravec,119962,19
128758673882866,Václav Láska - Právo s Láskou,Senátor 21,119865,41
478284705683536,Mgr. Marek Šlapal,ČSSD,118420,38
117823623864,Transparency International ČR,Transparency International ČR,116355,134
