Page ID,Page Name,Disclaimer,Amount Spent (CZK)
313971562018913,STAN Středočeský kraj,Starostové a nezávislí,397323
553773474671244,Martin Kupka,ODS - Občanská demokratická strana,307699
301147597357008,Robin Povšík,ČSSD Středočeský kraj,294007
130631260290858,Česká pirátská strana - Středočeský kraj,Česká pirátská strana,265718
111041662264882,ČSSD,ČSSD,226124
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,225469
214827221987263,Andrej Babiš,ANO,222949
178362315106,European Parliament,European Parliament,200359
289075461571,TOP 09 - Středočeský kraj,TOP 09,198683
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,163443
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,140332
109323929038,Česká pirátská strana,Česká pirátská strana,123281
107116341083373,Ondřej Závodský,Ondřej Závodský,112120
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,109853
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,103038
684198855000854,Václav Švenda,TOP 09,87146
566716406767894,Senátor Pavel Kárník,Starostové a nezávislí • STAN,81455
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,78297
317398901621260,IKEA,IKEA,65255
251656685576,KDU-ČSL,KDU-ČSL,63635
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,61362
106008800769282,KHNP,Isobar,59999
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,57932
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,57233
107427534297677,Petr Štěpánek • senátor,Starostové a nezávislí,56065
1240809492610426,"Jan Jakob - starosta, poslanec",TOP 09,54484
107898832590939,European Commission,European Commission,51721
369791889744166,Tomáš Havlíček,ODS - Občanská demokratická strana,49941
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,49531
1088929847874388,Pavel Telička,TOP 09,47987
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,46442
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,45864
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,43670
295889117124834,Tipsport,Tipsport,43638
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,42288
101198835090246,Lidé PRO,"PRO ČR, z.s.",40749
436437856700706,Jana Krumpholcová,TOP 09,40686
106751901043327,Tomáš Klinecký,Tomáš Klinecký,40302
100373898383832,Petr Horák,Petr Horák,38543
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),38530
1148670675177299,Věslav Michalik,Starostové a nezávislí • STAN,29937
1469427909957890,Reportér magazín,Reportér magazín,29928
104969727582298,Možnost volby,Konektor Social,28856
151864748349113,Finanční správa ČR,Ministerstvo financí,28323
356448681873897,Mikuláš Peksa,Mikuláš Peksa,27888
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",27846
1442839675962291,Emilie Třísková,Uno Society s.r.o.,27684
107720537499367,Vladimír Drápal,Vladimír Drápal,27377
166647353891,DOBROTY S PŘÍBĚHEM,These ads ran without a disclaimer,27304
347200411975609,VELUX,VELUX,26932
1269502056393120,Info.cz,Info.cz,25512
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,25293
1477535869227488,Vít Rakušan,Starostové a nezávislí,24444
106793243996130,Alpiq Retail,Alpiq Retail CZ,23938
90002267161,TOP 09,TOP 09,23679
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,23194
112850170405761,Jakub Rejzek,Jakub Rejzek,22917
739115596482745,Trikolóra,Trikolóra,22450
693725074166331,Naše zdravotnictví,Naše zdravotnictví,22187
403006353092651,ČSSD Středočeský kraj,ČSSD Středočeský kraj,21933
451843111837630,Antonín Fryč,Antonín Fryč,21500
178362315106,European Parliament,These ads ran without a disclaimer,20610
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,20490
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,18991
105258144421584,Adéla Šípová - senátorka za obvod Kladno,Česká pirátská strana,18266
566910516721103,Jaroslava Pokorná Jermanová,Arrivals Prague,18001
112137787250428,Milan Rychtařík politik,Milan Rychtarik,17996
107279251113736,ODA Středočeský kraj,Občanská demokratická aliance,17882
1771562699724929,Ondřej Lochman,Starostové a nezávislí,17251
535611970260854,Evropa společně,Evropa společně,17102
524288824339961,Václav Hampl,"PRAHA SOBĚ, KDU-ČSL, ZELENÍ, SENÁTOR 21",17084
126618627368438,Vojtěch Munzar,ODS- Občanská demokratická strana,16896
1721987611202174,Michal Zapletal - kandidát do senátu č. 1,Michal Zapletal,15634
2450993111791508,ODS OS Benešov,ODS - Občanská demokratická strana,14994
101730838422101,Za Sazku,SAZKA a.s.,14812
579215965436046,JSNS,"Člověk v tísni, o.p.s.",14778
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,14474
396502387141833,Michael „Silničář” Pánek,Michael Pánek,14328
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,13885
320144481956623,HLAS,První prezidentská,13618
648322231932695,ODS - Benátky nad Jizerou,Karel Bendl,13537
333028887493771,Aneta Heřmanová,ČSSD Středočeský kraj,13386
764700610326484,ODA,Občanská demokratická aliance,12702
1477535869227488,Vít Rakušan,STAN,12499
107898832590939,European Commission,These ads ran without a disclaimer,12308
711658465662315,XTV,XTV,12175
114474108677288,Martin Kuba,Martin Kuba,12164
106662040952250,Miroslav Křížek,Miroslav Křížek,12040
109323929038,Česká pirátská strana,These ads ran without a disclaimer,11878
551976351670874,Zdeněk Hraba - senátor,Kuba Patrik,11847
424114981002397,Český rozhlas Plus,Český rozhlas,11810
105049920950872,Michael Kašpar,Starostové a nezávislí,11803
264983260329918,Kupředu do minulosti,Igor Ondřej,11797
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,11416
286541528171247,Lukáš Hanes,Hanes Lukas,11355
103430204491217,Robert Šlachta,Šimway,11214
232706386763290,Prague Boats,Prague Boats,10961
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,10920
382745889213194,Roman Kriz,Kriz Roman,10779
124212050978293,Kverulant org,Kverulant org,10675
275042429350706,Tomáš Zdechovský,KDU-ČSL,10657
1434319750128022,Jan Skopeček,Stepenka Chmelarova,10621
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,10513
456482955131810,Lysá nás spojuje,Jan Marek,10200
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,10187
356451014434612,Marian Jurečka,KDU-ČSL,9853
120764052849694,World News 24,"World News Media, s.r.o.",9147
150003828819986,Dedoles,These ads ran without a disclaimer,9113
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,9025
360646224020269,Svobodní - Středočeský kraj,Luboš Zálom,8988
108703067269,Jiří Dienstbier,"ZÁSADOVOST, SPRAVEDLNOST – koalice ČSSD, Strany zelených a hnutí Budoucnost",8962
104240257924988,Středočeši Středočechům,Martina Dvořáčková,8691
384187235387895,Alena Schillerová,ANO,8651
263441620339662,Nestlé,Nestlé Česko s.r.o.,8554
123858471641,iROZHLAS.cz,Český rozhlas,8470
2380171825590338,Markéta Gregorová - I Ty jsi Brusel,Markéta Gregorová,8302
128259637824711,NEY spořitelní družstvo,NEY spořitelní družstvo,8198
497198057045195,Monika Le Fay,Monika Le Fay,8183
101354244586132,Československá socialistická tisková kancelář,Konektor Social,8054
277957209202178,Václav Klaus ml.,Trikolóra,8013
202974613060409,Pavel Poc,Poc Pavel,7981
100187828478849,Markéta Fröhlichová - kandidátka do Senátu,Starostové a nezávislí • STAN,7857
937443906286455,Svoboda a přímá demokracie - SPD,Svoboda a přímá demokracie - SPD,7784
609246842426009,Rekonstrukce státu,Rekonstrukce státu,7725
105859461356280,Exekuční neřád,Rekonstrukce státu,7704
117823623864,Transparency International ČR,Transparency International ČR,7622
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,7529
141366725876424,European Greens,European Greens,7411
470593056405865,Kde fondy EU pomáhají,These ads ran without a disclaimer,7387
378827025796132,Peak.cz,Peak.cz,7267
105627351224740,Ivo Trešl - senátor,STAN,7247
286752372142599,Jakimczuk Radek,Radek Jakimczuk,7068
101373315020397,Ivanka Kohoutová,Lenka Klímková,6998
146991996743,Gambrinus,These ads ran without a disclaimer,6940
1439143123070953,Svoboda a přímá demokracie  Liberecký kraj - SPD,Radovan Vích,6863
302134090396266,Zdeněk Hřib - primátor Prahy,Česká pirátská strana - Praha,6848
106685527860047,4 kroužky pro Prahu-západ,ODS Praha-západ,6717
577282959139813,Melnicko.cz,Josef Kowanda,6689
106149624597497,Manifest.cz,Luděk Tesař,6687
43855944703,Svobodní,Svobodní,6542
1723512437928737,Karolína Stařecká - radní pro investice našeho města,ČSSD Lysá nad Labem,6408
129832104026166,Motora,These ads ran without a disclaimer,6360
108293960999925,Václav Bošek - kandidát do Senátu na Kladně 2020,Václav Bošek,6253
206407509818,Blesk.cz,Czech News Center a.s.,6158
106149624597497,Manifest.cz,David Tesař,6061
109870957154839,Home Voluntarily / Домой добровольно / Tự nguyện hồi hương,Mezinárodní organizace pro migraci (IOM),5943
466459903794526,MUDr. Ivan David,European Parliament,5894
513927259349822,Nadace Tipsport,Nadace TIPSPORT,5837
1708126532760089,"Renata Chmelová, starostka Prahy 10",Renata Chmelová,5764
1220066088147062,Ondřej Krutílek,ODS,5703
876081855773308,Pošta Zdarma,These ads ran without a disclaimer,5687
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,5681
273367223021327,Veronika Vrecionová,Občanská demokratická strana,5575
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,5557
2256794514563672,Češi v právu,Češi v právu,5518
1707630426218896,Martin Herman,Arrivals Prague,5500
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,5475
55408246161,Amnesty International ČR,Amnesty International ČR,5455
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,5423
1900532106849242,Institute H21,Institute H21,5395
320663568065604,Dusan Hegli Company,These ads ran without a disclaimer,5342
1562059410771351,Luboš Zálom,Luboš Zálom,5257
764700610326484,ODA,These ads ran without a disclaimer,5130
107733504431288,CEVRO ARENA,Jiří Cieslar,4972
273367223021327,Veronika Vrecionová,ODS - Občanská demokratická strana,4921
1917661888252695,Tomáš Goláň - senátor,Tomáš Goláň - senátor,4783
400970967000022,Jan Zahradil,Jan Zahradil,4709
1754507148208767,pujckybezpecne.cz,Czech Financial Consulting s.r.o.,4704
39371299263,Zelení - Strana zelených,Zelení - Strana zelených,4635
187560732537,ODS Poděbrady,Michal Zapletal,4630
2675743919122449,Nakupino.cz,These ads ran without a disclaimer,4623
111041662264882,ČSSD,These ads ran without a disclaimer,4608
1483237748591093,Festival svobody,Festival svobody,4571
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu,4569
1721987611202174,Michal Zapletal - kandidát do senátu č. 1,These ads ran without a disclaimer,4417
578342809023884,Jsme fér,Prague Pride,4356
1477535869227488,Vít Rakušan,Starostové a nezávislí • STAN,4302
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,4285
111170360282825,David Bohbot - bezpečnostní expert,Mediasharks s.r.o.,4266
283796335522682,Lepší Beroun,Luboš Zálom,4241
872454636138704,OBRAZ - Obránci zvířat,OBRAZ - Obránci zvířat,4239
394054867410128,4Life Direct Česká Republika,These ads ran without a disclaimer,4218
1866971343363946,Contraband.zone - Originální dárky,These ads ran without a disclaimer,4189
100746511657596,AVE Čáslav,AVE Čáslav,4144
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,4137
18349420804,Heureka.cz,These ads ran without a disclaimer,4122
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,4117
162310277268109,"Ing. Jaromír Kohlíček, CSc.",Kohlicek Jaromir,4111
1828572300805912,Rosatom Global,These ads ran without a disclaimer,4006
115589329891193,Konference Budoucnost evropského zemědělství /2020,European Parliament,3881
977639539069229,Jana Maláčová,Jana Maláčová,3847
400970967000022,Jan Zahradil,ODS - Občanská demokratická strana,3839
108726857444837,České zájmy v EU,České zájmy v EU,3805
108955600806152,Jakub Unucka - Občan a politik ODS,ODS,3719
230115400471918,Sanatorium Sanus,Sanatorium Sanus,3686
2016193845077300,"Renáta Zajíčková, starostka Pětky",Renáta Zajíčková,3630
1757913860945739,ORLEN Unipetrol,Unipetrol,3629
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,3623
1569827246387763,Energie pro život,These ads ran without a disclaimer,3618
99189733577,CoolPeople,CoolPeople,3508
350495845030493,Fairtrade Česko a Slovensko,Fairtrade Česko a Slovensko,3486
1036986463173677,Humans of Piráti,Česká pirátská strana,3466
113755299053,MUDr. Gabriela Pecková - TOP 09,Vondryska Jan,3418
144298469843,Ronnie.cz,These ads ran without a disclaimer,3417
222157955200225,Naše Kutná Hora,ODS - Občanská demokratická strana,3413
342983399151939,Econea,Econea,3373
1148670675177299,Věslav Michalik,Starostové a nezávislí,3341
317398901621260,IKEA,These ads ran without a disclaimer,3326
356451014434612,Marian Jurečka,Lambert Vojtech,3318
105269117568363,Jan Konvalinka - starosta,Jan Konvalinka,3295
631133217512876,JUDr. Jan Riedl -  nezávislý občanský kandidát do Senátu ČR,JUDr. Jan Riedl,3291
551976351670874,Zdeněk Hraba - senátor,Zdeněk Hraba - senátor,3269
1417899661810512,Participace 21,Sova Miriam,3247
236486863149324,František Kopřiva,František Kopřiva,3232
332018473557072,ODS Kolín,Jakub Rejzek,3185
55408246161,Amnesty International ČR,These ads ran without a disclaimer,3167
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj,3166
