Page ID,Page Name,Disclaimer,Amount Spent (CZK)
111758600358330,SPOLU PRO KRAJ,"SPOLU PRO KRAJ - Osobnosti kraje, ČSSD a Zelení",167808
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,150126
111041662264882,ČSSD,ČSSD,130162
214827221987263,Andrej Babiš,ANO,130141
163186777045684,Česká pirátská strana - Královéhradecký kraj,Verisova Libuse,120493
178362315106,European Parliament,European Parliament,119882
424122987643945,Jiří Štěpán,Jiří Štěpán,112915
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,108015
109323929038,Česká pirátská strana,Česká pirátská strana,76959
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,74339
218764824871418,Koalice pro Královéhradecký kraj,Koalice pro Královehradecký kraj,71219
114723720265985,Pavel Staněk - aktivnipolitik.cz,Pavel Staněk,67216
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,64144
251656685576,KDU-ČSL,KDU-ČSL,53820
236188077099716,"Prof. MUDr. Jan Čáp, CSc",David Dobrovolný,45971
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,43630
110175187474897,ODS + STAN a Východočeši,"ODS, STAN a Východočeši",43005
573964139387685,"Prof. MUDr. Jaroslav Malý, CSc",Jaroslav Malý,41371
321213001604,TOP 09 - Královéhradecký kraj,TOP 09,41362
1095114177216463,Jan Holásek - senátor za Hradecko,Hradecký demokratický klub,41044
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,38160
552880155054516,Jan Sobotka,Starostové a nezávislí • STAN,37504
104087291057753,Pavel Vacek,Stepanek Arnost,36301
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,34164
105586287727373,Jan Grulich - senátor z hor,TOP 09,33554
106008800769282,KHNP,Isobar,33492
484775724880694,JUDr. Miroslav Antl,Miroslav Hofmann,32191
100101018463289,František Mencl,František Mencl,30757
107898832590939,European Commission,European Commission,30718
295889117124834,Tipsport,Tipsport,29451
317398901621260,IKEA,IKEA,29253
230115400471918,Sanatorium Sanus,Sanatorium Sanus,28723
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,28435
516035728771945,Klára Sovová,Klára Sovová,27655
103938258002373,Jaromír Dědeček,Jiří Doležal,27523
855121337981887,MUDr. Jiří Mašek,Jiří Doležal,26709
101198835090246,Lidé PRO,"PRO ČR, z.s.",24994
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,24511
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),24152
104087291057753,Pavel Vacek,Aleš Dohnal,22459
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,22328
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,21668
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,21312
111280046916694,Trikolóra Královéhradecký kraj,Trikolóra hnutí občanů,21234
90002267161,TOP 09,TOP 09,20420
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,20258
1469427909957890,Reportér magazín,Reportér magazín,19138
937443906286455,Svoboda a přímá demokracie - SPD,Svoboda a přímá demokracie - SPD,18732
112976130425108,Drahoslav Chudoba,Drahoslav Chudoba,18667
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,18296
356448681873897,Mikuláš Peksa,Mikuláš Peksa,18146
700513743302604,Hradecký demokratický klub,Hradecký demokratický klub,17818
104969727582298,Možnost volby,Konektor Social,17300
347200411975609,VELUX,VELUX,15572
739115596482745,Trikolóra,Trikolóra,15499
693725074166331,Naše zdravotnictví,Naše zdravotnictví,15047
1477535869227488,Vít Rakušan,Starostové a nezávislí,14480
151864748349113,Finanční správa ČR,Ministerstvo financí,14426
1704552659784818,LES - Královéhradecký kraj,Liberálně ekologická strana,14054
178362315106,European Parliament,These ads ran without a disclaimer,13932
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,13851
1785288798420655,Jarolím Jan,Jiří Doležal,13566
1269502056393120,Info.cz,Info.cz,13506
1953958664821128,Piráti Hradec Králové,Česká pirátská strana,12929
356451014434612,Marian Jurečka,KDU-ČSL,12865
163186777045684,Česká pirátská strana - Královéhradecký kraj,These ads ran without a disclaimer,11199
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,11077
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,11064
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,10317
424122987643945,Jiří Štěpán,These ads ran without a disclaimer,10158
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",9860
417640701606199,Mgr. Václav Řehoř,ODS Královéhradecký kraj,9734
102747291511703,Jiří Matoušek,Jiří Matoušek,8991
277957209202178,Václav Klaus ml.,Trikolóra,8954
579215965436046,JSNS,"Člověk v tísni, o.p.s.",8931
100126318421866,"Jana Drejslová, místostarostka Rychnova n. Kn.",ODS Královéhradecký kraj,8806
101730838422101,Za Sazku,SAZKA a.s.,8617
320144481956623,HLAS,První prezidentská,8579
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,8555
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,8277
275042429350706,Tomáš Zdechovský,KDU-ČSL,8251
264983260329918,Kupředu do minulosti,Igor Ondřej,8231
109323929038,Česká pirátská strana,These ads ran without a disclaimer,7970
107898832590939,European Commission,These ads ran without a disclaimer,7045
106662040952250,Miroslav Křížek,Miroslav Křížek,7020
711658465662315,XTV,XTV,6935
206630153142726,Marek Výborný,Macků Ondřej,6803
