Page ID,Page Name,Disclaimer,Amount Spent (CZK)
214827221987263,Andrej Babiš,ANO,98940
111041662264882,ČSSD,ČSSD,98802
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,83734
178362315106,European Parliament,European Parliament,64153
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",60000
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,55460
102133468221051,Letos pod STAN,STAN,47578
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,36779
194925720639766,Náš REGION,A11,36523
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,36156
109323929038,Česká pirátská strana,Česká pirátská strana,35186
1617503995185096,Strana konzervativní pravice - ŘN - Karlovarský kraj,Michaela Rojtová,34191
318031131989977,Zelení Karlovarsko,Zelení,32051
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,28954
251656685576,KDU-ČSL,KDU-ČSL,28074
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,28042
116903344995435,ODS Karlovarský kraj,Občanská demokratický strana,26068
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,24233
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",22905
112063685472868,KDU-ČSL Karlovarský Kraj,Občanská demokratická strana,22370
106008800769282,KHNP,Isobar,22230
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,20050
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),19290
107898832590939,European Commission,European Commission,18567
295889117124834,Tipsport,Tipsport,17034
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,15900
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,14972
317398901621260,IKEA,IKEA,14590
739115596482745,Trikolóra,Trikolóra,13740
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,13242
107592537758782,Karel Mika - pro kraj klika,Tomáš Krištof,13000
101198835090246,Lidé PRO,"PRO ČR, z.s.",12977
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,12603
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,11651
1469427909957890,Reportér magazín,Reportér magazín,11365
112478256937881,Petr Kubis,ANO 2011,11176
113026323437791,Matěj Drbohlav,Matěj Drbohlav,10672
1477535869227488,Vít Rakušan,Starostové a nezávislí,10395
104969727582298,Možnost volby,Konektor Social,9701
