Page ID,Page Name,Disclaimer,Amount Spent (CZK)
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,162981
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,131063
214827221987263,Andrej Babiš,ANO,113217
111041662264882,ČSSD,ČSSD,109181
178362315106,European Parliament,European Parliament,97085
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,65712
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,59053
109323929038,Česká pirátská strana,Česká pirátská strana,58975
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,46427
1758963624352554,Jitka Volfová,ANO,42260
1439143123070953,Svoboda a přímá demokracie  Liberecký kraj - SPD,Radovan Vích,39013
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,36500
251656685576,KDU-ČSL,KDU-ČSL,33983
282533341914650,Josef Jadrný,ČSSD,32844
106008800769282,KHNP,Isobar,28934
307998929294557,Změna pro lidi a pro krajinu,politické hnutí Změna,28818
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,28814
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,27561
631133217512876,JUDr. Jan Riedl -  nezávislý občanský kandidát do Senátu ČR,JUDr. Jan Riedl,27369
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,26470
101198835090246,Lidé PRO,"PRO ČR, z.s.",25641
107898832590939,European Commission,European Commission,25481
317398901621260,IKEA,IKEA,25414
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),25109
1036236793121965,Dan Ramzer,ODS - Občanská demokratická strana,24633
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,24603
316563285803,TOP 09 - Liberecký kraj,TOP 09,23799
295889117124834,Tipsport,Tipsport,23512
258989695009,Starostové pro Liberecký kraj,Starostové pro Liberecký kraj,21606
356448681873897,Mikuláš Peksa,Mikuláš Peksa,21207
108262854347073,Soukromníci - Svobodní Liberecký kraj,Soukromníci a Svobodní,20000
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,19365
107166057484330,Pro KRAJinu,Pro KRAJinu,18933
348394825788,Česká pirátská strana - Liberecký kraj,Česká pirátská strana,18841
311204552663982,Petr Židek - ODS Liberec,ODS - Občanská demokratická strana,18686
106908020990999,Vít Vomáčka,ODS - Občanská demokratická strana,18261
739115596482745,Trikolóra,Trikolóra,17522
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,17372
1469427909957890,Reportér magazín,Reportér magazín,17269
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,17224
1269502056393120,Info.cz,Info.cz,17064
90002267161,TOP 09,TOP 09,16374
328599067203925,Změna pro Liberec,Jan Korytář,16055
326507470746765,Martin Půta,Starostové pro Liberecký kraj,15265
102816074476656,Pirát Petr Jeník,Petr Jeník,13911
104969727582298,Možnost volby,Konektor Social,13702
693725074166331,Naše zdravotnictví,Naše zdravotnictví,13478
1477535869227488,Vít Rakušan,Starostové a nezávislí,13420
347200411975609,VELUX,VELUX,13039
151864748349113,Finanční správa ČR,Ministerstvo financí,11659
178362315106,European Parliament,These ads ran without a disclaimer,11601
617051264984122,ODS Turnov,ODS - Občanská demokratická strana,11281
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,10723
424114981002397,Český rozhlas Plus,Český rozhlas,10313
106778834450391,Trikolóra Českolipsko,Kamila Švejdová,10042
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",9971
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,9647
150956650459,ODS LIBERECKÝ KRAJ,ODS - Občanská demokratická strana,9484
101887841402392,SOS za Liberecký kraj,Strana pro otevřenou společnost,9467
1036986463173677,Humans of Piráti,Česká pirátská strana,9440
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,9317
101730838422101,Za Sazku,SAZKA a.s.,9217
264983260329918,Kupředu do minulosti,Igor Ondřej,8843
567147076746992,Senátor Jiří Vosecký - Vosa v Senátu,Starostové pro Liberecký kraj,8575
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,8497
112173986913764,Trikolóra Liberecký kraj - oficiální,Trikolóra,8065
275042429350706,Tomáš Zdechovský,KDU-ČSL,7946
579215965436046,JSNS,"Člověk v tísni, o.p.s.",7844
567147076746992,Senátor Jiří Vosecký - Vosa v Senátu,Jiří Vosecký,7458
711658465662315,XTV,XTV,7346
277957209202178,Václav Klaus ml.,Trikolóra,7009
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,6941
106793243996130,Alpiq Retail,Alpiq Retail CZ,6909
103430204491217,Robert Šlachta,Šimway,6712
102454814787419,Vít Němeček,ODS - Občanská demokratická strana,6652
106662040952250,Miroslav Křížek,Miroslav Křížek,6563
109323929038,Česká pirátská strana,These ads ran without a disclaimer,6365
318475515167959,HONZA Sviták,Starostové pro Liberecký kraj,6189
101862641420449,Daniel Ragín,ODS - Občanská demokratická strana,6031
120764052849694,World News 24,"World News Media, s.r.o.",6024
258989695009,Starostové pro Liberecký kraj,These ads ran without a disclaimer,5801
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,5645
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,5493
107898832590939,European Commission,These ads ran without a disclaimer,5473
124212050978293,Kverulant org,Kverulant org,5350
609246842426009,Rekonstrukce státu,Rekonstrukce státu,5334
123858471641,iROZHLAS.cz,Český rozhlas,5284
100156851562751,Lena Mlejnková,Starostové pro Liberecký kraj,5262
368635216498098,ODS Jablonec,ODS - Občanská demokratická strana,5145
382745889213194,Roman Kriz,Kriz Roman,5076
356451014434612,Marian Jurečka,KDU-ČSL,4870
101354244586132,Československá socialistická tisková kancelář,Konektor Social,4846
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,4764
378827025796132,Peak.cz,Peak.cz,4722
109131280803053,Vladimír Richter,ODS - Občanská demokratická strana,4550
535611970260854,Evropa společně,Evropa společně,4547
117823623864,Transparency International ČR,Transparency International ČR,4533
107491384331255,Stalo se nad Nisou,Petr Mikula,4452
348394825788,Česká pirátská strana - Liberecký kraj,These ads ran without a disclaimer,4424
384187235387895,Alena Schillerová,ANO,4397
497198057045195,Monika Le Fay,Monika Le Fay,4370
2380171825590338,Markéta Gregorová - I Ty jsi Brusel,Markéta Gregorová,4348
1677508659222759,Jakub Macek • Společně pro Jablonec,Macek Jakub,4150
202974613060409,Pavel Poc,Poc Pavel,4138
150003828819986,Dedoles,These ads ran without a disclaimer,4085
103343347903605,Tomáš Hocke,Starostové pro Liberecký kraj,4033
2256794514563672,Češi v právu,Češi v právu,4022
128259637824711,NEY spořitelní družstvo,NEY spořitelní družstvo,3973
320144481956623,HLAS,První prezidentská,3928
109971530524897,Týdeník Hrot,Týdeník Hrot,3874
1900532106849242,Institute H21,Institute H21,3802
103922107871230,Eva Zbrojová,Starostové pro Liberecký kraj,3663
109870957154839,Home Voluntarily / Домой добровольно / Tự nguyện hồi hương,Mezinárodní organizace pro migraci (IOM),3652
129832104026166,Motora,These ads ran without a disclaimer,3631
617051264984122,ODS Turnov,These ads ran without a disclaimer,3542
177168055984056,Reportáže z průmyslu,Lucie Rottenborn,3532
263441620339662,Nestlé,Nestlé Česko s.r.o.,3531
1390628097826429,Starostové pro Liberec,Starostové pro Liberecký Kraj,3500
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,3455
55408246161,Amnesty International ČR,Amnesty International ČR,3443
111041662264882,ČSSD,ČESKÁ PRODUKČNÍ Social Media s.r.o.,3443
105859461356280,Exekuční neřád,Rekonstrukce státu,3399
206407509818,Blesk.cz,Czech News Center a.s.,3361
110860887175705,Martin Trita,ODS - Občanská demokratická strana,3327
1917661888252695,Tomáš Goláň - senátor,Tomáš Goláň - senátor,3305
43855944703,Svobodní,Svobodní,3284
394570898000897,Kniha Revoluce - Jakub Trpiš,These ads ran without a disclaimer,3282
764700610326484,ODA,Občanská demokratická aliance,3277
141366725876424,European Greens,European Greens,3195
