Page ID,Page Name,Disclaimer,Amount Spent (CZK)
371102969577848,Spojenci - Koalice pro Olomoucký kraj,Spojenci - Koalice pro Olomoucký kraj,194348
214827221987263,Andrej Babiš,ANO,149784
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,148706
111041662264882,ČSSD,ČSSD,147143
178362315106,European Parliament,European Parliament,138839
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,122195
193618398034790,Piráti a Starostové - Olomoucký kraj,Česká pirátská strana,113393
356451014434612,Marian Jurečka,KDU-ČSL,100634
109323929038,Česká pirátská strana,Česká pirátská strana,81232
251656685576,KDU-ČSL,KDU-ČSL,78259
1696541430584339,ODS Pravý hlas pro Olomoucký kraj,ODS Olomoucký kraj,77878
2420640831526864,Marek Ošťádal • hanácké senátor,Starostové a nezávislí,75653
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,72812
274780189299925,ČSSD Olomoucký kraj,ČSSD,72759
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,66268
159731441359190,hnutí spOLečně,hnutí spOLečně,59052
1158239840904919,Jiří Kudláček,Koalice Trikolóra/ODA,52469
109617549654,František JOHN,Jan Šafařík,48343
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,47129
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,41150
1161002053978712,Jitka Seitlová,KDU-ČSL,36017
1036986463173677,Humans of Piráti,Česká pirátská strana,35461
240004189482300,"ANO, máme rádi Olomouc",wecreate media,34879
106008800769282,KHNP,Isobar,34020
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,33261
317398901621260,IKEA,IKEA,32718
107898832590939,European Commission,European Commission,32656
295889117124834,Tipsport,Tipsport,31339
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,30886
356451014434612,Marian Jurečka,Lambert Vojtech,30170
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,27946
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,27462
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),27456
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,25219
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,24336
101198835090246,Lidé PRO,"PRO ČR, z.s.",22668
739115596482745,Trikolóra,Trikolóra,21746
117787408240075,Radim Fiala - SPD,Radim Fiala - SPD,20847
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,20444
1469427909957890,Reportér magazín,Reportér magazín,20363
104339074409560,Trikolóra Olomoucký kraj,Aleš Hrubý,20323
356448681873897,Mikuláš Peksa,Mikuláš Peksa,19419
104969727582298,Možnost volby,Konektor Social,18999
347200411975609,VELUX,VELUX,18398
178362315106,European Parliament,These ads ran without a disclaimer,17022
693725074166331,Naše zdravotnictví,Naše zdravotnictví,15737
325428267939168,Mirek Žbánek - primátor Olomouce,wecreate media,15558
1477535869227488,Vít Rakušan,Starostové a nezávislí,15418
108342850697974,Hejtman Josef Suchánek,Česká pirátská strana,15318
1161002053978712,Jitka Seitlová,Lambert Vojtech,15240
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,15033
200552246786270,Jiří Zemánek,ČSSD,14674
117787408240075,Radim Fiala - SPD,Svoboda a přímá demokracie - SPD,14625
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",14599
151864748349113,Finanční správa ČR,Ministerstvo financí,14568
101738078111175,Petr Vrána,Tomáš Navrátil,14333
1451376028412024,Pavel Svoboda,Křesťanská a demokratická unie - Československá strana lidová,14136
1269502056393120,Info.cz,Info.cz,13498
90002267161,TOP 09,TOP 09,12627
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,12244
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,12176
100538401615496,Zdeňka Dvořáková Kocourková,Česká pirátská strana,12048
224923858400165,Nenecháváme to tak,ATG Principal GROUP,11812
977639539069229,Jana Maláčová,Jana Maláčová,11810
104104028028175,Antonín Prachař,Antonín Prachař,11794
778460319203526,Jaroslav Suchý,Lambert Vojtech,10799
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,10765
126123588784617,Pavel Ondrůj,Česká pirátská strana,10592
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,10535
137116896299833,Pavel Jelínek,"JELINEK PAVEL, Ing.",10144
101730838422101,Za Sazku,SAZKA a.s.,10119
264983260329918,Kupředu do minulosti,Igor Ondřej,9653
109323929038,Česká pirátská strana,These ads ran without a disclaimer,9324
424114981002397,Český rozhlas Plus,Český rozhlas,9167
711658465662315,XTV,XTV,8782
579215965436046,JSNS,"Člověk v tísni, o.p.s.",8718
275042429350706,Tomáš Zdechovský,KDU-ČSL,8537
107898832590939,European Commission,These ads ran without a disclaimer,8537
113281600379687,Tomáš Kocourek,ODS,8169
106502251187266,Daniel Tavlaridis - zastupitel Hluboček,Spojenci - Koalice pro Olomoucký kraj,8121
277957209202178,Václav Klaus ml.,Trikolóra,8003
112063437174893,Ivo Slavotínek,Spojenci - Koalice pro Olomoucký kraj,7667
106793243996130,Alpiq Retail,Alpiq Retail CZ,7523
103430204491217,Robert Šlachta,Šimway,7409
106662040952250,Miroslav Křížek,Miroslav Křížek,7368
382745889213194,Roman Kriz,Kriz Roman,7041
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,6987
721331648034162,Prostor Prostějov,Vojtech Jeřábek,6760
1696541430584339,ODS Pravý hlas pro Olomoucký kraj,ODS Olomouc,6733
535611970260854,Evropa společně,Evropa společně,6667
513534848715805,Svoboda a přímá demokracie  Olomoucký kraj - SPD,"JELINEK PAVEL, Ing.",6421
101354244586132,Československá socialistická tisková kancelář,Konektor Social,6232
827811930672498,Zdeňka Blišťanová,Zdeňka Blišťanová,6131
320144481956623,HLAS,První prezidentská,6095
609246842426009,Rekonstrukce státu,Rekonstrukce státu,6094
150003828819986,Dedoles,These ads ran without a disclaimer,5971
206630153142726,Marek Výborný,Macků Ondřej,5863
120764052849694,World News 24,"World News Media, s.r.o.",5775
123858471641,iROZHLAS.cz,Český rozhlas,5744
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,5659
202974613060409,Pavel Poc,Poc Pavel,5636
1900532106849242,Institute H21,Institute H21,5604
378827025796132,Peak.cz,Peak.cz,5581
101875998260904,Jaroslav Vomáčka,ČESKÁ STRANA SOCIÁLNĚ DEMOKRATICKÁ,5379
1161002053978712,Jitka Seitlová,Jitka Seitlová,5344
764700610326484,ODA,Občanská demokratická aliance,5326
1742712405959600,Musil Reality,Musil Reality,5325
171976652332,Mladí demokraté,Mladí demokraté,5318
384187235387895,Alena Schillerová,ANO,5266
110795960297529,PURPANDA,Horacek Ondrej,5247
124212050978293,Kverulant org,Kverulant org,5221
107747200956355,Petr Kajnar,Česká strana sociálně demokratická,5218
2380171825590338,Markéta Gregorová - I Ty jsi Brusel,Markéta Gregorová,5212
141366725876424,European Greens,European Greens,5185
55408246161,Amnesty International ČR,Amnesty International ČR,5004
263441620339662,Nestlé,Nestlé Česko s.r.o.,4926
466459903794526,MUDr. Ivan David,European Parliament,4801
128259637824711,NEY spořitelní družstvo,NEY spořitelní družstvo,4758
