Page ID,Page Name,Disclaimer,Amount Spent (CZK)
161396423900274,Piráti - Pardubický kraj,Česká pirátská strana,124624
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,122139
111041662264882,ČSSD,ČSSD,115679
214827221987263,Andrej Babiš,ANO,114747
178362315106,European Parliament,European Parliament,110329
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,92712
129667385500897,Roman Línek,Programmatic media,78465
270332350585308,3PK - Pro prosperující Pardubický kraj,3PK,77981
109323929038,Česká pirátská strana,Česká pirátská strana,67535
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,62918
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,61157
251656685576,KDU-ČSL,KDU-ČSL,50327
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,39979
263551603800539,Martin Kolovratník,Martin Kolovratník - ANO,38896
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),38494
158106970909089,Zelení Pardubický kraj,Strana zelených,36103
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,32413
106008800769282,KHNP,Isobar,31561
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,30497
107898832590939,European Commission,European Commission,27916
317398901621260,IKEA,IKEA,27059
295889117124834,Tipsport,Tipsport,26758
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,24740
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,24539
105586287727373,Jan Grulich - senátor z hor,TOP 09,23479
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,23010
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,22281
225296017595082,STAN Pardubický kraj,Starostové a nezávislí • STAN,22254
101198835090246,Lidé PRO,"PRO ČR, z.s.",21176
937443906286455,Svoboda a přímá demokracie - SPD,Svoboda a přímá demokracie - SPD,19338
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,19281
739115596482745,Trikolóra,Trikolóra,17802
1469427909957890,Reportér magazín,Reportér magazín,16899
195521183879647,Východočeši - Pardubický kraj,LLAM,16254
