Page ID,Page Name,Disclaimer,Amount Spent (CZK)
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,689725
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,634993
178362315106,European Parliament,European Parliament,559437
109323929038,Česká pirátská strana,Česká pirátská strana,514495
111041662264882,ČSSD,ČSSD,477496
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,397370
214827221987263,Andrej Babiš,ANO,385017
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,248831
197010357446014,"Ondřej Prokop, místostarosta Prahy 11",Ondrej Prokop,233281
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,222781
111657753956755,Michael Žantovský,TOP 09,214363
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,207262
90002267161,TOP 09,TOP 09,207171
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,203362
251656685576,KDU-ČSL,KDU-ČSL,199858
295889117124834,Tipsport,Tipsport,163175
107898832590939,European Commission,European Commission,154770
317398901621260,IKEA,IKEA,148309
101198835090246,Lidé PRO,"PRO ČR, z.s.",141247
103068351300691,Eduard Stehlík,Eduard Stehlík,139197
1269502056393120,Info.cz,Info.cz,139134
1469427909957890,Reportér magazín,Reportér magazín,126479
356448681873897,Mikuláš Peksa,Mikuláš Peksa,120002
128758673882866,Václav Láska - Právo s Láskou,Senátor 21,116372
524288824339961,Václav Hampl,"PRAHA SOBĚ, KDU-ČSL, ZELENÍ, SENÁTOR 21",112283
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,106524
106008800769282,KHNP,Isobar,104864
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,102210
347200411975609,VELUX,VELUX,96199
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),93758
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,87356
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,83957
302134090396266,Zdeněk Hřib - primátor Prahy,Česká pirátská strana - Praha,79062
104969727582298,Možnost volby,Konektor Social,78135
535611970260854,Evropa společně,Evropa společně,77187
315747282263515,"Jakub Stárek, místostarosta Šestky",ODS - Občanská demokratická strana,76257
257529307701966,Jiří Pospíšil,TOP 09,76139
109323929038,Česká pirátská strana,These ads ran without a disclaimer,75406
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,74065
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,73904
739115596482745,Trikolóra,Trikolóra,65775
166647353891,DOBROTY S PŘÍBĚHEM,These ads ran without a disclaimer,65718
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,63650
2016193845077300,"Renáta Zajíčková, starostka Pětky",Renáta Zajíčková,63430
315774705253187,Miloslav Ludvík,ČSSD,62195
1034382646741170,Mansoor Maitah do Senátu,Maitah Mansoor,59232
179497582061065,Tomio Okamura - SPD,These ads ran without a disclaimer,58974
711658465662315,XTV,XTV,56913
527708290604742,Alexander Bellu,ODS - Občanská demokratická strana,56863
354720798344277,TvůjSprávce.cz,These ads ran without a disclaimer,56354
1477535869227488,Vít Rakušan,Starostové a nezávislí,56119
55408246161,Amnesty International ČR,Amnesty International ČR,55563
124212050978293,Kverulant org,Kverulant org,54938
187407575190610,Adam Scheinherr,PRAHA SOBĚ,54239
579215965436046,JSNS,"Člověk v tísni, o.p.s.",53740
178362315106,European Parliament,These ads ran without a disclaimer,52402
693725074166331,Naše zdravotnictví,Naše zdravotnictví,52176
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,49200
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,48233
320144481956623,HLAS,První prezidentská,48013
298846480253485,Robert Veverka - politik,Jaroslav Němec,45476
571165316730867,David Smoljak,Starostové a nezávislí • STAN,44173
104849228016426,Zdeněk Hostomský - nezávislý kandidát do Senátu,Hostomský do senátu,43127
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,42726
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,42686
117823623864,Transparency International ČR,Transparency International ČR,41022
264983260329918,Kupředu do minulosti,Igor Ondřej,40050
151864748349113,Finanční správa ČR,Ministerstvo financí,38658
382745889213194,Roman Kriz,Kriz Roman,37700
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,37537
424114981002397,Český rozhlas Plus,Český rozhlas,36921
55408246161,Amnesty International ČR,These ads ran without a disclaimer,36826
43855944703,Svobodní,Svobodní,36179
109971530524897,Týdeník Hrot,Týdeník Hrot,36109
497198057045195,Monika Le Fay,Monika Le Fay,35358
694807680694998,Forum 24,These ads ran without a disclaimer,34952
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,34485
609246842426009,Rekonstrukce státu,Rekonstrukce státu,34319
141366725876424,European Greens,European Greens,34097
559924231130371,Filip Smoljak,Filip Smoljak,33842
106662040952250,Miroslav Křížek,Miroslav Křížek,33025
275042429350706,Tomáš Zdechovský,KDU-ČSL,32941
92337755037,Český rozhlas,Český rozhlas,32395
248770028560533,Integrační centrum Praha / Integration centre Prague,Integrační centrum Praha / Integration centre Prague,32389
101730838422101,Za Sazku,SAZKA a.s.,31935
123858471641,iROZHLAS.cz,Český rozhlas,31561
944792105610443,PRAHA SOBĚ,PRAHA SOBĚ,30637
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,30522
110766473981716,Bruselská dáma,Klimatická koalice,29929
219333261570307,Dita Charanzová,ANO,29595
121241337968943,"Koruna Česká - monarchistická strana Čech, Moravy a Slezska","Koruna Česká - monarchistická strana Čech, Moravy a Slezska",29259
