Page ID,Page Name,Disclaimer,Amount Spent (CZK)
111041662264882,ČSSD,ČSSD,340192
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,335676
178362315106,European Parliament,European Parliament,325544
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,291290
214827221987263,Andrej Babiš,ANO,282079
1681478228766601,Jan Grolich I Hejtman JMK,Pavel Krček,260173
109323929038,Česká pirátská strana,Česká pirátská strana,207218
104517784280261,Jiří Kadeřávek - zakladatel Pirátů,Jiří Kadeřávek,195848
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,177488
251656685576,KDU-ČSL,KDU-ČSL,174890
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,158196
478284705683536,Mgr. Marek Šlapal,ČSSD,118326
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,110915
662196877287140,Tomáš Třetina,"Společně pro Znojemsko – TOP 09, ODS, Starostové a nezávislí s podporou KDU-ČSL a hnutí Hlas",95550
1575409859416376,Roman Hanák,ČSSD,93273
100674998195047,Spolu pro Moravu,TOP 09 - Jihomoravský kraj,92961
307710452690539,Starostové a nezávislí - Jihomoravský kraj,Starostové a nezávislí • STAN,91966
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,91649
317398901621260,IKEA,IKEA,85234
1445448092361295,Jaroslav Klaška,KDU-ČSL,83090
109213187226618,Jiří Nantl - náměstek hejtmana Jihomoravského kraje,Občanská demokratická strana,82911
90002267161,TOP 09,TOP 09,78699
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,78270
107898832590939,European Commission,European Commission,76312
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,74284
108839520897805,Anna Šabatová,"Zelení, Senátor 21, Idealisté",73911
295889117124834,Tipsport,Tipsport,73576
315785608793015,Marek Šoška I Za českou krajinu,Soska Marek,72211
108543394034487,"MUDr Tomáš Tomáš, Ph.D.",KDU-ČSL,70748
106008800769282,KHNP,Isobar,66334
