Page ID,Page Name,Disclaimer,Amount Spent (CZK)
104969727582298,Možnost volby,Konektor Social,430
101354244586132,Československá socialistická tisková kancelář,Konektor Social,267
831439603700757,Jan Grois - místostarosta města Znojma,Jan Grois,160
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,116
1711196282467418,David Štolpa - poslanec Parlamentu ČR,Štolpa David,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
1161002053978712,Jitka Seitlová,Lambert Vojtech,≤100
1569827246387763,Energie pro život,These ads ran without a disclaimer,≤100
226565767938752,Ing. Pavel Štohl,Pavel Štohl,≤100
471227586234132,Dr. Pavel Stodůlka,Pavel Stodůlka,≤100
495496033796328,Stanislav Blaha,Stanislav Blaha,≤100
106068147804151,"STAN, Zelení, Nezávislí pro Moravskoslezský kraj",Starostové a nezávislí • STAN,≤100
107747200956355,Petr Kajnar,Česká strana sociálně demokratická,≤100
226207821151572,Marek Novák,Marek Novák,≤100
104083337935528,Karel Zitterbart,Starostové a nezávislí • STAN,≤100
662196877287140,Tomáš Třetina,"Společně pro Znojemsko – TOP 09, ODS, Starostové a nezávislí s podporou KDU-ČSL a hnutí Hlas",≤100
90002267161,TOP 09,TOP 09,≤100
739115596482745,Trikolóra,Trikolóra,≤100
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,≤100
658590244156173,Zlínský kraj - oficiální stránka,Zlínský kraj,≤100
339876909872723,glo,Media:list,≤100
104517784280261,Jiří Kadeřávek - zakladatel Pirátů,Jiří Kadeřávek,≤100
2420640831526864,Marek Ošťádal • hanácké senátor,Starostové a nezávislí,≤100
1575409859416376,Roman Hanák,ČSSD,≤100
1757605707867183,Interkontakt.store,Petr Učeň,≤100
1917661888252695,Tomáš Goláň - senátor,SENÁTOR 21,≤100
929594707123393,Ekonomická diplomacie ČR,Ministerstvo zahraničních věcí ČR,≤100
206630153142726,Marek Výborný,Macků Ondřej,≤100
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,≤100
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",≤100
371102969577848,Spojenci - Koalice pro Olomoucký kraj,Spojenci - Koalice pro Olomoucký kraj,≤100
517971212068689,Žijeme Znojemskem,Pavel Štohl,≤100
103490157887634,Lubomír Traub,ODS,≤100
105266771277779,Iva Horká - kandidátka do Sněmovny,Iva Horká - nezávislá kandidátka do senátu,≤100
317398901621260,IKEA,IKEA,≤100
100913275009934,Radim Holiš,ANO,≤100
193618398034790,Piráti a Starostové - Olomoucký kraj,Česká pirátská strana,≤100
100938454833016,Petr Michálek - ředitel zlínského divadla,Petr Michálek (STAN),≤100
251656685576,KDU-ČSL,KDU-ČSL,≤100
111920816874852,Společně za Starý Lískovec,Marek Král,≤100
635889067041074,Martin Pavlík,Martin Pavlík,≤100
578342809023884,Jsme fér,Prague Pride,≤100
159731441359190,hnutí spOLečně,hnutí spOLečně,≤100
308240522910962,Lukáš Otys,Otys Lukáš,≤100
110798200707730,MUDr. Petr Sládek,ODS,≤100
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,≤100
624708137705353,Energie Země,Jiri Hokr,≤100
6243987495,Spotify,These ads ran without a disclaimer,≤100
