Page ID,Page Name,Disclaimer,Amount Spent (CZK)
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,115464
214827221987263,Andrej Babiš,ANO,109881
111041662264882,ČSSD,ČSSD,102279
178362315106,European Parliament,European Parliament,96801
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,79627
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,68692
1104866262972886,Michal Šmarda,ČSSD,65161
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,60962
109323929038,Česká pirátská strana,Česká pirátská strana,59771
117330538358428,KDU-ČSL Vysočina,Krajská organizace KDU-ČSL Vysočina,58347
283758168405698,Starostové pro Vysočinu,Starostové pro Vysočinu,52218
108149870772569,Probuďme Vysočinu,Občanská demokratická strana,49973
251656685576,KDU-ČSL,KDU-ČSL,49502
189869368286158,Martin Kukla,Martin Kukla,46581
103257168112944,Pro TOP Vysočinu,TOP 09 Vysočina,43145
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,39449
1403854226579308,Jiří Běhounek,ČSSD,34017
105266771277779,Iva Horká - kandidátka do Sněmovny,Nezávislá kandidátka,33227
101954531415600,Lukáš Vlček pro Vysočinu,Starostové pro Vysočinu,32823
106008800769282,KHNP,Isobar,29783
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,28540
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,26414
317398901621260,IKEA,IKEA,24848
107898832590939,European Commission,European Commission,22469
295889117124834,Tipsport,Tipsport,20811
105266771277779,Iva Horká - kandidátka do Sněmovny,Iva Horká - nezávislá kandidátka do senátu,20585
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,20548
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,19547
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,19286
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,18628
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),17880
108149870772569,Probuďme Vysočinu,"Frey Consulting,s.r.o.",17277
115285079911127,"Vítězslav Schrek, hejtman Kraje Vysočina",Občanská demokratická strana,17074
101198835090246,Lidé PRO,"PRO ČR, z.s.",16607
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,15902
298789466930469,KSČM - Komunistická strana Čech a Moravy,"Futura, a.s.",15477
109326220438731,Lenka Šimo,Jiří Kuchař,14552
1469427909957890,Reportér magazín,Reportér magazín,14081
347200411975609,VELUX,VELUX,13734
104969727582298,Možnost volby,Konektor Social,13312
356448681873897,Mikuláš Peksa,Mikuláš Peksa,13057
178362315106,European Parliament,These ads ran without a disclaimer,12727
739115596482745,Trikolóra,Trikolóra,11819
176280904732,ČSSD Vysočina,ČSSD VYSOČINA,11795
