Page ID,Page Name,Disclaimer,Amount Spent (CZK)
118797678145782,ODS Zlínský kraj,ODS Zlínský kraj,169564
111041662264882,ČSSD,ČSSD,164563
471227586234132,Dr. Pavel Stodůlka,Pavel Stodůlka,147129
214827221987263,Andrej Babiš,ANO,135783
1917661888252695,Tomáš Goláň - senátor,SENÁTOR 21,132502
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,122742
178362315106,European Parliament,European Parliament,120817
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,102904
100913275009934,Radim Holiš,ANO,97217
495496033796328,Stanislav Blaha,Stanislav Blaha,85467
251656685576,KDU-ČSL,KDU-ČSL,76347
286151105540772,Tomáš Janča,Tomáš Janča,72791
109323929038,Česká pirátská strana,Česká pirátská strana,72750
106623104162119,Trikolóra Zlínský kraj,Trikolóra,67341
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,64375
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,63718
1386439704902726,Piráti Zlínský kraj,Česká pirátská strana,60843
110798200707730,MUDr. Petr Sládek,ODS,59275
977639539069229,Jana Maláčová,Jana Maláčová,58086
109908443947034,Nová krajská nemocnice Zlín,Zlínský kraj - oficiální stránka,51484
100938454833016,Petr Michálek - ředitel zlínského divadla,Petr Michálek (STAN),51430
109216570900868,STAN Zlínský kraj - krajské volby 2020,Starostové a nezávislí • STAN,45824
1414644678821208,Ivo Valenta,Strana soukromníků České republiky,43506
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,42302
106138857557725,Zachraňme Baťovu nemocnici,Martinek Ondrej,39876
1917661888252695,Tomáš Goláň - senátor,"Tomáš Goláň, soukromá osoba",38595
112503423634725,Josef Bazala,Miroslav Hanus,35808
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,34186
1036986463173677,Humans of Piráti,Česká pirátská strana,33583
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,33507
317398901621260,IKEA,IKEA,30776
295889117124834,Tipsport,Tipsport,30318
1158186927548185,Šárka Jelínková,KDU-ČSL,29879
