Page ID,Page Name,Disclaimer,Amount Spent (CZK)
214827221987263,Andrej Babiš,ANO,343724
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,252717
111041662264882,ČSSD,ČSSD,218803
178362315106,European Parliament,European Parliament,194204
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,180361
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,169188
470593056405865,Kde fondy EU pomáhají,Ministerstvo pro místní rozvoj,107178
109323929038,Česká pirátská strana,Česká pirátská strana,105063
728495140691300,Milion chvilek pro demokracii,Milion chvilek pro demokracii,93652
2297075120544646,Spojenci pro kraj,JsmePRO! (Spojenci pro kraj),89746
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,87763
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,73695
251656685576,KDU-ČSL,KDU-ČSL,71325
104377771057352,Severočeši.cz - Z regionu do kraje,Jan Dostal,69125
106008800769282,KHNP,Isobar,63384
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie (SPD),63299
107720537499367,Vladimír Drápal,Vladimír Drápal,62593
107898832590939,European Commission,European Commission,55728
105959931114296,Jan Schiller - politik,ANO,52458
106767797724979,Lepší Sever,Miloš Štěpař,48672
295889117124834,Tipsport,Tipsport,48004
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,47908
317398901621260,IKEA,IKEA,47063
156758384361738,Filip Ušák,Starostové a nezávislí • STAN,44298
1815379688541829,Jiří Nedvěd - radní,Nedvěd Jiří,41203
728495140691300,Milion chvilek pro demokracii,These ads ran without a disclaimer,40347
106678374343331,Trikolóra Ústecký kraj,Trikolóra,39579
489450987825894,Ministerstvo zdravotnictví České republiky,Ministerstvo zdravotnictví České republiky,37584
739115596482745,Trikolóra,Trikolóra,36661
101198835090246,Lidé PRO,"PRO ČR, z.s.",34740
293944084004700,Welcome to the Jungle Česko,These ads ran without a disclaimer,34261
102389958091735,Generál Pavel - Spolu silnější,Pro bezpečnou budoucnost z.s.,32993
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí,31569
1469427909957890,Reportér magazín,Reportér magazín,31384
105822804344879,Martin Klika,Miloš Štěpař,29631
112137787250428,Milan Rychtařík politik,Milan Rychtarik,27085
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,26510
101661881517806,Jaroslav Komínek,Jaroslav Komínek,25924
104969727582298,Možnost volby,Konektor Social,25530
90002267161,TOP 09,TOP 09,25522
356448681873897,Mikuláš Peksa,Mikuláš Peksa,25126
937443906286455,Svoboda a přímá demokracie - SPD,Svoboda a přímá demokracie - SPD,24971
123800669187640,Tereza Hyťhová - Trikolóra,Tereza Hyťhová,24550
347200411975609,VELUX,VELUX,24293
693725074166331,Naše zdravotnictví,Naše zdravotnictví,23898
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,23744
178362315106,European Parliament,These ads ran without a disclaimer,23700
179497582061065,Tomio Okamura - SPD,Tomio Okamura - SPD,22916
151864748349113,Finanční správa ČR,Ministerstvo financí,22907
1199083776860090,Strana nezávislosti České republiky,Strana nezávislosti České republiky,21331
1269502056393120,Info.cz,Info.cz,21168
123079538390605,RNDr. Zdeněk Bergman,SENÁTOR 21,20007
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,19863
1757913860945739,ORLEN Unipetrol,Unipetrol,19791
1477535869227488,Vít Rakušan,Starostové a nezávislí,18590
100899354736266,Trikolóra Teplice,Trikolóra,17829
1736314393286607,Klára Dostálová,Ministerstvo pro místní rozvoj,17610
101730838422101,Za Sazku,SAZKA a.s.,17295
167183753451092,ČSSD Ústecký kraj,ČSSD,16575
106793243996130,Alpiq Retail,Alpiq Retail CZ,16518
561351627254100,Hynek Hanza - primátor města Teplice a senátor Parlamentu ČR,Hynek Hanza,15381
264983260329918,Kupředu do minulosti,Igor Ondřej,15277
275042429350706,Tomáš Zdechovský,KDU-ČSL,14734
