Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,1488995,4823
768905426534529,Bundesregierung,Bundesregierung,1351161,735
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,1308061,1623
178362315106,European Parliament,European Parliament,1047935,887
82734241364,Campact e.V.,Campact e.V.,775618,1495
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,737305,981
197589525931,Facebook app,Facebook,675674,18
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,665858,575
519185471487841,Bayer,Bayer,637300,177
331832984040,LichtBlick,LichtBlick,482604,1700
23216224900,Plan International Deutschland,Plan International Deutschland,448060,448
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,418435,788
170688644503,UNICEF Deutschland,UNICEF Deutschland,387207,723
78502295414,CDU,CDU,339288,19233
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,335488,937
218786540044,WWF Deutschland,WWF Deutschland,327832,719
336621951882,Allianz Deutschland,These ads ran without a disclaimer,312814,9
484950398505596,IRC Deutschland,IRC Deutschland,297411,494
75159424764,Aktion Mensch,Aktion Mensch,292713,219
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,289226,2277
47930567748,SPD,SPD,269902,14689
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,234976,7589
161674141345516,Weltverbesserer,Die Techniker (TK),232109,390
112277272142815,Sparkasse,Sparkasse,230876,93
122276294503722,Viessmann Sport,Viessmann Sport,216830,398
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,200686,255
417905399079008,The Honu Movement,The Honu Movement,198395,374
1655252804795367,Oatly,Oatly,194923,65
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,172016,1582
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,167171,36
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),162688,9065
161273245888,Save the Children Deutschland,Save the Children Deutschland,148462,1457
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,147418,127
116335026590900,Mülltrennung wirkt,die dualen Systeme,139736,325
21289227249,FDP,FDP,137527,5820
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,133162,195
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,127732,96
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",127616,21
114683645239717,Autohaus ROSIER,These ads ran without a disclaimer,118777,741
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,115885,1377
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,114160,2097
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,112341,495
174118102615738,Brot für die Welt,Brot für die Welt,108815,128
1578640155687393,Sea-Watch,Sea-Watch,108813,231
107898832590939,European Commission,European Commission,105813,241
130534873659391,Greenpeace Energy,Greenpeace Energy,104964,643
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,102472,6
305608429284,EU Environment,EU Environment,101465,96
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",101111,191
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,97733,292
1553799571599937,pandoo,pandoo,97043,342
103822184707126,Shell Deutschland,Shell Deutschland,96113,50
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,92952,333
107704830821545,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz","Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",90305,145
354608017990902,Ansaar International e.V.,Ansaar International e.V.,89350,635
1508446642792459,Vattenfall Deutschland,Socialyse,88496,12
225012151032427,Bürgerwerke,Bürgerwerke,88140,189
165039663531531,Minecraft,These ads ran without a disclaimer,86845,98
572946872759259,Bayerisches Staatsministerium für Gesundheit und Pflege,Bayerisches Staatsministerium für Gesundheit und Pflege,85394,329
1004883576238809,GoodJobs,GoodJobs,84138,2113
478399422560922,KadeFungin,DR. KADE,82815,324
330735911136,easyJet,These ads ran without a disclaimer,80593,81
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),80304,83
101124947919410,GermanZero,Germanzero,79456,4440
59381221492,Tagesspiegel,Tagesspiegel,77971,65
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,76505,1092
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,76097,1787
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,75235,707
339894849467492,GASAG,GASAG,74838,791
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,74803,61
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,74769,1741
241400009229424,FDP Baden-Württemberg,FDP Baden-Württemberg,73257,222
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,73085,1826
313744767921,der Freitag,der Freitag,71087,978
241036373819,Ben & Jerry's,Ben & Jerry's,70882,115
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,69120,93
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,68894,264
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,68848,3118
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,68173,1849
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,68150,3163
444979036328669,Energy Buddy,coneva GmbH,67615,90
2286018874983425,Oceanmata,Bluemata,67251,247
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,67168,120
593476900673774,ifaw,ifaw,66071,1257
187822811280040,NaturEnergie,Energiedienst Holding AG,64416,236
263503200272,Welthungerhilfe,Welthungerhilfe,63389,110
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,63386,64
2188342231399828,HSI/Deutschland,HSI/Deutschland,62618,211
729627343834501,Kialo,Kialo,61801,262
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,61417,49
156922821011409,Timberland,PHD Media,60132,18
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,59886,449
357565717909863,conny.legal,wenigermiete.de,59516,85
241690183335959,togetherforfuture,Together for Future,58761,1223
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,57850,66
220873544636963,AOK Baden-Württemberg,AOK Baden-Württemberg,57845,283
77094470902,CDU Baden-Württemberg,CDU Baden-Württemberg,56562,939
689801517732186,ABOUT YOU,ABOUT YOU,56454,16
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,54521,517
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,54453,302
126757344082942,VELUX,VELUX,53388,31
427202191015825,eprimo,eprimo GmbH,52650,478
339052456846258,Treecelet,These ads ran without a disclaimer,52291,1097
832037676843543,Dedoles,These ads ran without a disclaimer,52228,6
1522202731410785,Katarina Barley,SPD,52130,1517
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,51983,13
1565754943752371,Robert Farle,Robert Farle,51949,281
108896117589490,Opera News Germany,These ads ran without a disclaimer,51271,73
498082906898583,Spotify,Spotify,51070,22
1605966456387228,GOT BAG,GOT BAG GmbH,50107,776
2286018874983425,Oceanmata,Oceanmata,49371,420
301485916628595,Christian Baldauf,CDU Rheinland-Pfalz,49242,504
138832469593845,Grüner Fisher Investments,Grüner Fisher Investments,48713,469
108655285842827,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,48439,990
2319126475013199,Zukunftsdialog,DGB Bundesvorstand,47862,388
580401892143117,AfD-Fraktion Mecklenburg-Vorpommern,AfD-Fraktion Mecklenburg-Vorpommern,47816,282
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,47673,84
1919185338293853,AfD-Fraktion NRW,AfD-Fraktion NRW,47128,106
164428853567811,Tchibo,Tchibo,46822,75
283266582089,action medeor e.V.,action medeor e.V.,46328,1717
196999950359158,FDP Berlin,FDP Berlin,45224,966
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,45079,1393
108824017345866,Facebook,Facebook Inc.,45033,30
765844936882239,Berliner Stadtwerke,Berliner Stadtwerke,44992,236
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,44824,347
134209407129787,Volt Deutschland,Volt Deutschland,44273,1277
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,44245,2994
90035328642,PETA Deutschland,PETA Deutschland,43623,79
226651401514704,"Danke, Freihandel.",VDMA,43598,2302
111303730284804,Susanne Eisenmann,CDU Baden-Württemberg,43016,363
429601160521937,HUMAN BLOOD,HUMAN BLOOD,42864,565
111315165557626,REWE,REWE,42730,13
258796296044,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,42075,656
20393019390,mymuesli,mymuesli,41887,11
427202191015825,eprimo,These ads ran without a disclaimer,41882,82
145944615464920,Polarstern Energie,Polarstern Energie,41799,2032
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,41681,143
499613946840551,Partei der Humanisten,Partei der Humanisten,41331,367
330165526782,SPD Rheinland-Pfalz,SPD Rheinland-Pfalz,41288,933
279450722377,Rügenwalder Mühle,Rügenwalder Mühle,41000,13
120675781344230,Regionalverband Ruhr,Regionalverband Ruhr,40076,15
47694585682,DIE LINKE,DIE LINKE,39978,982
362654797113137,Pepsi,These ads ran without a disclaimer,39977,1
150480805043795,DIE LINKE. NRW,DIE LINKE. NRW,39838,266
182704598535,Open Doors Deutschland,Open Doors Deutschland,39624,562
183292338524573,Nestlé,Nestlé Deutschland,39358,15
1947378708884004,Initiative Frosch,Initiative Frosch,39137,222
540404695989874,AfD,AfD,39002,51
114511353674302,Wir2020 BW,Partei WiR2020,38626,152
126952903983246,CDU Berlin,CDU Berlin,38556,274
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,38149,31
531143090368157,Volkswagen. we drive football,Volkswagen,38110,58
107623054191462,Frank Nopper,Frank Nopper,36881,579
36714973506,VIER PFOTEN,VIER PFOTEN,36760,345
206584163580,Stiftung Mercator,Stiftung Mercator,36465,813
66426617453,FDP Sachsen,FDP Sachsen,36089,1562
106653924258368,Vision Sea Life,Vision Sea Life,36032,1604
1950715278284276,myconics,MyConics Service GmbH,35688,361
92576009043,Jens Spahn,Jens Spahn,35599,2377
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,35387,381
123608251805,Marcus Weinberg,CDU Hamburg,35211,124
336677843601760,Deutschland Kurier,Deutschland Kurier,34156,261
233160073515243,Kristina Frank,Kristina Frank,34018,106
150793518281117,Covestro,These ads ran without a disclaimer,33985,27
103593837807255,Anne Spiegel,Bündnis 90/Die Grünen Rheinland-Pfalz,33842,74
119192498110884,CDU-Fraktion Berlin,CDU-Fraktion Berlin,33293,522
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,33051,70
211194715558010,CDU Köln,CDU Kreisverband Köln,32849,183
1826176010746069,NRC Flüchtlingshilfe Deutschland,NRC Flüchtlingshilfe,32590,317
303043247017496,Markus Buchheit,Markus Buchheit,32370,72
570129226520732,Patagonia,Patagonia,32153,102
246882798660237,SPD München,SPD München,32108,36
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,31751,88
12084075837,Jürgen Todenhöfer,Jürgen Todenhöfer,31704,66
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,31092,47
130013197106952,SPD-Fraktion im Römer,SPD-Fraktion im Römer,30988,27
1712552975702120,Ingo Senftleben,CDU Brandenburg,30935,648
408836473265645,PlantBase,PlantBase  Naturkosmetik,30895,222
387601651595573,Vantik,Vantik,30831,67
731404243600603,Hannes Jaenicke,David Michel Löwe,30696,10
189617674514883,Rheinland-Pfalz,Rheinland-Pfalz,30390,119
206866712830769,Nicola Beer,FDP,30256,96
1285780774784882,nucao,These ads ran without a disclaimer,29853,65
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,29765,767
8340223883,Avaaz,Avaaz,29708,53
105559876186522,EDEKA,These ads ran without a disclaimer,29665,2
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,29504,126
154149027994068,ZDF,ZDF,29323,106
134483979119,Rosa-Luxemburg-Stiftung,Rosa-Luxemburg-Stiftung,29205,400
106152827571627,Martin Körner,Martin Körner,29175,399
223829854355699,Frosch,Frosch,28900,13
64694257920,ProSieben,ProSieben,28622,22
925007000949719,ExxonMobil,These ads ran without a disclaimer,27841,2
335288650611521,ALDI Nord,ALDI Nord,27751,5
78309442751,Bayernpartei,Bayernpartei,27611,114
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,27489,32
50169278122,SPD Sachsen,SPD Sachsen,27259,407
107780880913621,MASXS,MASXS,27106,364
169463563099560,land.nrw,land.nrw,26951,18
116335026590900,Mülltrennung wirkt,These ads ran without a disclaimer,26935,61
129459503748982,CDU Thüringen,CDU Thüringen,26624,3450
445962318752667,Bündnis 90 / Die Grünen Thüringen,BÜNDNIS 90/DIE GRÜNEN,26617,119
1078884028800904,AfD-Fraktion Sachsen-Anhalt,AfD-Fraktion Sachsen-Anhalt,26470,465
25406037041,GRÜNE Hamburg,GRÜNE Hamburg,26032,476
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,25949,14
730158247033526,Readly,These ads ran without a disclaimer,25919,15
179057176050,SPD Baden-Württemberg,SPD Baden-Württemberg,25493,740
108402617374919,Keepitfresh,David Weisbäcker,25281,538
103022471514818,Befreien Sie die Brüste,These ads ran without a disclaimer,25064,46
192914574055132,Joachim Streit,Joachim Streit,24919,54
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),24833,26
267443093828699,Demokratie in Europa - Diem25,Demokratie in Europa - DiEM25,24803,172
201065353264638,yello,yello,24794,50
179655898748396,Thorsten Brehm,SPD Nürnberg,24583,189
316160725982888,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,24500,5
