Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,195136
768905426534529,Bundesregierung,Bundesregierung,177985
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,165399
178362315106,European Parliament,European Parliament,142389
82734241364,Campact e.V.,Campact e.V.,125838
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,98811
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,94626
197589525931,Facebook app,Facebook,88599
519185471487841,Bayer,Bayer,87178
241400009229424,FDP Baden-Württemberg,FDP Baden-Württemberg,73189
23216224900,Plan International Deutschland,Plan International Deutschland,61191
78502295414,CDU,CDU,60300
220873544636963,AOK Baden-Württemberg,AOK Baden-Württemberg,57845
77094470902,CDU Baden-Württemberg,CDU Baden-Württemberg,56415
170688644503,UNICEF Deutschland,UNICEF Deutschland,53132
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,49195
108655285842827,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,BÜNDNIS 90/DIE GRÜNEN Baden-Württemberg,48250
218786540044,WWF Deutschland,WWF Deutschland,42624
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,42410
111303730284804,Susanne Eisenmann,CDU Baden-Württemberg,42037
336621951882,Allianz Deutschland,These ads ran without a disclaimer,40657
75159424764,Aktion Mensch,Aktion Mensch,39013
484950398505596,IRC Deutschland,IRC Deutschland,37417
107623054191462,Frank Nopper,Frank Nopper,36881
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,36753
47930567748,SPD,SPD,33278
331832984040,LichtBlick,LichtBlick,32021
112277272142815,Sparkasse,Sparkasse,31864
122276294503722,Viessmann Sport,Viessmann Sport,31348
161674141345516,Weltverbesserer,Die Techniker (TK),30454
106152827571627,Martin Körner,Martin Körner,29175
417905399079008,The Honu Movement,The Honu Movement,28644
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,28192
179057176050,SPD Baden-Württemberg,SPD Baden-Württemberg,25337
114511353674302,Wir2020 BW,Partei WiR2020,23747
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,23237
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,22738
1655252804795367,Oatly,Oatly,21996
161273245888,Save the Children Deutschland,Save the Children Deutschland,21291
102077835186179,Sigrid Borst,Sigrid Borst der AfD Stuttgart,20350
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),19595
116335026590900,Mülltrennung wirkt,die dualen Systeme,19327
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,19077
21289227249,FDP,FDP,18528
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",17375
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,16266
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,14888
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,14524
1553799571599937,pandoo,pandoo,14436
107898832590939,European Commission,European Commission,14289
174118102615738,Brot für die Welt,Brot für die Welt,14289
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,14278
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,14226
103822184707126,Shell Deutschland,Shell Deutschland,13997
187822811280040,NaturEnergie,Energiedienst Holding AG,13858
130534873659391,Greenpeace Energy,Greenpeace Energy,13708
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,13301
119037791450041,Junge Liberale Baden-Württemberg,Junge Liberale Baden-Württemberg,13238
305608429284,EU Environment,EU Environment,13086
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,13050
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,13043
108081954315355,Sebastian Reutter,Sebastian Reutter,12978
330735911136,easyJet,These ads ran without a disclaimer,12764
1512459202315535,CDU Region Stuttgart,CDU Region Stuttgart,12362
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",12196
165039663531531,Minecraft,These ads ran without a disclaimer,11750
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,11418
225012151032427,Bürgerwerke,Bürgerwerke,11402
354608017990902,Ansaar International e.V.,Ansaar International e.V.,11300
1578640155687393,Sea-Watch,Sea-Watch,11143
156922821011409,Timberland,PHD Media,11107
478399422560922,KadeFungin,DR. KADE,10769
1560776847495092,Radkultur Baden-Württemberg,RadKULTUR Baden-Württemberg,10460
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,9928
101124947919410,GermanZero,Germanzero,9864
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,9859
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,9549
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,9371
2286018874983425,Oceanmata,Bluemata,9329
2015022955380034,Landtag von Baden-Württemberg,Landtag von Baden-Württemberg,9198
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,9193
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,9095
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,9013
