Page ID,Page Name,Disclaimer,Amount Spent (EUR)
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,128319
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,99433
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,83866
768905426534529,Bundesregierung,Bundesregierung,77489
107704830821545,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz","Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",73099
178362315106,European Parliament,European Parliament,69547
197589525931,Facebook app,Facebook,58568
357565717909863,conny.legal,wenigermiete.de,52481
339894849467492,GASAG,GASAG,51200
59381221492,Tagesspiegel,Tagesspiegel,49861
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,49698
82734241364,Campact e.V.,Campact e.V.,46216
196999950359158,FDP Berlin,FDP Berlin,45060
331832984040,LichtBlick,LichtBlick,44783
108824017345866,Facebook,Facebook Inc.,43441
1508446642792459,Vattenfall Deutschland,Socialyse,43097
765844936882239,Berliner Stadtwerke,Berliner Stadtwerke,42612
484950398505596,IRC Deutschland,IRC Deutschland,42522
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,41266
126952903983246,CDU Berlin,CDU Berlin,37899
170688644503,UNICEF Deutschland,UNICEF Deutschland,35868
519185471487841,Bayer,Bayer,35246
119192498110884,CDU-Fraktion Berlin,CDU-Fraktion Berlin,33082
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,31792
23216224900,Plan International Deutschland,Plan International Deutschland,30896
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,30418
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,30127
1655252804795367,Oatly,Oatly,29447
218786540044,WWF Deutschland,WWF Deutschland,29142
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,25631
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,24953
330735911136,easyJet,These ads ran without a disclaimer,23399
75159424764,Aktion Mensch,Aktion Mensch,21037
401644396606709,Kai Wegner,CDU Berlin,20566
1495386077216471,Senatsverwaltung für Stadtentwicklung und Wohnen,Senatsverwaltung für Stadtentwicklung und Wohnen,20515
1578640155687393,Sea-Watch,Sea-Watch,20263
109573920927141,Ichwillfair,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,19943
1004883576238809,GoodJobs,GoodJobs,19348
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,19202
365742721816,FDP Fraktion Berlin,FDP-Fraktion im Abgeordnetenhaus von Berlin,16834
161674141345516,Weltverbesserer,Die Techniker (TK),16626
336621951882,Allianz Deutschland,These ads ran without a disclaimer,15160
47930567748,SPD,SPD,14957
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,13613
161273245888,Save the Children Deutschland,Save the Children Deutschland,13232
112277272142815,Sparkasse,Sparkasse,12767
313744767921,der Freitag,der Freitag,12243
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,11864
134483979119,Rosa-Luxemburg-Stiftung,Rosa-Luxemburg-Stiftung,11759
417905399079008,The Honu Movement,The Honu Movement,11107
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,10928
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,10801
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,10770
132505256799678,Linksfraktion Berlin,Linksfraktion Berlin,10744
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,10716
122276294503722,Viessmann Sport,Viessmann Sport,10293
