Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1712552975702120,Ingo Senftleben,CDU Brandenburg,29710
59381221492,Tagesspiegel,Tagesspiegel,27772
118849647749,Bündnis 90/Die Grünen BBG,Bündnis 90/Die Grünen Brandenburg,23927
331832984040,LichtBlick,LichtBlick,21483
210778952288250,FDP Brandenburg,FDP Brandenburg,18831
168325299887228,CDU Brandenburg,CDU Brandenburg,18659
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,18118
379808979250786,BVB / Freie Wähler,BVB / FREIE WÄHLER,17564
107704830821545,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz","Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",16935
768905426534529,Bundesregierung,Bundesregierung,15539
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,14703
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,14237
531504136955879,BVB / Freie Wähler - Fraktion im Landtag Brandenburg,BVB / FREIE WÄHLER Fraktion,14038
178362315106,European Parliament,European Parliament,13715
115602575294020,AfD Brandenburg,AfD Brandenburg,12972
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,10940
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,10562
1508446642792459,Vattenfall Deutschland,Socialyse,9029
82734241364,Campact e.V.,Campact e.V.,8919
139470429458087,SPD BRANDENBURG,SPD BRANDENBURG,8401
197589525931,Facebook app,Facebook,8195
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,7777
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,6844
519185471487841,Bayer,Bayer,6320
1004883576238809,GoodJobs,GoodJobs,5476
23216224900,Plan International Deutschland,Plan International Deutschland,5167
330735911136,easyJet,These ads ran without a disclaimer,5127
336621951882,Allianz Deutschland,These ads ran without a disclaimer,4607
670191326760173,Daniel Keller,Daniel Siegfried Keller,4106
114683645239717,Autohaus ROSIER,These ads ran without a disclaimer,3812
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,3730
299439520108228,"Senatsverwaltung für Bildung, Jugend und Familie","Senatsverwaltung für Bildung, Jugend und Familie",3529
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,3420
170688644503,UNICEF Deutschland,UNICEF Deutschland,3419
218786540044,WWF Deutschland,WWF Deutschland,3348
78502295414,CDU,CDU,3225
47930567748,SPD,SPD,3092
112277272142815,Sparkasse,Sparkasse,2995
75159424764,Aktion Mensch,Aktion Mensch,2977
339894849467492,GASAG,GASAG,2930
161674141345516,Weltverbesserer,Die Techniker (TK),2844
2357545427862990,Dr. Christoph Berndt,AfD Brandenburg,2797
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,2750
2299270487017208,Andreas Kalbitz,AfD Brandenburg,2721
12084075837,Jürgen Todenhöfer,Jürgen Todenhöfer,2703
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),2647
122276294503722,Viessmann Sport,Viessmann Sport,2636
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,2611
