Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,18109
768905426534529,Bundesregierung,Bundesregierung,16347
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,16246
178362315106,European Parliament,European Parliament,12843
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,9137
197589525931,Facebook app,Facebook,9037
519185471487841,Bayer,Bayer,8354
152934608113175,FDP Bremen,FDP Bremen,8138
82734241364,Campact e.V.,Campact e.V.,8125
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,6623
23216224900,Plan International Deutschland,Plan International Deutschland,5591
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,5005
170688644503,UNICEF Deutschland,UNICEF Deutschland,4319
47930567748,SPD,SPD,4224
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,3947
218786540044,WWF Deutschland,WWF Deutschland,3930
524965010906886,SPD Land Bremen,SPD Land Bremen,3919
484950398505596,IRC Deutschland,IRC Deutschland,3896
336621951882,Allianz Deutschland,These ads ran without a disclaimer,3814
331832984040,LichtBlick,LichtBlick,3744
75159424764,Aktion Mensch,Aktion Mensch,3676
21289227249,FDP,FDP,3300
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,3020
161674141345516,Weltverbesserer,Die Techniker (TK),2881
112277272142815,Sparkasse,Sparkasse,2878
152934608113175,FDP Bremen,FDP,2712
160531500656482,FDP-Fraktion Bremen,FDP-Fraktion Bremen,2633
196114277078358,DIE LINKE Land Bremen,These ads ran without a disclaimer,2507
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,2359
122276294503722,Viessmann Sport,Viessmann Sport,2253
417905399079008,The Honu Movement,The Honu Movement,2237
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,2062
1655252804795367,Oatly,Oatly,2047
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),1799
354608017990902,Ansaar International e.V.,Ansaar International e.V.,1731
1578640155687393,Sea-Watch,Sea-Watch,1688
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,1688
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",1660
161273245888,Save the Children Deutschland,Save the Children Deutschland,1659
116335026590900,Mülltrennung wirkt,die dualen Systeme,1530
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,1528
174118102615738,Brot für die Welt,Brot für die Welt,1484
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,1480
107898832590939,European Commission,European Commission,1445
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,1382
130534873659391,Greenpeace Energy,Greenpeace Energy,1366
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,1356
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,1355
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,1355
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,1343
305608429284,EU Environment,EU Environment,1339
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,1305
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,1292
225012151032427,Bürgerwerke,Bürgerwerke,1214
47694585682,DIE LINKE,DIE LINKE,1185
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,1175
134209407129787,Volt Deutschland,Volt Deutschland,1147
1811108415656226,Jasmina Heritani,These ads ran without a disclaimer,1134
103822184707126,Shell Deutschland,Shell Deutschland,1124
101124947919410,GermanZero,Germanzero,1093
165039663531531,Minecraft,These ads ran without a disclaimer,1070
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,1065
313744767921,der Freitag,der Freitag,1058
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",1041
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,1038
478399422560922,KadeFungin,DR. KADE,1038
1553799571599937,pandoo,pandoo,948
241036373819,Ben & Jerry's,Ben & Jerry's,915
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,874
145515688966492,SPD Bremen-Stadt,These ads ran without a disclaimer,857
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,845
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,841
729627343834501,Kialo,Kialo,839
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,836
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,834
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,825
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,810
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,799
263503200272,Welthungerhilfe,Welthungerhilfe,774
593476900673774,ifaw,ifaw,759
241690183335959,togetherforfuture,Together for Future,746
335288650611521,ALDI Nord,ALDI Nord,732
444979036328669,Energy Buddy,coneva GmbH,710
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,708
689801517732186,ABOUT YOU,ABOUT YOU,704
1522202731410785,Katarina Barley,SPD,700
2286018874983425,Oceanmata,Bluemata,687
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,682
1004883576238809,GoodJobs,GoodJobs,673
78502295414,CDU,CDU,659
2188342231399828,HSI/Deutschland,HSI/Deutschland,644
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,635
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,633
2215836101985960,Waldemar Seidler,These ads ran without a disclaimer,629
279450722377,Rügenwalder Mühle,Rügenwalder Mühle,623
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,622
427202191015825,eprimo,eprimo GmbH,609
1605966456387228,GOT BAG,GOT BAG GmbH,608
126757344082942,VELUX,VELUX,604
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,589
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,586
183292338524573,Nestlé,Nestlé Deutschland,575
429601160521937,HUMAN BLOOD,HUMAN BLOOD,573
832037676843543,Dedoles,These ads ran without a disclaimer,568
1467901716759486,Andreas Bovenschulte,Andreas Karl Wilhelm Bovenschulte,566
498082906898583,Spotify,Spotify,566
226651401514704,"Danke, Freihandel.",VDMA,562
258796296044,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,561
138832469593845,Grüner Fisher Investments,Grüner Fisher Investments,559
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,553
100211998283499,Wasserhelden,Wasserhelden,549
182704598535,Open Doors Deutschland,Open Doors Deutschland,544
362654797113137,Pepsi,These ads ran without a disclaimer,537
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,536
339052456846258,Treecelet,These ads ran without a disclaimer,534
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,532
2319126475013199,Zukunftsdialog,DGB Bundesvorstand,531
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,529
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,527
1947378708884004,Initiative Frosch,Initiative Frosch,526
111315165557626,REWE,REWE,520
164428853567811,Tchibo,Tchibo,520
540404695989874,AfD,AfD,517
90035328642,PETA Deutschland,PETA Deutschland,502
1407459366159843,Elombo Bolayela Abgeordneter der Bremischen Bürgerschaft,These ads ran without a disclaimer,500
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,495
499613946840551,Partei der Humanisten,Partei der Humanisten,491
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,490
2286018874983425,Oceanmata,Oceanmata,488
531143090368157,Volkswagen. we drive football,Volkswagen,484
1826176010746069,NRC Flüchtlingshilfe Deutschland,NRC Flüchtlingshilfe,471
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,467
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,465
2413742148854653,Pius Heereman,Pius Andreas Ulrich Maria Freiherr Heereman Von Zuydtwyck,463
283266582089,action medeor e.V.,action medeor e.V.,461
152934608113175,FDP Bremen,Tim Alexander Abitzsch,449
145944615464920,Polarstern Energie,Polarstern Energie,447
36714973506,VIER PFOTEN,VIER PFOTEN,440
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,435
1950715278284276,myconics,MyConics Service GmbH,434
20393019390,mymuesli,mymuesli,433
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,430
1477347775705985,Partei der Humanisten Bremen,Axel Börold,420
427202191015825,eprimo,These ads ran without a disclaimer,416
150793518281117,Covestro,These ads ran without a disclaimer,415
206584163580,Stiftung Mercator,Stiftung Mercator,411
178412932204779,Fraktion DIE LINKE in der Bremischen Bürgerschaft,Fraktion DIE LINKE in der Bremischen Bürgerschaft,411
1565754943752371,Robert Farle,Robert Farle,403
119027994815832,Microsoft Berlin,Microsoft Berlin,397
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,397
1860545017542864,Help Dunya e.V.,These ads ran without a disclaimer,394
223829854355699,Frosch,Frosch,393
925007000949719,ExxonMobil,These ads ran without a disclaimer,391
570129226520732,Patagonia,Patagonia,389
92576009043,Jens Spahn,Jens Spahn,378
387601651595573,Vantik,Vantik,372
731404243600603,Hannes Jaenicke,David Michel Löwe,367
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,366
64694257920,ProSieben,ProSieben,363
105559876186522,EDEKA,These ads ran without a disclaimer,361
106653924258368,Vision Sea Life,Vision Sea Life,355
8340223883,Avaaz,Avaaz,353
154149027994068,ZDF,ZDF,352
1424938757739868,Civil Liberties Union for Europe,Civil Liberties Union for Europe,348
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,346
730158247033526,Readly,These ads ran without a disclaimer,345
357565717909863,conny.legal,These ads ran without a disclaimer,339
1855211144766647,Asylhelper - Hilfe für Ausländer by migrando,Graske Rechtsanwälte,337
135790286632177,CDU Bremen-Stadt,These ads ran without a disclaimer,337
134483979119,Rosa-Luxemburg-Stiftung,Rosa-Luxemburg-Stiftung,334
196810630351655,GE,General Electric Deutschland Holding,334
336677843601760,Deutschland Kurier,Deutschland Kurier,332
408836473265645,PlantBase,PlantBase  Naturkosmetik,332
