Page ID,Page Name,Disclaimer,Amount Spent (EUR)
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,82443
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,62525
82734241364,Campact e.V.,Campact e.V.,50329
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,49294
768905426534529,Bundesregierung,Bundesregierung,44791
178362315106,European Parliament,European Parliament,44726
331832984040,LichtBlick,LichtBlick,32082
123608251805,Marcus Weinberg,CDU Hamburg,31396
197589525931,Facebook app,Facebook,29714
1508446642792459,Vattenfall Deutschland,Socialyse,24986
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,24188
25406037041,GRÜNE Hamburg,GRÜNE Hamburg,23420
187822811280040,NaturEnergie,Energiedienst Holding AG,23181
519185471487841,Bayer,Bayer,23030
103945904448735,RethinkingPaper,ReThinkingPaper,22762
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,22721
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,22415
23216224900,Plan International Deutschland,Plan International Deutschland,21133
170688644503,UNICEF Deutschland,UNICEF Deutschland,20958
484950398505596,IRC Deutschland,IRC Deutschland,19330
218786540044,WWF Deutschland,WWF Deutschland,18809
1655252804795367,Oatly,Oatly,16806
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,16537
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,16060
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,14770
370127063176268,Michael Kruse,Michael Kruse,14287
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,14241
75159424764,Aktion Mensch,Aktion Mensch,13932
189184071108491,FDP Hamburg,FDP Hamburg,13153
922013954486012,StrassenBLUES,StrassenBLUES,12060
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,11793
47930567748,SPD,SPD,11397
336621951882,Allianz Deutschland,These ads ran without a disclaimer,10315
166084620073109,Hamburgische Bürgerschaft,Hamburgische Bürgerschaft,10037
161674141345516,Weltverbesserer,Die Techniker (TK),9944
1578640155687393,Sea-Watch,Sea-Watch,9518
130273271119,SPD Hamburg,SPD Hamburg,9352
417905399079008,The Honu Movement,The Honu Movement,8640
134209407129787,Volt Deutschland,Volt Deutschland,8532
112277272142815,Sparkasse,Sparkasse,8392
122276294503722,Viessmann Sport,Viessmann Sport,6799
161273245888,Save the Children Deutschland,Save the Children Deutschland,6616
1508446642792459,Vattenfall Deutschland,These ads ran without a disclaimer,6341
105317974280826,Matthias Ederhof,Matthias Ederhof,5963
21289227249,FDP,FDP,5943
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,5905
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,5833
156922821011409,Timberland,PHD Media,5351
585678844775646,AfD Hamburg,AfD Hamburg,5308
101124947919410,GermanZero,Germanzero,5219
1004883576238809,GoodJobs,GoodJobs,5193
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,5078
130534873659391,Greenpeace Energy,Greenpeace Energy,4988
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,4891
58289338794,Danial Ilkhanipour,Danial Ilkhanipour,4874
130391693652056,DIE LINKE Hamburg,DIE LINKE Hamburg,4763
357565717909863,conny.legal,wenigermiete.de,4761
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,4722
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),4656
130273271119,SPD Hamburg,SPD Bürgerschaftsfraktion Hamburg,4638
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",4595
241036373819,Ben & Jerry's,Ben & Jerry's,4456
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,4438
313744767921,der Freitag,der Freitag,4432
305608429284,EU Environment,EU Environment,4338
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",4296
354608017990902,Ansaar International e.V.,Ansaar International e.V.,4294
948945635150056,AfD-Fraktion Hamburg,AfD-Fraktion Hamburg,4263
116335026590900,Mülltrennung wirkt,die dualen Systeme,4254
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,4148
174118102615738,Brot für die Welt,Brot für die Welt,4102
107898832590939,European Commission,European Commission,3967
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,3865
1553799571599937,pandoo,pandoo,3789
241690183335959,togetherforfuture,Together for Future,3647
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,3598
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,3573
328102567311712,HAMBURG ENERGIE,HAMBURG ENERGIE,3569
2286018874983425,Oceanmata,Bluemata,3559
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,3443
225012151032427,Bürgerwerke,Bürgerwerke,3385
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,3356
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,3226
380885335256162,Linksfraktion Hamburg,Linksfraktion Hamburg,3156
103822184707126,Shell Deutschland,Shell Deutschland,3126
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,3033
1605966456387228,GOT BAG,GOT BAG GmbH,3011
593476900673774,ifaw,ifaw,2983
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,2958
2188342231399828,HSI/Deutschland,HSI/Deutschland,2835
478399422560922,KadeFungin,DR. KADE,2834
251214968313715,SPD Eimsbüttel,SPD Eimsbüttel,2732
729627343834501,Kialo,Kialo,2724
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,2678
138832469593845,Grüner Fisher Investments,Grüner Fisher Investments,2653
165039663531531,Minecraft,These ads ran without a disclaimer,2634
689801517732186,ABOUT YOU,ABOUT YOU,2627
122773752454222,Arne Nüchterlein,Arne Nüchterlein,2609
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,2580
109011657255744,Mats Borgwardt,Mats Borgwardt,2500
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,2498
78502295414,CDU,CDU,2477
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,2434
444979036328669,Energy Buddy,coneva GmbH,2428
1950715278284276,myconics,MyConics Service GmbH,2359
110332583792510,Andreas Moring FDP,Andreas Moring,2358
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,2349
266691460417403,Christoph Ploß,CDU Hamburg-Nord,2322
2286018874983425,Oceanmata,Oceanmata,2312
1522202731410785,Katarina Barley,SPD,2286
328102567311712,HAMBURG ENERGIE,These ads ran without a disclaimer,2280
169373009772164,Dorothee Martin,Dorothee Martin,2278
429601160521937,HUMAN BLOOD,HUMAN BLOOD,2256
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,2244
110599178974216,SPD Altona,These ads ran without a disclaimer,2241
