Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,127108
768905426534529,Bundesregierung,Bundesregierung,117054
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,103035
178362315106,European Parliament,European Parliament,82146
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,59441
197589525931,Facebook app,Facebook,55513
82734241364,Campact e.V.,Campact e.V.,55278
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,53286
519185471487841,Bayer,Bayer,51754
23216224900,Plan International Deutschland,Plan International Deutschland,38520
170688644503,UNICEF Deutschland,UNICEF Deutschland,33722
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,32962
130013197106952,SPD-Fraktion im Römer,SPD-Fraktion im Römer,30988
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,30470
78502295414,CDU,CDU,27520
218786540044,WWF Deutschland,WWF Deutschland,25836
484950398505596,IRC Deutschland,IRC Deutschland,25403
336621951882,Allianz Deutschland,These ads ran without a disclaimer,24976
331832984040,LichtBlick,LichtBlick,24680
75159424764,Aktion Mensch,Aktion Mensch,23894
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,23877
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,21924
47930567748,SPD,SPD,21336
112277272142815,Sparkasse,Sparkasse,18808
1655252804795367,Oatly,Oatly,17695
161674141345516,Weltverbesserer,Die Techniker (TK),17126
122276294503722,Viessmann Sport,Viessmann Sport,16966
417905399079008,The Honu Movement,The Honu Movement,15418
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,14661
1240234532821510,Umweltministerium Hessen,"Hessisches Ministerium für Umwelt, Klimaschutz,  Landwirtschaft und Verbraucherschutz",14284
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,13143
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),12864
161273245888,Save the Children Deutschland,Save the Children Deutschland,12710
21289227249,FDP,FDP,12077
112127710187776,LEA Hessen,LandesEnergieAgentur Hessen,11646
116335026590900,Mülltrennung wirkt,die dualen Systeme,10781
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,10714
174118102615738,Brot für die Welt,Brot für die Welt,10163
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",10100
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,10015
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,9954
2487875461225990,DigitalesHessen,Hessische Staatskanzlei – Hessische Ministerin für Digitale Strategie und Entwicklung,9500
206866712830769,Nicola Beer,FDP,9481
107898832590939,European Commission,European Commission,9416
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,9078
189810044370879,FDP Wiesbaden,Freie Demokraten Wiesbaden,9031
354608017990902,Ansaar International e.V.,Ansaar International e.V.,8750
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,8576
130534873659391,Greenpeace Energy,Greenpeace Energy,8538
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",8501
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,8346
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,8253
305608429284,EU Environment,EU Environment,8194
1240234532821510,Umweltministerium Hessen,Umweltministerium Hessen,8132
169068853241291,VILSA,VILSA,7989
1553799571599937,pandoo,pandoo,7934
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,7869
107049224294046,Cenk Gönül,Cenk Gönül,7797
1412219998990150,agah-Landesausländerbeirat,agah-Landesausländerbeirat,7748
103659738023402,Die CityBahn,CityBahn GmbH,7657
103822184707126,Shell Deutschland,Shell Deutschland,7598
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,7502
131268050275994,CDU Main-Kinzig,CDU Main-Kinzig,7430
1578640155687393,Sea-Watch,Sea-Watch,7098
1287910941236600,AfD Fraktion Darmstadt,AfD-Darmstadt-Fraktion,6956
225012151032427,Bürgerwerke,Bürgerwerke,6887
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,6868
165039663531531,Minecraft,These ads ran without a disclaimer,6812
478399422560922,KadeFungin,DR. KADE,6772
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,6743
300225473377094,indeon magazin,Medienhaus der Evangelischen Kirche in Hessen und Nassau GmbH,6297
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,6283
101124947919410,GermanZero,Germanzero,6273
558754197477014,DIE LINKE. Hessen,DIE LINKE. Hessen,6171
173369732686833,Bündnis90/Die Grünen Frankfurt,Bündnis 90/Die Grünen Frankfurt am Main,6167
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,5874
188563151156073,CDU Frankfurt am Main,CDU Kreisverband Frankfurt am Main,5770
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,5756
470010929754315,SPD Landkreis Gießen,SPD-Unterbezirk Gießen,5680
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,5678
322199684504750,SPD Kassel,Bestes Pferd im Stall,5630
106063037604976,Hessisches Ministerium der Finanzen,Hessisches Ministerium der Finanzen,5604
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,5582
2188342231399828,HSI/Deutschland,HSI/Deutschland,5482
241036373819,Ben & Jerry's,Ben & Jerry's,5476
263503200272,Welthungerhilfe,Welthungerhilfe,5443
313744767921,der Freitag,der Freitag,5381
593476900673774,ifaw,ifaw,5380
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,5324
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,5296
196803203676047,Bündnis 90/Die Grünen Kassel,Bündnis 90/Die Grünen Kassel-Stadt,5162
202891703059373,SPD Frankfurt,SPD Frankfurt am Main,5091
2286018874983425,Oceanmata,Bluemata,5085
444979036328669,Energy Buddy,coneva GmbH,5014
1004883576238809,GoodJobs,GoodJobs,4979
1712174338805050,CDU Kelkheim,CDU Kelkheim,4941
241690183335959,togetherforfuture,Together for Future,4861
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,4844
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,4835
561953460655717,Social Media Ads,Alexander Dietrich,4776
192176997936784,FOUR Frankfurt,These ads ran without a disclaimer,4759
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,4664
138832469593845,Grüner Fisher Investments,Grüner Fisher Investments,4640
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,4540
689801517732186,ABOUT YOU,ABOUT YOU,4496
729627343834501,Kialo,Kialo,4492
192894677394511,CDU Darmstadt,CDU Kreisverband Darmstadt,4427
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,4423
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,4418
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,4345
214383545099,SPD Darmstadt,SPD Darmstadt,4301
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,4279
134625243228481,Freie Wähler Wiesbaden,Freie Wähler Wiesbaden,4239
114683645239717,Autohaus ROSIER,These ads ran without a disclaimer,4186
188188564583,FDP Hessen,FDP Hessen,4161
1522202731410785,Katarina Barley,SPD,4153
126757344082942,VELUX,VELUX,4075
182704598535,Open Doors Deutschland,Open Doors Deutschland,4063
1605966456387228,GOT BAG,GOT BAG GmbH,4042
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,3978
832037676843543,Dedoles,These ads ran without a disclaimer,3938
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,3925
427202191015825,eprimo,eprimo GmbH,3887
2013317875610032,Sebastian Papke - Politik für Frankfurt am Main,Sebastian Papke,3853
339052456846258,Treecelet,These ads ran without a disclaimer,3839
164428853567811,Tchibo,Tchibo,3830
2286018874983425,Oceanmata,Oceanmata,3812
498082906898583,Spotify,Spotify,3787
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,3785
283266582089,action medeor e.V.,action medeor e.V.,3669
1509344156054331,AfD Darmstadt,Wolfgang Wilhelm Schöhl,3639
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,3634
429601160521937,HUMAN BLOOD,HUMAN BLOOD,3538
258796296044,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,3476
47694585682,DIE LINKE,DIE LINKE,3471
1565754943752371,Robert Farle,Robert Farle,3438
126117237417259,Kassel2030,FDP Kassel-Stadt,3432
427202191015825,eprimo,These ads ran without a disclaimer,3425
145944615464920,Polarstern Energie,Polarstern Energie,3372
802526116482655,BFF - Bürger für Frankfurt,Bürger Für Frankfurt BFF e. V.,3338
226651401514704,"Danke, Freihandel.",VDMA,3334
20393019390,mymuesli,mymuesli,3324
362654797113137,Pepsi,These ads ran without a disclaimer,3280
183292338524573,Nestlé,Nestlé Deutschland,3276
875219582559540,AfD Marburg-Biedenkopf,AfD Marburg-Biedenkopf,3248
170657699695694,Jusos Frankfurt,Jusos Frankfurt,3240
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,3205
279450722377,Rügenwalder Mühle,Rügenwalder Mühle,3175
499613946840551,Partei der Humanisten,Partei der Humanisten,3163
92576009043,Jens Spahn,Jens Spahn,3134
875054569220633,Länderbüro Hessen und Rheinland-Pfalz der Friedrich Naumann-Stiftung,Länderbüro Hessen/RLP der Friedrich-Naumann-Stiftung für die Freiheit,3125
1826176010746069,NRC Flüchtlingshilfe Deutschland,NRC Flüchtlingshilfe,3114
90035328642,PETA Deutschland,PETA Deutschland,3103
531143090368157,Volkswagen. we drive football,Volkswagen,3069
111315165557626,REWE,REWE,3059
36714973506,VIER PFOTEN,VIER PFOTEN,3052
1947378708884004,Initiative Frosch,Initiative Frosch,3052
104536221555827,CDU Kreis Offenbach,CDU Kreisverband Offenbach-Land,3022
286496464854520,Bündnis 90 / Die Grünen - Stadtverband Grüne Gießen,Sebastian Mertens,3016
177203218996924,Jusos Wiesbaden,Jusos Wiesbaden,2997
1498132720442754,KAV Frankfurt am Main,KAV Frankfurt am Main,2997
2336321629783387,Volt Darmstadt,Volt Hessen,2988
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,2956
100151881923406,UNSER LANDKREIS VON MORGEN,CDU Kreisverband Gießen,2898
330735911136,easyJet,These ads ran without a disclaimer,2872
150793518281117,Covestro,These ads ran without a disclaimer,2826
564616706926430,Bündnis 90/Die Grünen Darmstadt,Bündnis 90/Die Grünen Kreisverband Darmstadt,2826
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,2812
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,2800
106653924258368,Vision Sea Life,Vision Sea Life,2785
22865297210,BÜNDNIS 90/DIE GRÜNEN Hessen,BÜNDNIS 90/DIE GRÜNEN im Hessischen Landtag,2764
206584163580,Stiftung Mercator,Stiftung Mercator,2752
2319126475013199,Zukunftsdialog,DGB Bundesvorstand,2746
336677843601760,Deutschland Kurier,Deutschland Kurier,2717
141233182633803,SPD Wiesbaden,Hendrik Schmehl,2709
988464887838249,FREIE WÄHLER Offenbach Stadt,Dennis Lehmann,2703
1942497819398764,"Martin Hohmann, MdB",Martin Hohmann,2686
121574737887564,CDU Bad Homburg,CDU Bad Homburg,2611
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,2604
223829854355699,Frosch,Frosch,2588
1950715278284276,myconics,MyConics Service GmbH,2559
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,2558
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,2523
105559876186522,EDEKA,These ads ran without a disclaimer,2520
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,2486
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,2483
408836473265645,PlantBase,PlantBase  Naturkosmetik,2442
169144926713,startnext,startnext,2418
540404695989874,AfD,AfD,2408
570129226520732,Patagonia,Patagonia,2405
109436900914743,Michael Götz-Pijl - Die PARTEI,Michael Götz-Pijl,2394
195201140555831,NPD Wetterau,Daniel Lachmann,2380
12084075837,Jürgen Todenhöfer,Jürgen Todenhöfer,2357
141233182633803,SPD Wiesbaden,SPD Wiesbaden,2353
1376651885999012,Freie Wähler Grünberg,Daniel Johannes Raschke,2340
387601651595573,Vantik,Vantik,2325
101147131278254,Volker Richter,Volker Richter,2313
925007000949719,ExxonMobil,These ads ran without a disclaimer,2277
47217143218,BÜNDNIS 90/DIE GRÜNEN,These ads ran without a disclaimer,2277
731404243600603,Hannes Jaenicke,David Michel Löwe,2254
154149027994068,ZDF,ZDF,2221
116335026590900,Mülltrennung wirkt,These ads ran without a disclaimer,2219
343364921106,Caritas international,Caritas international,2178
134209407129787,Volt Deutschland,Volt Deutschland,2144
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2141
8340223883,Avaaz,Avaaz,2130
64694257920,ProSieben,ProSieben,2105
2133889513569953,Volt Frankfurt,Volt Hessen,2099
121097790490,Albert Schweitzer Stiftung für unsere Mitwelt,Albert Schweitzer Stiftung für unsere Mitwelt,2083
307579442621928,SPD Waldeck-Frankenberg,SPD Waldeck Frankenberg,2082
108402617374919,Keepitfresh,David Weisbäcker,2068
261215010584345,Kasseler Linke,Kasseler Linke,2063
1285780774784882,nucao,These ads ran without a disclaimer,2056
730158247033526,Readly,These ads ran without a disclaimer,2051
305368552898287,Viessmann,These ads ran without a disclaimer,2038
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,2021
303043247017496,Markus Buchheit,Markus Buchheit,2013
107780880913621,MASXS,MASXS,2011
700577889971139,PENNY,PENNY,2011
1132390386905401,Team Frankfurt,Karsten Kurt Richard Frick,1993
931083467001816,Wir fürs Impfen,Pfizer Pharma GmbH,1983
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),1975
134417213230,FRANKFURT.de,These ads ran without a disclaimer,1966
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,1923
103022471514818,Befreien Sie die Brüste,These ads ran without a disclaimer,1921
104641917753059,Forschung ist die beste Medizin,Verband Forschender Arzneimittelhersteller e.V.,1920
129724513733284,dm-drogerie markt Deutschland,dm-drogerie markt Deutschland,1915
262759890577614,SPD Butzbach,SPD Butzbach,1915
611910082337980,VerbraucherCheck.net,Caesar Richard Reinhold Ludwig  Schütz,1859
1111008692243168,CDU Heusenstamm,CDU Heusenstamm,1855
165629350137468,Schaebens,Schaebens,1848
201065353264638,yello,yello,1843
190784743602,CDU/CSU-Bundestagsfraktion,CDU/CSU-Bundestagsfraktion,1824
63415881040,Aktion Deutschland Hilft,Aktion Deutschland Hilft,1813
218786540044,WWF Deutschland,These ads ran without a disclaimer,1811
253592560263,Christoffel-Blindenmission (CBM),Christoffel-Blindenmission Deutschland e.V.,1810
1553799571599937,pandoo,These ads ran without a disclaimer,1803
437191132998825,HSPRO,These ads ran without a disclaimer,1800
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),1793
116000986793106,Klima,Climate Labs GmbH,1788
556019341220640,Kinder in Gefahr - DVCK e.V.,DVCK e.V.,1788
1355356484630164,Entwicklung wirkt,Gregor Koall,1779
111740802198942,DKB - Deutsche Kreditbank AG,These ads ran without a disclaimer,1768
133306764192,NABU Bundesverband,NABU Bundesverband,1749
1855211144766647,Asylhelper - Hilfe für Ausländer by migrando,Graske Rechtsanwälte,1737
1809612912702100,Freie Demokraten Marburg-Biedenkopf,FDP Marburg-Biedenkopf,1734
510117665830401,Hilfetelefon Gewalt gegen Frauen,Hilfetelefon Gewalt gegen Frauen,1721
921326477983554,Verband der Chemischen Industrie e.V.,Chemie Wirtschaftsförderungs GmbH,1715
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,1707
296270482587,McDonald's,These ads ran without a disclaimer,1699
222005461272345,AfD Hessen,AfD Hessen,1692
357194964882366,Sieben Generationen,Seventh Generation,1684
344008438956618,Junge Union Main-Taunus,Junge Union Main-Taunus,1680
267443093828699,Demokratie in Europa - Diem25,Demokratie in Europa - DiEM25,1680
218786540044,WWF Deutschland,WWF Deutschland with Facebook Ad Credits,1663
342884401877,Thalia Buchhandlung - Thalia.de,Thalia Buchhandlung - Thalia.de,1662
143504445664134,Christian Lindner,FDP Fraktion Bundestag,1658
316160725982888,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,1657
374270485990897,Bundesverband Musikindustrie,Bundesverband Musikindustrie,1653
1433133016766839,AfD Kreisverband Fulda,Jens Mierdel,1649
109931833792280,Everdrop,These ads ran without a disclaimer,1647
450531351694799,DIE LINKE. im Lahn-Dill-Kreis,DIE LINKE Lahn-Dill,1642
134483979119,Rosa-Luxemburg-Stiftung,Rosa-Luxemburg-Stiftung,1642
118755004820675,Fairtrade Deutschland,Fairtrade,1641
150380582965,BVMW - Bundesverband mittelständische Wirtschaft,BVMW - Bundesverband mittelständische Wirtschaft,1641
1605966456387228,GOT BAG,These ads ran without a disclaimer,1641
199582526743398,CDU Karben,Stephan Theiß,1640
187451988256150,Alexander Unrath,Alexander Unrath,1631
938587379491828,DIE LINKE. Kreisverband Frankfurt am Main,DIE LINKE. Kreisverband Frankfurt am Main,1630
