Page ID,Page Name,Disclaimer,Amount Spent (EUR)
580401892143117,AfD-Fraktion Mecklenburg-Vorpommern,AfD-Fraktion Mecklenburg-Vorpommern,44338
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,17314
768905426534529,Bundesregierung,Bundesregierung,16293
178362315106,European Parliament,European Parliament,13741
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,12465
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,12320
178088688897200,WEMAG,WEMAG,10729
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,10721
197589525931,Facebook app,Facebook,8434
519185471487841,Bayer,Bayer,7941
78502295414,CDU,CDU,7882
82734241364,Campact e.V.,Campact e.V.,7796
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,7415
23216224900,Plan International Deutschland,Plan International Deutschland,4887
336621951882,Allianz Deutschland,These ads ran without a disclaimer,4682
331832984040,LichtBlick,LichtBlick,4434
493734394101595,SPD-Landtagsfraktion Mecklenburg-Vorpommern,SPD-Landtagsfraktion M-V,4119
170688644503,UNICEF Deutschland,UNICEF Deutschland,3497
161674141345516,Weltverbesserer,Die Techniker (TK),3346
75159424764,Aktion Mensch,Aktion Mensch,3297
218786540044,WWF Deutschland,WWF Deutschland,3200
47930567748,SPD,SPD,3185
112277272142815,Sparkasse,Sparkasse,3019
125832122545969,Vertretung des Landes Mecklenburg-Vorpommern beim Bund,Landesvertretung Mecklenburg-Vorpommern,3000
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,2960
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,2832
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),2822
122276294503722,Viessmann Sport,Viessmann Sport,2760
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",2658
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,2632
417905399079008,The Honu Movement,The Honu Movement,2375
484950398505596,IRC Deutschland,IRC Deutschland,2254
116335026590900,Mülltrennung wirkt,die dualen Systeme,2050
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,2046
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,1994
110938070669531,Christian Holz - Gut Holz für Waren Müritz,CDU Stadtverband Waren (Müritz),1894
140300602673724,SPD Mecklenburg-Vorpommern,SPD MV,1818
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",1785
199036293467407,Grüne Jugend Mecklenburg-Vorpommern,Grüne Jugend Mecklenburg-Vorpommern,1721
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,1674
21289227249,FDP,FDP,1614
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,1574
205311826175998,DIE LINKE Mecklenburg-Vorpommern,DIE LINKE. Mecklenburg-Vorpommern,1525
103822184707126,Shell Deutschland,Shell Deutschland,1463
108655634192831,Johannes Arlt,Johannes Arlt,1460
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,1423
107898832590939,European Commission,European Commission,1398
161273245888,Save the Children Deutschland,Save the Children Deutschland,1378
1655252804795367,Oatly,Oatly,1313
165039663531531,Minecraft,These ads ran without a disclaimer,1263
134209407129787,Volt Deutschland,Volt Deutschland,1263
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,1234
478399422560922,KadeFungin,DR. KADE,1199
1565754943752371,Robert Farle,Robert Farle,1198
1553799571599937,pandoo,pandoo,1193
305608429284,EU Environment,EU Environment,1186
225012151032427,Bürgerwerke,Bürgerwerke,1172
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,1154
130534873659391,Greenpeace Energy,Greenpeace Energy,1153
100668651929871,Tino Schomann,CDU Nordwestmecklenburg,1146
427202191015825,eprimo,eprimo GmbH,1146
2012567329069330,Michael Sack,CDU Landesverband Mecklenburg-Vorpommern,1122
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,1109
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,1091
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,1073
101756604567257,"Stefan Guzu, Bürgermeister der Reuterstadt Stavenhagen",Matthias Petri,1044
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,1042
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1016
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,1004
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,999
47694585682,DIE LINKE,DIE LINKE,973
174118102615738,Brot für die Welt,Brot für die Welt,970
540404695989874,AfD,AfD,948
444979036328669,Energy Buddy,coneva GmbH,943
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,931
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,916
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,911
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,911
1578640155687393,Sea-Watch,Sea-Watch,889
832037676843543,Dedoles,These ads ran without a disclaimer,875
339052456846258,Treecelet,These ads ran without a disclaimer,870
335288650611521,ALDI Nord,ALDI Nord,858
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,832
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,820
729627343834501,Kialo,Kialo,811
104287417808189,Lw2030,13°,810
339894849467492,GASAG,GASAG,793
101124947919410,GermanZero,Germanzero,784
313744767921,der Freitag,der Freitag,780
593476900673774,ifaw,ifaw,778
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,773
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,762
2286018874983425,Oceanmata,Bluemata,759
744055308985961,CDU-Fraktion im Landtag Mecklenburg-Vorpommern,These ads ran without a disclaimer,750
122038517830943,FDP Schwerin,These ads ran without a disclaimer,750
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,734
303043247017496,Markus Buchheit,Markus Buchheit,731
396919424193959,Bergener Bündnis - BB,These ads ran without a disclaimer,728
241036373819,Ben & Jerry's,Ben & Jerry's,724
126757344082942,VELUX,VELUX,717
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,715
689801517732186,ABOUT YOU,ABOUT YOU,715
226651401514704,"Danke, Freihandel.",VDMA,696
336677843601760,Deutschland Kurier,Deutschland Kurier,686
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,677
580401892143117,AfD-Fraktion Mecklenburg-Vorpommern,These ads ran without a disclaimer,673
619473634775212,CDU G.V. “Wittenburger Land“,These ads ran without a disclaimer,664
196810630351655,GE,General Electric Deutschland Holding,664
221735951207012,Bündnis 90/Die Grünen Kreisverband Rostock,"BÜNDNIS 90/DIE GRÜNEN, Kreisverband Rostock",651
354608017990902,Ansaar International e.V.,Ansaar International e.V.,646
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,643
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,639
164428853567811,Tchibo,Tchibo,638
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,635
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,621
106653924258368,Vision Sea Life,Vision Sea Life,612
241690183335959,togetherforfuture,Together for Future,601
498082906898583,Spotify,Spotify,600
106246149533201,SPD-Fraktion Rostock,Stefan Posselt,598
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,596
499613946840551,Partei der Humanisten,Partei der Humanisten,581
1605966456387228,GOT BAG,GOT BAG GmbH,577
2188342231399828,HSI/Deutschland,HSI/Deutschland,572
2286018874983425,Oceanmata,Oceanmata,569
1004883576238809,GoodJobs,GoodJobs,569
427202191015825,eprimo,These ads ran without a disclaimer,562
20393019390,mymuesli,mymuesli,553
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,551
111315165557626,REWE,REWE,551
171174646826561,Dr. Stefan Posselt,Stefan Posselt,546
90035328642,PETA Deutschland,PETA Deutschland,545
1947378708884004,Initiative Frosch,Initiative Frosch,541
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,536
