Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,135972
768905426534529,Bundesregierung,Bundesregierung,123663
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,100650
178362315106,European Parliament,European Parliament,91843
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,67452
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,64612
519185471487841,Bayer,Bayer,58548
82734241364,Campact e.V.,Campact e.V.,55606
78502295414,CDU,CDU,52479
197589525931,Facebook app,Facebook,51166
331832984040,LichtBlick,LichtBlick,46260
23216224900,Plan International Deutschland,Plan International Deutschland,37360
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,34279
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,31179
336621951882,Allianz Deutschland,These ads ran without a disclaimer,28813
170688644503,UNICEF Deutschland,UNICEF Deutschland,27054
47930567748,SPD,SPD,26692
75159424764,Aktion Mensch,Aktion Mensch,26344
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,26249
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,24059
218786540044,WWF Deutschland,WWF Deutschland,24031
1186735191488652,Eckhard Scholz,CDU Hannover Stadt,23162
112277272142815,Sparkasse,Sparkasse,20776
161674141345516,Weltverbesserer,Die Techniker (TK),20125
484950398505596,IRC Deutschland,IRC Deutschland,18393
122276294503722,Viessmann Sport,Viessmann Sport,17821
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,17086
417905399079008,The Honu Movement,The Honu Movement,16917
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),14975
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,14801
114683645239717,Autohaus ROSIER,These ads ran without a disclaimer,14143
21289227249,FDP,FDP,13574
116335026590900,Mülltrennung wirkt,die dualen Systeme,13055
1241216312686538,Minister Grant Hendrik Tonne,Minister Grant Hendrik Tonne,12000
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",11444
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,11308
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,11169
161273245888,Save the Children Deutschland,Save the Children Deutschland,10537
1655252804795367,Oatly,Oatly,10364
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,10157
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,10008
130534873659391,Greenpeace Energy,Greenpeace Energy,9694
107898832590939,European Commission,European Commission,9518
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,9182
305608429284,EU Environment,EU Environment,9143
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",8982
165039663531531,Minecraft,These ads ran without a disclaimer,8907
174118102615738,Brot für die Welt,Brot für die Welt,8846
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,8445
103822184707126,Shell Deutschland,Shell Deutschland,8355
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,8171
1553799571599937,pandoo,pandoo,7919
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,7759
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,7696
478399422560922,KadeFungin,DR. KADE,7545
225012151032427,Bürgerwerke,Bürgerwerke,7315
110532013701910,Volksbegehren Artenvielfalt.Jetzt,Volksbegehren Artenvielfalt Niedersachsen,7284
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,7245
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,7218
1578640155687393,Sea-Watch,Sea-Watch,7007
354608017990902,Ansaar International e.V.,Ansaar International e.V.,6898
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,6781
444979036328669,Energy Buddy,coneva GmbH,6751
101124947919410,GermanZero,Germanzero,6597
76866574484,SPD Niedersachsen,SPD Niedersachsen,6549
1577568379211602,Hahne Holding,Hahne Holding GmbH,6465
109460782417586,CDU in Niedersachsen,CDU in Niedersachsen,6389
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,6375
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,6340
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,6182
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,6101
241036373819,Ben & Jerry's,Ben & Jerry's,6075
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,6041
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,5914
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,5896
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,5814
126757344082942,VELUX,VELUX,5706
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,5659
335288650611521,ALDI Nord,ALDI Nord,5649
2286018874983425,Oceanmata,Bluemata,5560
593476900673774,ifaw,ifaw,5463
832037676843543,Dedoles,These ads ran without a disclaimer,5414
1719743564832985,Aktion Neustart - Aussteigerprogramm Extremismus,Dietmar Borgwart,5341
427202191015825,eprimo,eprimo GmbH,5259
498082906898583,Spotify,Spotify,5076
729627343834501,Kialo,Kialo,5025
1522202731410785,Katarina Barley,SPD,4942
689801517732186,ABOUT YOU,ABOUT YOU,4844
313744767921,der Freitag,der Freitag,4831
2188342231399828,HSI/Deutschland,HSI/Deutschland,4825
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,4822
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,4775
241690183335959,togetherforfuture,Together for Future,4758
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,4533
339052456846258,Treecelet,These ads ran without a disclaimer,4487
164428853567811,Tchibo,Tchibo,4458
279450722377,Rügenwalder Mühle,Rügenwalder Mühle,4428
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,4403
263503200272,Welthungerhilfe,Welthungerhilfe,4360
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,4360
100211998283499,Wasserhelden,Wasserhelden,4325
679270472492293,Marc Hansmann,SPD-Unterbezirk Region Hannover,4303
2286018874983425,Oceanmata,Oceanmata,4241
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,4237
1004883576238809,GoodJobs,GoodJobs,4200
2319126475013199,Zukunftsdialog,DGB Bundesvorstand,4197
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,4193
90035328642,PETA Deutschland,PETA Deutschland,4180
1605966456387228,GOT BAG,GOT BAG GmbH,4173
226651401514704,"Danke, Freihandel.",VDMA,4123
111315165557626,REWE,REWE,4105
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,4065
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,3997
483471921769289,Jens Gieseke,Jens Gieseke MdEP,3986
20393019390,mymuesli,mymuesli,3978
1947378708884004,Initiative Frosch,Initiative Frosch,3968
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,3861
499613946840551,Partei der Humanisten,Partei der Humanisten,3754
429601160521937,HUMAN BLOOD,HUMAN BLOOD,3714
362654797113137,Pepsi,These ads ran without a disclaimer,3693
531143090368157,Volkswagen. we drive football,Volkswagen,3669
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,3581
427202191015825,eprimo,These ads ran without a disclaimer,3548
283266582089,action medeor e.V.,action medeor e.V.,3537
122157501135773,Länderbüro Niedersachsen Bremen Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,3493
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,3479
109933330466093,KPV Bildungswerk Niedersachsen,KPV Bildungswerk Niedersachen e.V.,3478
183292338524573,Nestlé,Nestlé Deutschland,3398
106653924258368,Vision Sea Life,Vision Sea Life,3378
138832469593845,Grüner Fisher Investments,Grüner Fisher Investments,3311
145944615464920,Polarstern Energie,Polarstern Energie,3296
995399797206624,Niedersachsen packt an,Niedersachsen packt an,3251
1565754943752371,Robert Farle,Robert Farle,3237
172878316101333,Stadtwerke Göttingen AG,Stadtwerke Göttingen,3155
92576009043,Jens Spahn,Jens Spahn,3129
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,3051
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,3049
182704598535,Open Doors Deutschland,Open Doors Deutschland,3002
150793518281117,Covestro,These ads ran without a disclaimer,2993
258796296044,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,2974
408836473265645,PlantBase,PlantBase  Naturkosmetik,2940
1508446642792459,Vattenfall Deutschland,Socialyse,2939
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,2926
540404695989874,AfD,AfD,2896
1094683160736817,Respect-4-You Russischer Pflegedienst,Vadim Zaretskiy,2858
581244975375929,AWO Region Hannover e.V.,AWO Region Hannover,2848
731404243600603,Hannes Jaenicke,David Michel Löwe,2804
36714973506,VIER PFOTEN,VIER PFOTEN,2804
1950715278284276,myconics,MyConics Service GmbH,2792
170902079673829,Ørsted,Ørsted,2776
64694257920,ProSieben,ProSieben,2669
47694585682,DIE LINKE,DIE LINKE,2668
105559876186522,EDEKA,These ads ran without a disclaimer,2657
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,2616
336677843601760,Deutschland Kurier,Deutschland Kurier,2608
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,2588
792623147583711,Belit Onay,BÜNDNIS 90/DIE GRÜNEN Stadtverband Hannover,2577
117534528257937,Bund für Umwelt und Naturschutz Deutschland,Bund für Umwelt und Naturschutz Deutschland,2538
154149027994068,ZDF,ZDF,2532
206584163580,Stiftung Mercator,Stiftung Mercator,2523
249296718436,IG Metall,IG Metall,2523
116335026590900,Mülltrennung wirkt,These ads ran without a disclaimer,2507
223829854355699,Frosch,Frosch,2504
818732621553521,AfD Hannover Stadt,Jörn König,2472
1241216312686538,Minister Grant Hendrik Tonne,These ads ran without a disclaimer,2454
103022471514818,Befreien Sie die Brüste,These ads ran without a disclaimer,2453
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,2450
201065353264638,yello,yello,2432
1826176010746069,NRC Flüchtlingshilfe Deutschland,NRC Flüchtlingshilfe,2396
316160725982888,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,2390
1355356484630164,Entwicklung wirkt,Gregor Koall,2362
730158247033526,Readly,These ads ran without a disclaimer,2356
305368552898287,Viessmann,These ads ran without a disclaimer,2352
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,2308
1931006000456181,FDP Burgdorf-Uetze,FDP OV Burgdorf-Uetze,2301
134209407129787,Volt Deutschland,Volt Deutschland,2289
196810630351655,GE,General Electric Deutschland Holding,2272
8340223883,Avaaz,Avaaz,2257
387601651595573,Vantik,Vantik,2250
925007000949719,ExxonMobil,These ads ran without a disclaimer,2247
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),2240
190784743602,CDU/CSU-Bundestagsfraktion,CDU/CSU-Bundestagsfraktion,2240
339894849467492,GASAG,GASAG,2233
700577889971139,PENNY,PENNY,2230
570129226520732,Patagonia,Patagonia,2230
206866712830769,Nicola Beer,FDP,2226
931083467001816,Wir fürs Impfen,Pfizer Pharma GmbH,2213
118755004820675,Fairtrade Deutschland,Fairtrade,2213
108402617374919,Keepitfresh,David Weisbäcker,2190
165629350137468,Schaebens,Schaebens,2151
303043247017496,Markus Buchheit,Markus Buchheit,2143
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,2128
1285780774784882,nucao,These ads ran without a disclaimer,2118
201278966629620,AOK Niedersachsen,AOK Niedersachsen,2112
296270482587,McDonald's,These ads ran without a disclaimer,2097
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,2087
129724513733284,dm-drogerie markt Deutschland,dm-drogerie markt Deutschland,2079
120655374567,Ökologisch-Demokratische Partei (ÖDP),Ökologisch-Demokratische Partei (ÖDP),2035
1553799571599937,pandoo,These ads ran without a disclaimer,2020
437191132998825,HSPRO,These ads ran without a disclaimer,1993
135613263152191,DGB Niedersachsen,DGB Niedersachsen,1984
355456486093,Lars Klingbeil,Lars Klingbeil,1949
104641917753059,Forschung ist die beste Medizin,Verband Forschender Arzneimittelhersteller e.V.,1944
111740802198942,DKB - Deutsche Kreditbank AG,These ads ran without a disclaimer,1936
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,1907
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,1871
181535349099426,"Jörn König, MdB",Jörn König,1857
1326707294032269,Enpal,These ads ran without a disclaimer,1845
342884401877,Thalia Buchhandlung - Thalia.de,Thalia Buchhandlung - Thalia.de,1843
121097790490,Albert Schweitzer Stiftung für unsere Mitwelt,Albert Schweitzer Stiftung für unsere Mitwelt,1841
133306764192,NABU Bundesverband,NABU Bundesverband,1825
296270482587,McDonald's,McDonald's,1812
109931833792280,Everdrop,These ads ran without a disclaimer,1805
374270485990897,Bundesverband Musikindustrie,Bundesverband Musikindustrie,1795
530905320274921,Change.org,Change.org e.V.,1791
12084075837,Jürgen Todenhöfer,Jürgen Todenhöfer,1785
357194964882366,Sieben Generationen,Seventh Generation,1748
1605966456387228,GOT BAG,These ads ran without a disclaimer,1735
143504445664134,Christian Lindner,FDP Fraktion Bundestag,1728
510117665830401,Hilfetelefon Gewalt gegen Frauen,Hilfetelefon Gewalt gegen Frauen,1726
124577130886108,sixx,Seven.One Entertainment Group GmbH,1716
107780880913621,MASXS,MASXS,1693
253592560263,Christoffel-Blindenmission (CBM),Christoffel-Blindenmission Deutschland e.V.,1690
343364921106,Caritas international,Caritas international,1682
267443093828699,Demokratie in Europa - Diem25,Demokratie in Europa - DiEM25,1681
201710366528032,Umweltinstitut München e.V.,Umweltinstitut München e.V.,1664
1014057301965054,Thomas Heilmann,Thomas Heilmann,1656
150380582965,BVMW - Bundesverband mittelständische Wirtschaft,BVMW - Bundesverband mittelständische Wirtschaft,1651
482176671952628,Markenverband e.V.,Markenverband e.V.,1615
215977868441680,Bundeswehr Karriere,These ads ran without a disclaimer,1613
218786540044,WWF Deutschland,WWF Deutschland with Facebook Ad Credits,1598
