Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,378566
768905426534529,Bundesregierung,Bundesregierung,345804
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,278421
178362315106,European Parliament,European Parliament,239537
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,171197
519185471487841,Bayer,Bayer,156794
197589525931,Facebook app,Facebook,156049
331832984040,LichtBlick,LichtBlick,146331
82734241364,Campact e.V.,Campact e.V.,145487
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,131813
23216224900,Plan International Deutschland,Plan International Deutschland,105674
78502295414,CDU,CDU,99323
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,91186
170688644503,UNICEF Deutschland,UNICEF Deutschland,84164
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,81298
114683645239717,Autohaus ROSIER,These ads ran without a disclaimer,79377
336621951882,Allianz Deutschland,These ads ran without a disclaimer,76185
75159424764,Aktion Mensch,Aktion Mensch,71348
218786540044,WWF Deutschland,WWF Deutschland,71310
47930567748,SPD,SPD,66446
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,65868
484950398505596,IRC Deutschland,IRC Deutschland,63156
112277272142815,Sparkasse,Sparkasse,56396
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,51598
161674141345516,Weltverbesserer,Die Techniker (TK),48495
122276294503722,Viessmann Sport,Viessmann Sport,45239
1655252804795367,Oatly,Oatly,44071
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,42157
417905399079008,The Honu Movement,The Honu Movement,42150
120675781344230,Regionalverband Ruhr,Regionalverband Ruhr,39905
150480805043795,DIE LINKE. NRW,DIE LINKE. NRW,39730
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,38142
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),36826
161273245888,Save the Children Deutschland,Save the Children Deutschland,34075
211194715558010,CDU Köln,CDU Kreisverband Köln,32829
21289227249,FDP,FDP,32681
1919185338293853,AfD-Fraktion NRW,AfD-Fraktion NRW,30824
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",30778
116335026590900,Mülltrennung wirkt,die dualen Systeme,29647
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,29406
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,29402
354608017990902,Ansaar International e.V.,Ansaar International e.V.,26881
174118102615738,Brot für die Welt,Brot für die Welt,26416
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,26337
169463563099560,land.nrw,land.nrw,25837
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,25702
107898832590939,European Commission,European Commission,25652
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,25404
130534873659391,Greenpeace Energy,Greenpeace Energy,24829
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,24513
221015151338873,Andreas Kossiski,SPD Köln,24230
305608429284,EU Environment,EU Environment,24203
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,22556
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",22194
103822184707126,Shell Deutschland,Shell Deutschland,22121
1578640155687393,Sea-Watch,Sea-Watch,22066
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,21377
515228481869383,Essener Bürger Bündnis - EBB - Freie Wähler,Wilfried Adamy,20927
100310154874411,Stephan Keller,CDU Düsseldorf,20923
165039663531531,Minecraft,These ads ran without a disclaimer,20824
