Page ID,Page Name,Disclaimer,Amount Spent (EUR)
768905426534529,Bundesregierung,Bundesregierung,78311
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,77522
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,54631
178362315106,European Parliament,European Parliament,49931
301485916628595,Christian Baldauf,CDU Rheinland-Pfalz,48832
330165526782,SPD Rheinland-Pfalz,SPD Rheinland-Pfalz,40683
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,37678
82734241364,Campact e.V.,Campact e.V.,36558
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,35348
519185471487841,Bayer,Bayer,33293
197589525931,Facebook app,Facebook,32584
189617674514883,Rheinland-Pfalz,Rheinland-Pfalz,30358
78502295414,CDU,CDU,29299
103593837807255,Anne Spiegel,Bündnis 90/Die Grünen Rheinland-Pfalz,28673
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,22344
1073271182734567,AfD-Fraktion im Landtag Rheinland-Pfalz,AfD-Fraktion im Landtag Rheinland-Pfalz,21815
23216224900,Plan International Deutschland,Plan International Deutschland,21324
88331883353,BÜNDNIS 90/DIE GRÜNEN Rheinland-Pfalz,Bündnis 90/Die Grünen Rheinland-Pfalz,20409
459151034117647,Landesforsten Rheinland-Pfalz,Landesforsten Rheinland-Pfalz,18765
192914574055132,Joachim Streit,Joachim Streit,18405
170688644503,UNICEF Deutschland,UNICEF Deutschland,17362
1402857076602559,Malu Dreyer,SPD Rheinland-Pfalz,16685
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,15718
336621951882,Allianz Deutschland,These ads ran without a disclaimer,15469
189449641081486,FDP Rheinland-Pfalz,FDP Rheinland-Pfalz,15051
47930567748,SPD,SPD,14864
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,14748
75159424764,Aktion Mensch,Aktion Mensch,14267
218786540044,WWF Deutschland,WWF Deutschland,14257
331832984040,LichtBlick,LichtBlick,13925
1339267256128796,Landtag Rheinland-Pfalz,Landtag Rheinland-Pfalz,13908
499359010093513,Freie Wähler Rheinland Pfalz,FREIE WÄHLER Rheinland-Pfalz,13152
178032906642,CDU Rheinland-Pfalz,CDU Rheinland-Pfalz,12366
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,12223
112277272142815,Sparkasse,Sparkasse,11616
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,11227
161674141345516,Weltverbesserer,Die Techniker (TK),10558
122276294503722,Viessmann Sport,Viessmann Sport,10492
484950398505596,IRC Deutschland,IRC Deutschland,10468
162707793881819,AfD Rheinland-Pfalz,AfD Rheinland-Pfalz,10099
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),9548
417905399079008,The Honu Movement,The Honu Movement,9378
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,7581
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,7558
105244217494187,Volt Rheinland-Pfalz,Volt Rheinland-Pfalz,7336
116335026590900,Mülltrennung wirkt,die dualen Systeme,7226
21289227249,FDP,FDP,7157
161273245888,Save the Children Deutschland,Save the Children Deutschland,7026
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",6776
154654377881669,DIE LINKE. Rheinland-Pfalz,DIE LINKE. Rheinland-Pfalz,6585
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,6367
174118102615738,Brot für die Welt,Brot für die Welt,6364
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,6237
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,6081
107898832590939,European Commission,European Commission,6007
130534873659391,Greenpeace Energy,Greenpeace Energy,5643
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,5561
305608429284,EU Environment,EU Environment,5319
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",5301
1655252804795367,Oatly,Oatly,5259
103822184707126,Shell Deutschland,Shell Deutschland,5171
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,4915
338258896262020,Grüne Jugend Rheinland-Pfalz,Grüne Jugend Rheinland-Pfalz,4874
287620881589935,Umweltministerium RLP,Umweltministerium RLP,4824
225012151032427,Bürgerwerke,Bürgerwerke,4777
1553799571599937,pandoo,pandoo,4723
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,4673
165039663531531,Minecraft,These ads ran without a disclaimer,4609
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,4463
478399422560922,KadeFungin,DR. KADE,4457
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,4308
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,4069
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,4022
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,4010
354608017990902,Ansaar International e.V.,Ansaar International e.V.,3929
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,3865
1272335162858434,"Ministerium für Soziales, Arbeit, Gesundheit und Demografie Rheinland-Pfalz",These ads ran without a disclaimer,3863
300225473377094,indeon magazin,Medienhaus der Evangelischen Kirche in Hessen und Nassau GmbH,3779
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,3633
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,3549
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,3516
1578640155687393,Sea-Watch,Sea-Watch,3442
427202191015825,eprimo,eprimo GmbH,3409
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,3360
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,3299
1565754943752371,Robert Farle,Robert Farle,3273
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,3239
101124947919410,GermanZero,Germanzero,3203
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,3150
139619772887950,CDU Neustadt an der Weinstraße,CDU Kreisverband Neustadt,3053
2188342231399828,HSI/Deutschland,HSI/Deutschland,3038
312751442108983,SPD Ludwigshafen,SPD Ludwigshafen,3025
444979036328669,Energy Buddy,coneva GmbH,3019
729627343834501,Kialo,Kialo,3017
263503200272,Welthungerhilfe,Welthungerhilfe,3004
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,2994
241036373819,Ben & Jerry's,Ben & Jerry's,2991
2286018874983425,Oceanmata,Bluemata,2989
1048042375394895,Nino Haase,Nino Haase,2873
126757344082942,VELUX,VELUX,2872
1522202731410785,Katarina Barley,SPD,2866
106736954392498,"Michael Ludwig, MdL",Michael Nikolaus Ludwig,2833
832037676843543,Dedoles,These ads ran without a disclaimer,2784
689801517732186,ABOUT YOU,ABOUT YOU,2742
364491737725008,Ralf J. Lottermann - für die SPD Worms im Stadtrat,Ralf Lottermann,2691
2140740582905024,Michael Ebling,SPD Mainz,2680
226651401514704,"Danke, Freihandel.",VDMA,2672
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,2645
427202191015825,eprimo,These ads ran without a disclaimer,2638
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,2627
452938604771335,FDP Kreisverband Neuwied,FDP Kreisverband Neuwied,2620
710894025774211,Bernhard Braun,Dr. Bernhard Braun,2595
498082906898583,Spotify,Spotify,2547
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,2541
313744767921,der Freitag,der Freitag,2535
1605966456387228,GOT BAG,GOT BAG GmbH,2524
442503965827807,Grüne Mainz,Bündnis 90/Die Grünen Mainz,2509
138832469593845,Grüner Fisher Investments,Grüner Fisher Investments,2486
339052456846258,Treecelet,These ads ran without a disclaimer,2469
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,2466
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,2432
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,2428
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,2419
1004883576238809,GoodJobs,GoodJobs,2419
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,2410
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,2409
164428853567811,Tchibo,Tchibo,2374
768510669914042,Tabea Rößner,BÜNDNIS 90/ DIE GRÜNEN KV MAINZ,2356
111315165557626,REWE,REWE,2354
2286018874983425,Oceanmata,Oceanmata,2334
182704598535,Open Doors Deutschland,Open Doors Deutschland,2317
1873999882830833,Grüne Rhein-Pfalz,Grüne Rhein-Pfalz,2292
92576009043,Jens Spahn,Jens Spahn,2291
108883817353491,Klimaliste RLP e.V.,Klimaliste RLP e.V.,2284
1947378708884004,Initiative Frosch,Initiative Frosch,2226
