Page ID,Page Name,Disclaimer,Amount Spent (EUR)
768905426534529,Bundesregierung,Bundesregierung,21728
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,19603
178362315106,European Parliament,European Parliament,12551
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,12073
82734241364,Campact e.V.,Campact e.V.,9920
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,9718
519185471487841,Bayer,Bayer,9117
197589525931,Facebook app,Facebook,8992
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,8828
45978762184,Saarland.de,Saarland.de,8320
578310722649724,Peter Gillo,Peter Gillo,7524
790148178038834,Union Stiftung,Union Stiftung,6894
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,6447
23216224900,Plan International Deutschland,Plan International Deutschland,5283
78502295414,CDU,CDU,4865
47930567748,SPD,SPD,4665
336621951882,Allianz Deutschland,These ads ran without a disclaimer,4476
577254072692345,Uwe Conradt: Saarbrücken - gemeinsam - voran.,CDU Saarbrücken Stadt,4403
371950716321791,Anke Rehlinger,SPD Saar,4133
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,4062
170688644503,UNICEF Deutschland,UNICEF Deutschland,3976
54497594909,Tobias Hans,CDU Saar,3755
189006054445407,FDP Saar - SaarLiberale,FDP Saar,3530
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,3485
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,3410
75159424764,Aktion Mensch,Aktion Mensch,3406
218786540044,WWF Deutschland,WWF Deutschland,3314
113496690102800,energis Erlebe was Dein Zuhause kann,energis GmbH,3159
112277272142815,Sparkasse,Sparkasse,3140
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),2896
331832984040,LichtBlick,LichtBlick,2858
161674141345516,Weltverbesserer,Die Techniker (TK),2802
183342321839259,Barbara Meyer-Gluche,B90/Grüne Saarbrücken,2606
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,2556
122276294503722,Viessmann Sport,Viessmann Sport,2455
223078917757220,GEW Saarland,GEW,2372
484950398505596,IRC Deutschland,IRC Deutschland,2350
417905399079008,The Honu Movement,The Honu Movement,2346
110039743940233,Saarländische Investitionskreditbank,Saarländische Investitionskreditbank,2296
791896130901196,"Ministerium für Inneres, Bauen und Sport des Saarlandes","Ministerium für Inneres, Bauen und Sport des Saarlandes",2097
21289227249,FDP,FDP,2069
208282072530799,Saarland Staatskanzlei,Saarland Staatskanzlei,2050
174118102615738,Brot für die Welt,Brot für die Welt,1941
