Page ID,Page Name,Disclaimer,Amount Spent (EUR)
1078884028800904,AfD-Fraktion Sachsen-Anhalt,AfD-Fraktion Sachsen-Anhalt,26139
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,25521
768905426534529,Bundesregierung,Bundesregierung,24565
178362315106,European Parliament,European Parliament,19998
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,18488
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,16830
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,15100
197589525931,Facebook app,Facebook,12627
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,12596
82734241364,Campact e.V.,Campact e.V.,12012
519185471487841,Bayer,Bayer,11900
78502295414,CDU,CDU,10395
336621951882,Allianz Deutschland,These ads ran without a disclaimer,6990
23216224900,Plan International Deutschland,Plan International Deutschland,6665
331832984040,LichtBlick,LichtBlick,5801
385647154829722,Landtagsfraktion BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,Fraktion BÜNDNIS 90/DIE GRÜNEN im Landtag von Sachsen-Anhalt,5517
1565754943752371,Robert Farle,Robert Farle,5230
112277272142815,Sparkasse,Sparkasse,4769
114683645239717,Autohaus ROSIER,These ads ran without a disclaimer,4752
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,4739
47930567748,SPD,SPD,4521
161674141345516,Weltverbesserer,Die Techniker (TK),4496
75159424764,Aktion Mensch,Aktion Mensch,4430
170688644503,UNICEF Deutschland,UNICEF Deutschland,4407
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),4308
218786540044,WWF Deutschland,WWF Deutschland,4258
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,4111
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,4079
122276294503722,Viessmann Sport,Viessmann Sport,3998
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,3920
106637900016,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,BÜNDNIS 90/DIE GRÜNEN Sachsen-Anhalt,3907
130938260290333,SPD Magdeburg,SPD Magdeburg,3859
331788763571422,DIE LINKE. Sachsen-Anhalt,DIE LINKE. Sachsen-Anhalt,3460
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,3352
177137239037270,Fraktion DIE LINKE im Landtag von Sachsen-Anhalt,Fraktion DIE LINKE im Landtag von Sachsen-Anhalt,3170
484950398505596,IRC Deutschland,IRC Deutschland,3017
417905399079008,The Honu Movement,The Honu Movement,2937
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",2805
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,2758
116335026590900,Mülltrennung wirkt,die dualen Systeme,2676
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,2605
21289227249,FDP,FDP,2550
224759004224478,BÜNDNIS 90/DIE GRÜNEN Halle (Saale),BÜNDNIS 90/ DIE GRÜNEN Stadtverband Halle,2504
174118102615738,Brot für die Welt,Brot für die Welt,2486
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",2468
107898832590939,European Commission,European Commission,2379
161273245888,Save the Children Deutschland,Save the Children Deutschland,2102
1078884028800904,AfD-Fraktion Sachsen-Anhalt,These ads ran without a disclaimer,2068
1655252804795367,Oatly,Oatly,2054
225012151032427,Bürgerwerke,Bürgerwerke,2005
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,1985
305608429284,EU Environment,EU Environment,1984
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,1962
165039663531531,Minecraft,These ads ran without a disclaimer,1917
540404695989874,AfD,AfD,1867
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,1866
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,1842
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,1798
103822184707126,Shell Deutschland,Shell Deutschland,1787
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,1777
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,1713
478399422560922,KadeFungin,DR. KADE,1712
107689630569560,Patrick Puhlmann - Zukunft machen.,Patrick Puhlmann,1667
130534873659391,Greenpeace Energy,Greenpeace Energy,1662
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,1613
1553799571599937,pandoo,pandoo,1571
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1528
219299761494261,SPD Halle,SPD Halle (Saale),1492
134209407129787,Volt Deutschland,Volt Deutschland,1474
832037676843543,Dedoles,These ads ran without a disclaimer,1440
303043247017496,Markus Buchheit,Markus Buchheit,1428
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,1383
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,1367
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,1358
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,1356
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,1351
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,1335
409153932473503,Bündnis 90/Die Grünen Anhalt-Bitterfeld,BÜNDNIS 90/DIE GRÜNEN Kreisverband Anhalt-Bitterfeld,1330
729627343834501,Kialo,Kialo,1325
219299761494261,SPD Halle,These ads ran without a disclaimer,1300
339894849467492,GASAG,GASAG,1292
593476900673774,ifaw,ifaw,1279
354608017990902,Ansaar International e.V.,Ansaar International e.V.,1237
335288650611521,ALDI Nord,ALDI Nord,1228
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,1227
336677843601760,Deutschland Kurier,Deutschland Kurier,1224
427202191015825,eprimo,eprimo GmbH,1220
47694585682,DIE LINKE,DIE LINKE,1201
444979036328669,Energy Buddy,coneva GmbH,1197
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,1178
490906667766035,Sven Schulze,Sven Schulze,1140
116005210310552,Aick Pietschmann,Nathanael Josiah Meyer,1137
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,1135
1565754943752371,Robert Farle,These ads ran without a disclaimer,1131
339052456846258,Treecelet,These ads ran without a disclaimer,1116
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,1109
126757344082942,VELUX,VELUX,1100
241690183335959,togetherforfuture,Together for Future,1084
1578640155687393,Sea-Watch,Sea-Watch,1066
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,1066
83113756872,BÜNDNIS 90/DIE GRÜNEN Magdeburg,BÜNDNIS 90/DIE GRÜNEN Magdeburg,1064
427202191015825,eprimo,These ads ran without a disclaimer,1062
226651401514704,"Danke, Freihandel.",VDMA,1029
90035328642,PETA Deutschland,PETA Deutschland,1028
198862383502965,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,DGB-Jugend Niedersachsen - Bremen - Sachsen-Anhalt,1010
689801517732186,ABOUT YOU,ABOUT YOU,1006
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,1006
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,964
2188342231399828,HSI/Deutschland,HSI/Deutschland,961
176482442364128,Gemeinnützige Hertie-Stiftung,Gemeinnützige Hertie-Stiftung,942
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,937
164428853567811,Tchibo,Tchibo,933
106653924258368,Vision Sea Life,Vision Sea Life,930
241036373819,Ben & Jerry's,Ben & Jerry's,929
313744767921,der Freitag,der Freitag,920
2286018874983425,Oceanmata,Bluemata,913
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,899
104032794633377,Mein BAföG,Bundesministerium für Bildung und Forschung,897
59234953343,Andreas Steppuhn,"Andreas Steppuhn, MdL",892
1919185338293853,AfD-Fraktion NRW,AfD-Fraktion NRW,884
101124947919410,GermanZero,Germanzero,865
531143090368157,Volkswagen. we drive football,Volkswagen,863
20393019390,mymuesli,mymuesli,858
144380008933707,SPD-Fraktion im Bundestag,SPD-Bundestagsfraktion,833
1947378708884004,Initiative Frosch,Initiative Frosch,832
204191076644782,"Thüringer Ministerium für Bildung, Jugend und Sport","Thüringer Ministerium für Bildung, Jugend und Sport",825
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,809
360270374032363,"Hendrik Lange, MdL",These ads ran without a disclaimer,808
154149027994068,ZDF,ZDF,808
912255502235222,Initiative Offene Gesellschaft,die Initiative Offene Gesellschaft mit Facebook-Werbegutschrift,804
499613946840551,Partei der Humanisten,Partei der Humanisten,803
111315165557626,REWE,REWE,787
2319126475013199,Zukunftsdialog,DGB Bundesvorstand,780
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,775
498082906898583,Spotify,Spotify,770
234239623440650,Christoph Bernstiel,Christoph Bernstiel,759
362654797113137,Pepsi,These ads ran without a disclaimer,758
283266582089,action medeor e.V.,action medeor e.V.,757
684516725028031,Netto Deutschland,These ads ran without a disclaimer,744
1522202731410785,Katarina Barley,SPD,734
92576009043,Jens Spahn,Jens Spahn,733
201065353264638,yello,yello,726
103095648213966,Wir sind Mansfeld Südharz - Carsten Reuß,Carsten Reuß,714
279450722377,Rügenwalder Mühle,Rügenwalder Mühle,708
206584163580,Stiftung Mercator,Stiftung Mercator,704
150793518281117,Covestro,These ads ran without a disclaimer,695
1647137665544889,Andreas Silbersack,Andreas Silbersack,688
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,684
263503200272,Welthungerhilfe,Welthungerhilfe,684
1981196135436028,Europe Direct Informationszentrum Sachsen-Anhalt / Magdeburg,Europe Direct Informationszentrum Sachsen-Anhalt/ Magdeburg,675
2286018874983425,Oceanmata,Oceanmata,670
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),670
107652469330889,SPD Sachsen-Anhalt,SPD Sachsen-Anhalt,667
429601160521937,HUMAN BLOOD,HUMAN BLOOD,662
305368552898287,Viessmann,These ads ran without a disclaimer,661
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,659
436544563779273,Kommunalwahl Monecke,Matthias Johannes Monecke,655
1605966456387228,GOT BAG,GOT BAG GmbH,651
181535349099426,"Jörn König, MdB",Jörn König,630
1326707294032269,Enpal,These ads ran without a disclaimer,622
103919417972272,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,Unabhängiger Beauftragter für Fragen des sexuellen Kindesmissbrauchs,620
1004883576238809,GoodJobs,GoodJobs,620
731404243600603,Hannes Jaenicke,David Michel Löwe,605
145944615464920,Polarstern Energie,Polarstern Energie,595
206627416208075,"Eric Eigendorf, SPD",Eric Eigendorf,592
556019341220640,Kinder in Gefahr - DVCK e.V.,DVCK e.V.,590
316160725982888,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,Deine Würde - Eine Initiative zum 70. Jubiläum des Grundgesetzes,586
27352749603,Amnesty International Deutschland,Amnesty International Deutschland,579
32925303328,Heinrich-Böll-Stiftung,Heinrich-Böll-Stiftung,572
114308060119379,Die Wohnungswirtschaft,GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,563
36714973506,VIER PFOTEN,VIER PFOTEN,563
183292338524573,Nestlé,Nestlé Deutschland,558
387601651595573,Vantik,Vantik,558
320545741931413,CDU im Stadtrat Sandersdorf-Brehna,These ads ran without a disclaimer,556
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,555
83113756872,BÜNDNIS 90/DIE GRÜNEN Magdeburg,These ads ran without a disclaimer,552
258796296044,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,552
181486545375086,SPD-Landtagsfraktion Sachsen-Anhalt,SPD-Fraktion im Landtag von Sachsen-Anhalt,551
260106687889118,Kopp Verlag,Kopp Verlag,548
925007000949719,ExxonMobil,These ads ran without a disclaimer,541
343461479366778,AfD Kompakt,AfD,533
64694257920,ProSieben,ProSieben,531
105559876186522,EDEKA,These ads ran without a disclaimer,528
510117665830401,Hilfetelefon Gewalt gegen Frauen,BAFzA,528
12084075837,Jürgen Todenhöfer,Jürgen Todenhöfer,527
103022471514818,Befreien Sie die Brüste,These ads ran without a disclaimer,521
182704598535,Open Doors Deutschland,Open Doors Deutschland,515
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf Deutschland,509
116335026590900,Mülltrennung wirkt,These ads ran without a disclaimer,507
530905320274921,Change.org,Change.org e.V.,495
249296718436,IG Metall,IG Metall,492
129724513733284,dm-drogerie markt Deutschland,dm-drogerie markt Deutschland,489
482176671952628,Markenverband e.V.,Markenverband e.V.,481
700577889971139,PENNY,PENNY,480
