Page ID,Page Name,Disclaimer,Amount Spent (EUR)
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,42264
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,36446
768905426534529,Bundesregierung,Bundesregierung,33969
178362315106,European Parliament,European Parliament,26770
78502295414,CDU,CDU,18082
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,17880
82734241364,Campact e.V.,Campact e.V.,17319
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,16124
331832984040,LichtBlick,LichtBlick,15435
519185471487841,Bayer,Bayer,15112
197589525931,Facebook app,Facebook,14427
23216224900,Plan International Deutschland,Plan International Deutschland,11591
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,10776
336621951882,Allianz Deutschland,These ads ran without a disclaimer,9345
1508446642792459,Vattenfall Deutschland,Socialyse,8440
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,8143
170688644503,UNICEF Deutschland,UNICEF Deutschland,8127
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,7973
218786540044,WWF Deutschland,WWF Deutschland,7901
75159424764,Aktion Mensch,Aktion Mensch,7762
47930567748,SPD,SPD,7461
1608463192727453,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,6277
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,6137
161674141345516,Weltverbesserer,Die Techniker (TK),6037
484950398505596,IRC Deutschland,IRC Deutschland,6029
549427708410314,BIO COMPANY GmbH,BIO COMPANY GmbH,5897
417905399079008,The Honu Movement,The Honu Movement,5798
112277272142815,Sparkasse,Sparkasse,5504
122276294503722,Viessmann Sport,Viessmann Sport,5126
634087250131145,Werner Kalinka MdL,Werner Kalinka,4939
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,4810
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),4414
1602662696420915,Serpil Midyatli,SPD Schleswig-Holstein,4306
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,4231
260587924600836,Delara Burkhardt,SPD Schleswig-Holstein,4114
1508446642792459,Vattenfall Deutschland,Vattenfall Deutschland,4082
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,4073
1676686442620170,AfD Lübeck,Andrea Gaidetzka,3757
116335026590900,Mülltrennung wirkt,die dualen Systeme,3739
1655252804795367,Oatly,Oatly,3401
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,3386
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,3290
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",3172
750480458453254,AfD-Fraktion Schleswig-Holstein,AfD-Fraktion Schleswig-Holstein,3161
21289227249,FDP,FDP,3131
130534873659391,Greenpeace Energy,Greenpeace Energy,3061
165381593630826,SPD Schleswig-Holstein,SPD Schleswig-Holstein,2985
161273245888,Save the Children Deutschland,Save the Children Deutschland,2980
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,2883
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,2814
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",2802
2053330071620476,Andreas Ellendt - Kiel,CDU Schleswig-Holstein,2789
1578640155687393,Sea-Watch,Sea-Watch,2710
107898832590939,European Commission,European Commission,2683
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,2683
1553799571599937,pandoo,pandoo,2681
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,2656
123608251805,Marcus Weinberg,CDU Hamburg,2582
305608429284,EU Environment,EU Environment,2545
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,2474
103822184707126,Shell Deutschland,Shell Deutschland,2419
174118102615738,Brot für die Welt,Brot für die Welt,2397
165039663531531,Minecraft,These ads ran without a disclaimer,2359
101124947919410,GermanZero,Germanzero,2306
1004883576238809,GoodJobs,GoodJobs,2286
478399422560922,KadeFungin,DR. KADE,2265
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,2240
185490505413,Jusos Schleswig-Holstein,Jusos Schleswig-Holstein,2183
897097397318326,Görrissen Projekt GmbH,Görrissen Projekt GmbH,2180
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,2163
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,2155
444979036328669,Energy Buddy,coneva GmbH,2139
225012151032427,Bürgerwerke,Bürgerwerke,2110
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,2025
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,2024
313744767921,der Freitag,der Freitag,1854
832037676843543,Dedoles,These ads ran without a disclaimer,1835
344156702608625,Mathias Stein - Sozialdemokrat im Deutschen Bundestag,"Mathias Stein, MdB",1828
354608017990902,Ansaar International e.V.,Ansaar International e.V.,1812
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1799
2286018874983425,Oceanmata,Bluemata,1780
593476900673774,ifaw,ifaw,1776
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,1765
241036373819,Ben & Jerry's,Ben & Jerry's,1754
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,1750
134209407129787,Volt Deutschland,Volt Deutschland,1726
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,1725
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,1708
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,1690
127429433968917,Björn Thoroe,Björn Thoroe,1677
217879838339082,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie,1658
335288650611521,ALDI Nord,ALDI Nord,1630
241690183335959,togetherforfuture,Together for Future,1630
498082906898583,Spotify,Spotify,1604
729627343834501,Kialo,Kialo,1567
126757344082942,VELUX,VELUX,1559
156922821011409,Timberland,PHD Media,1548
339052456846258,Treecelet,These ads ran without a disclaimer,1500
2188342231399828,HSI/Deutschland,HSI/Deutschland,1485
427202191015825,eprimo,eprimo GmbH,1483
1401986930057829,Smart Hero Award,Smart Hero Award mit Facebook-Werbegutschrift,1447
810191022689415,Ulf Kämpfer - OB für Kiel,SPD Schleswig-Holstein,1441
320488628674422,Niclas Herbst,CDU Schleswig-Holstein,1439
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,1426
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,1419
154015121740225,SPD Nordfriesland,SPD Nordfriesland,1418
25406037041,GRÜNE Hamburg,GRÜNE Hamburg,1395
689801517732186,ABOUT YOU,ABOUT YOU,1377
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,1372
1433861060177864,Bundesumweltministerium,Bundesumweltministerium,1363
1605966456387228,GOT BAG,GOT BAG GmbH,1361
164428853567811,Tchibo,Tchibo,1351
2286018874983425,Oceanmata,Oceanmata,1325
1522202731410785,Katarina Barley,SPD,1322
263503200272,Welthungerhilfe,Welthungerhilfe,1315
555179574937793,Pflegeberufekammer Schleswig-Holstein,These ads ran without a disclaimer,1311
111315165557626,REWE,REWE,1282
90035328642,PETA Deutschland,PETA Deutschland,1280
226651401514704,"Danke, Freihandel.",VDMA,1279
