Page ID,Page Name,Disclaimer,Amount Spent (EUR)
82734241364,Campact e.V.,Campact e.V.,29527
323245001172018,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit,27758
445962318752667,Bündnis 90 / Die Grünen Thüringen,BÜNDNIS 90/DIE GRÜNEN,26576
129459503748982,CDU Thüringen,CDU Thüringen,26411
768905426534529,Bundesregierung,Bundesregierung,25951
178362315106,European Parliament,European Parliament,21115
134080283313500,DIE LINKE Thüringen,DIE LINKE Thüringen,20671
666098253508699,Verbraucherhilfe24,Verbraucherhilfe24,19767
657846797659513,Thomas L. Kemmerich,FDP Thüringen,19348
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,18132
108268845888673,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales,14435
123921283433,Fraktion DIE LINKE. im Bundestag,Fraktion DIE LINKE. im Bundestag,14201
197589525931,Facebook app,Facebook,12840
519185471487841,Bayer,Bayer,12434
334931334040,CDU-Fraktion im Thüringer Landtag,CDU-Fraktion im Thüringer Landtag,12011
217013861665887,FDP Thüringen,FDP Thüringen,10388
215460201802938,Landeszentrale für politische Bildung Thüringen,Landeszentrale für politische Bildung Thüringen,9614
188677361503511,Mike Mohring,CDU Thüringen,8263
105537757585128,FDP Fraktion Thüringen,FDP-Fraktion im Thüringer Landtag,8260
331832984040,LichtBlick,LichtBlick,7373
23216224900,Plan International Deutschland,Plan International Deutschland,6775
336621951882,Allianz Deutschland,These ads ran without a disclaimer,6703
78502295414,CDU,CDU,6637
118252978672037,Thüringer Landtag,Thüringer Landtag,6375
87921510981,SPD Thüringen,SPD Thüringen,6319
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft (INSM),5749
170688644503,UNICEF Deutschland,UNICEF Deutschland,5349
161674141345516,Weltverbesserer,Die Techniker (TK),5335
122276294503722,Viessmann Sport,Viessmann Sport,5149
47930567748,SPD,SPD,5064
114186703597807,VIER PFOTEN Deutschland,VIER PFOTEN,4846
204191076644782,"Thüringer Ministerium für Bildung, Jugend und Sport","Thüringer Ministerium für Bildung, Jugend und Sport",4718
75159424764,Aktion Mensch,Aktion Mensch,4674
218786540044,WWF Deutschland,WWF Deutschland,4618
1085329238243800,Mario Voigt,Prof. Dr. Mario Voigt,4518
155330287422,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,Silberjunge.de - Wir wollen Augen öffnen - Thorsten Schulte,4306
112277272142815,Sparkasse,Sparkasse,4202
47217143218,BÜNDNIS 90/DIE GRÜNEN,BÜNDNIS 90/DIE GRÜNEN,3986
163581483776364,Konrad-Adenauer-Stiftung Politisches Bildungsforum Thüringen,Konrad-Adenauer-Stiftung e.V.,3971
323245001172018,Bundesministerium für Gesundheit,These ads ran without a disclaimer,3743
417905399079008,The Honu Movement,The Honu Movement,3372
484950398505596,IRC Deutschland,IRC Deutschland,3312
21289227249,FDP,FDP,3273
544234032609043,Landesgruppe Thüringen der AfD-Fraktion im Deutschen Bundestag,Jens Dietrich,3236
1443838832527925,B90/Die Grünen Erfurt,Marcus Neumann,3222
140889782312,Friedrich-Naumann-Stiftung für die Freiheit,Friedrich-Naumann-Stiftung für die Freiheit,3155
116335026590900,Mülltrennung wirkt,die dualen Systeme,3117
567366010021216,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz,3067
346059386316717,Dash,DALLI-WERKE GmbH & Co. KG,3052
106373784090712,Otmar Ganter,Otmar Hans Georg Ganter,2895
188677361503511,Mike Mohring,CDU Weimarer Land,2808
2182228282045844,Stefan Gruhner,Stefan Gruhner,2805
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten,2784
112369170621210,Deutschland spricht über 5G,Dialoginitiative "Deutschland spricht über 5G",2694
1565754943752371,Robert Farle,Robert Farle,2670
100906004649927,Gehwaehlen,Landeszentrale für politische Bildung Thüringen,2466
144380008933707,SPD-Fraktion im Bundestag,SPD-Fraktion im Bundestag,2389
540404695989874,AfD,AfD,2348
47694585682,DIE LINKE,DIE LINKE,2326
107898832590939,European Commission,European Commission,2245
225012151032427,Bürgerwerke,Bürgerwerke,2204
161273245888,Save the Children Deutschland,Save the Children Deutschland,2197
1462141234003513,Alex Düsseldorf Fischer,These ads ran without a disclaimer,2186
123523341045520,Die Familienunternehmer,Die Familienunternehmer,2130
174118102615738,Brot für die Welt,Brot für die Welt,2115
305608429284,EU Environment,EU Environment,2034
1655252804795367,Oatly,Oatly,2001
766040640093552,"Thüringer Ministerium für Arbeit, Soziales, Gesundheit, Frauen und Familie","Thüringer Ministerium für Arbeit, Soziales, Gesundheit, Frauen und Familie",2000
103822184707126,Shell Deutschland,Shell Deutschland,1907
165039663531531,Minecraft,These ads ran without a disclaimer,1863
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",1854
152033178165965,Deutsche Bahn Personenverkehr,Deutsche Bahn Personenverkehr,1815
1553799571599937,pandoo,pandoo,1810
102942844737848,Pflegenetzwerk Deutschland,Pflegenetzwerk Deutschland,1803
108010350777916,Bürger für Thüringen,Marco Fischer,1797
130534873659391,Greenpeace Energy,Greenpeace Energy,1744
478399422560922,KadeFungin,DR. KADE,1740
259879837439239,DIE LINKE. Jena,DIE LINKE.Jena,1658
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit,1647
417905399079008,The Honu Movement,Ocean Plastic Cleanup gemeinnützige GmbH,1605
126892407417157,Raymond Walk,Ingmar Bornmann,1593
427202191015825,eprimo,eprimo GmbH,1593
832037676843543,Dedoles,These ads ran without a disclaimer,1582
234719636709452,Andreas Bühl,Andreas Bühl,1578
396628017558674,Christoph Zippel MdL,Christoph Franz Zippel,1578
363084593840094,30 Jahre Friedliche Revolution - Mauerfall,30 Jahre Friedliche Revolution - Mauerfall mit Facebook-Werbegutschrift,1571
481033845692472,Entschieden. Gegen Krebs.,ENTSCHIEDEN. Gegen Krebs.,1537
100778075078440,Innovationsland Deutschland,Bundesministerium für Bildung und Forschung,1520
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,1512
303043247017496,Markus Buchheit,Markus Buchheit,1491
2010920999000602,Fridays for Future Deutschland,Together for Future e.V.,1489
341486659645594,FDP Fraktion Bundestag,FDP Fraktion Bundestag,1425
44511549119,Konrad-Adenauer-Stiftung,Konrad-Adenauer-Stiftung,1401
1110204782371616,Die Moderne Landwirtschaft,Forum Moderne Landwirtschaft e.V.,1398
444979036328669,Energy Buddy,coneva GmbH,1353
259879837439239,DIE LINKE. Jena,These ads ran without a disclaimer,1353
336677843601760,Deutschland Kurier,Deutschland Kurier,1350
729627343834501,Kialo,Kialo,1327
339052456846258,Treecelet,These ads ran without a disclaimer,1309
313744767921,der Freitag,der Freitag,1297
123332714357231,Europäische Kommission – Vertretung in Deutschland,Europäische Kommission – Vertretung in Deutschland,1272
126757344082942,VELUX,VELUX,1270
369567809754486,Open Society Roma Initiatives,the Open Society Foundations,1266
593476900673774,ifaw,ifaw,1265
261985647756704,AfD im EU-Parlament,AfD im EU-Parlament,1261
226651401514704,"Danke, Freihandel.",VDMA,1259
1578640155687393,Sea-Watch,Sea-Watch,1255
166760213476486,AfD Thüringen,AfD Thüringen,1236
335288650611521,ALDI Nord,ALDI Nord,1201
116544291761495,Kindernothilfe E.V.,Kindernothilfe E.V.,1172
1246984915455410,Jochen Trautmann,Jochen Trautmann,1156
354608017990902,Ansaar International e.V.,Ansaar International e.V.,1155
82055658434,CARE Deutschland e.V.,CARE Deutschland e.V.,1140
2286018874983425,Oceanmata,Bluemata,1122
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,1117
241690183335959,togetherforfuture,Together for Future,1107
427202191015825,eprimo,These ads ran without a disclaimer,1077
