Page ID,Page Name,Disclaimer,Amount Spent (DKK),Number of Ads in Library
67571270393,Red Barnet,Red Barnet,2959754,2461
65929129383,Røde Kors,Røde Kors,2911332,3032
26458152911,SOS Børnebyerne,SOS Børnebyerne,2583404,2641
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,2182634,2228
399210657232918,PlanBørnefonden,PlanBørnefonden,1645753,856
41459763029,Socialdemokratiet,Socialdemokratiet,1597739,343
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1312761,1935
220361474643059,Arla,Arla,1265635,182
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",1234914,1145
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),1182045,2210
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,1176315,4913
36664432940,Amnesty International Danmark,Amnesty International Danmark,1089107,781
63691965101,UNICEF Danmark,UNICEF Danmark,1080302,4092
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,1024452,222
90497015205,Kvickly,Coop,941382,105
178362315106,European Parliament,European Parliament,939441,856
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,933710,653
250994288337708,Sex og Samfund,Sex og Samfund,918983,242
72672361910,Børns Vilkår,Børns Vilkår,900530,1299
130388840342741,Danske Bank,Danske Bank,870397,1109
144965885963,Oxfam IBIS,Oxfam IBIS,832156,530
125934997444897,SuperBrugsen,Coop,814877,89
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,764103,1528
55365680705,Greenpeace Danmark,Greenpeace Danmark,744418,3910
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,735230,287
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,699547,262
12860228293,Politiken,These ads ran without a disclaimer,688643,112
116269191760882,DSB,DSB,667258,35
109012749124622,3F - Gør dig stærkere,3F - Danmarks Stærkeste Fagforening,656830,174
194089010674568,Finansforbundet (DK),Finansforbundet (DK),649714,170
57497067718,Mette Frederiksen,Socialdemokratiet,613385,64
112664272109384,Skagenfood,Skagenfood,603896,87
126543540781090,Ældre Sagen,Ældre Sagen,599065,346
66328502645,Dagbladet Information,These ads ran without a disclaimer,569437,183
74796954245,SF,SF,565030,602
12860228293,Politiken,Politiken,551619,451
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,525184,311
10150141618795408,Coop Danmark,Coop,520400,63
106952222676974,Liberal Alliance,Liberal Alliance,469365,1401
1988450301399589,Danica Pension,Danica Pension,442722,73
133707013355759,Danner,Danner,432366,34
223690937691260,Falck Danmark,Falck Danmark,424000,42
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,422646,362
2109922459023773,Veganerpartiet,Veganerpartiet,417817,1125
520449347983427,Dansk Folkeparti,Dansk Folkeparti,409165,164
65929129383,Røde Kors,These ads ran without a disclaimer,400485,419
107898832590939,European Commission,European Commission,397714,281
784211188333860,Dagli’Brugsen,Coop,396583,62
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,362912,687
136775899834790,Plantebevægelsen,Plantebevægelsen,349979,340
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,349928,109
214112085661044,Oatly,Oatly,318499,43
1877705062505422,Ren madglæde,Ren madglæde,309528,142
141343589252160,Dansk Industri - DI,Dansk Industri,307685,469
1270634403002717,Danish Crown,Danish Crown,307124,236
144098125661833,Nordea Invest,Nordea Invest,303897,500
49348971479,Pia Olsen Dyhr,SF,297165,350
968210306678930,Børneavisen,Børneavisen,296991,55
223040066022,Enhedslisten,Enhedslisten,294610,173
867877683280051,Weekendavisen,Weekendavisen,277667,218
1512534209063033,GF Forsikring,GF Forsikring,274843,21
104544224264943,3F Transport,3F Transport,271366,91
26458152911,SOS Børnebyerne,These ads ran without a disclaimer,270225,462
1531094703803625,fakta,Coop,252770,44
191547430887338,Alzheimerforeningen,Alzheimerforeningen,251927,314
124375627628891,SEAS-NVE,SEAS-NVE,251152,57
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,250000,3
107331721164,Djøf Studerende,Djøf,246105,323
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,244748,94
231846396898755,Knorr,Knorr,244159,9
341299649231023,Zetland,Zetland,243745,356
178793372195,LETZ SUSHI,LETZ SUSHI,240879,163
414066575314961,Er du OK?,Fagbevægelsens Hovedorganisation,239077,23
112058486903106,Vores Mål,2030-panelet,237483,133
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,233991,148
437410226312057,Københavns Kommune,Københavns Kommune,231590,180
13808707023,Netto,Netto,227901,39
494902077334290,Tuborgfondet,Tuborgfondet,219290,85
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,214816,193
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,212423,882
131935326880890,Mødrehjælpen,Mødrehjælpen,204371,57
183887801641951,Verdens Skove,Verdens Skove,204209,115
852608988134698,Tikko,Tikko,198095,62
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,191852,245
314676938743,DM din akademiske fagforening,Dansk Magisterforening,191697,381
2186079465008254,Velliv Foreningen,Velliv Foreningen,187481,111
671022293105597,Alex Vanopslagh,Liberal Alliance,180664,64
98486774725,Djøf,Djøf,179487,544
19176473894,IMS (International Media Support),IMS (International Media Support),177093,275
102071101766821,Sex? Kun med samtykke,Sex kun med samtykke,175290,71
783709408832368,De Grønne - Danmarks Grønne Liberale Parti,Holm Jonas,174011,1060
231609407194100,Isabella Arendt,Kristendemokraterne,173771,271
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,171732,33
547601668763372,Lizette Risgaard,Lizette Risgaard,171489,80
154415494575789,IDA,IDA,169787,121
246977185497434,Plastic Change,Plastic Change,166741,430
167887506877,AIDS-Fondet,AIDS-Fondet,165660,125
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",161349,96
676061179094769,Alternativet,Alternativet,159919,28
529124290474705,Nikolaj Villumsen,Enhedslisten,159301,211
41459763029,Socialdemokratiet,These ads ran without a disclaimer,158707,186
170902079673829,Ørsted,Ørsted,157727,285
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,157455,126
104845427961964,Smag på Danmark,These ads ran without a disclaimer,154551,36
2121857298076689,Tommy Ahlers,Ahlers Tommy,151139,102
694774630542305,TryghedsGruppen,TryghedsGruppen,145370,17
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,143986,131
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,140407,297
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,138750,13
397094903687472,Mai Mercado,Mai Mercado,137361,275
408582579294175,UK government,These ads ran without a disclaimer,136790,4
59143726810,Psykiatrifonden,These ads ran without a disclaimer,134392,55
33588644626,World Animal Protection Danmark,These ads ran without a disclaimer,131391,107
104695404710124,Frie Grønne - Danmarks Nye Venstrefløjsparti,"Frie Grønne, Danmarks Nye Venstrefløjsparti",129843,213
2079067062409423,Mona Juul,Mona Juul,128224,251
646746285466931,Nye Borgerlige,Nye Borgerlige,127920,178
167891603415958,Lederne,Lederne,127626,49
69985338410,Jacob Mark,SF,126178,222
2047554945456852,Climaider,Climaider,124183,278
100836634954174,SletDet,Red Barnet,122709,73
121660121250866,Spar Nord Fonden,Spar Nord Fonden,122438,96
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,121822,951
153708144675646,PFA,PFA,120480,474
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,119996,14
98135994249,Diabetesforeningen,Diabetesforeningen,119407,126
287306323369,Børnecancerfonden,Børnecancerfonden,119068,25
107321204072537,DoLand,DoLand,116487,186
127178647715,Julemærkefonden,Julemærkefonden,115695,42
17428770950,Ræson,Clement Kjersgaard,114867,42
112664272109384,Skagenfood,These ads ran without a disclaimer,114787,17
104023927005,NRGi,NRGi,112997,91
924692171033381,"UNHCR, FN’s Flygtningeorganisation","UNHCR, FN’s Flygtningeorganisation",112105,148
8432708678,Clio,Clio,112003,177
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,111926,73
304554445813,Bolius,Bolius,110419,67
12212835049,Syddansk Universitet – University of Southern Denmark,Syddansk Universitet,110398,35
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,109809,43
2190488887846226,Petar Socevic,Socevic Petar,109521,55
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,109250,31
221239504574504,Bo Godt,BeboerBladet,108378,707
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,106563,9
359674067377201,BUPL,BUPL,106027,79
1452133531486822,Ali Aminali,Det Konservative Folkeparti,102713,18
334318366655425,Facebook,Facebook,100355,4
329236874385098,Marianne Vind,Marianne Vind,99491,211
108099197264611,VoksenVaccination,MSD Danmark,98899,38
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,98752,88
529124290474705,Nikolaj Villumsen,Nikolaj Villumsen,98507,36
1866357980295379,AkademikerPension,MP Pension,97609,16
229585537051606,DM Akademikerbladet,Magisterbladet,97274,298
531761723507375,Kristian Thulesen Dahl,Dansk Folkeparti,95492,44
34290022401,Kristeligt Dagblad,These ads ran without a disclaimer,94433,13
699619700116377,Sophie Løhde,Sophie Løhde,94147,89
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,94017,167
106118147843145,CO2HERO,CO2HERO,93938,227
100452371679699,Øropa - Dit indblik i EU,Enhedslisten,93183,19
687073988036611,Martin Geertsen,Geertsen Martin Raahauge,92254,55
139443622778678,Troels Lund Poulsen,Poulsen Troels Lund,91819,64
221746618023209,Arbejdernes Landsbank,Arbejdernes Landsbank,89833,42
190576781304993,Realdania,These ads ran without a disclaimer,88338,70
657491824390744,Spring Copenhagen,Claus Nielsen,86045,170
748887235210811,Obton A/S,Obton A/S,83945,62
311398977614,Ben & Jerry's,Ben & Jerry's,83593,29
2047554945456852,Climaider,RenSti,83582,188
56810821434,HK Privat,HK Privat,83560,223
623315704356818,Jacob Bundsgaard,Jacob Bundsgaard,83008,25
799753056713196,Lars Sandahl Sørensen,Dansk Industri - DI,81856,152
164203730418041,Tommy Hummelmose,Hummelmose Tommy,81827,88
