Page ID,Page Name,Disclaimer,Amount Spent (DKK)
65929129383,Røde Kors,Røde Kors,1309772
26458152911,SOS Børnebyerne,SOS Børnebyerne,1168352
67571270393,Red Barnet,Red Barnet,1127663
399210657232918,PlanBørnefonden,PlanBørnefonden,759049
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,747470
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,573499
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,572212
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),559979
41459763029,Socialdemokratiet,Socialdemokratiet,463292
36664432940,Amnesty International Danmark,Amnesty International Danmark,449416
63691965101,UNICEF Danmark,UNICEF Danmark,416019
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,402890
144965885963,Oxfam IBIS,Oxfam IBIS,383425
12860228293,Politiken,These ads ran without a disclaimer,366880
220361474643059,Arla,Arla,359593
12860228293,Politiken,Politiken,358915
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,343434
250994288337708,Sex og Samfund,Sex og Samfund,339492
72672361910,Børns Vilkår,Børns Vilkår,321332
130388840342741,Danske Bank,Danske Bank,318443
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",310218
55365680705,Greenpeace Danmark,Greenpeace Danmark,307355
214112085661044,Oatly,Oatly,298885
90497015205,Kvickly,Coop,297086
178362315106,European Parliament,European Parliament,294348
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,293491
66328502645,Dagbladet Information,These ads ran without a disclaimer,278340
125934997444897,SuperBrugsen,Coop,259344
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,249208
194089010674568,Finansforbundet (DK),Finansforbundet (DK),238845
106952222676974,Liberal Alliance,Liberal Alliance,227671
112664272109384,Skagenfood,Skagenfood,224663
437410226312057,Københavns Kommune,Københavns Kommune,223489
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,201628
57497067718,Mette Frederiksen,Socialdemokratiet,199304
116269191760882,DSB,DSB,194859
178793372195,LETZ SUSHI,LETZ SUSHI,188836
133707013355759,Danner,Danner,179167
867877683280051,Weekendavisen,Weekendavisen,173321
74796954245,SF,SF,172006
10150141618795408,Coop Danmark,Coop,166316
2109922459023773,Veganerpartiet,Veganerpartiet,156064
2121857298076689,Tommy Ahlers,Ahlers Tommy,151133
65929129383,Røde Kors,These ads ran without a disclaimer,149318
109012749124622,3F - Gør dig stærkere,3F - Danmarks Stærkeste Fagforening,148659
126543540781090,Ældre Sagen,Ældre Sagen,147633
1988450301399589,Danica Pension,Danica Pension,146346
784211188333860,Dagli’Brugsen,Coop,127940
107898832590939,European Commission,European Commission,120300
26458152911,SOS Børnebyerne,These ads ran without a disclaimer,117187
341299649231023,Zetland,Zetland,116520
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,115927
223690937691260,Falck Danmark,Falck Danmark,114644
968210306678930,Børneavisen,Børneavisen,110661
136775899834790,Plantebevægelsen,Plantebevægelsen,108272
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,106871
223040066022,Enhedslisten,Enhedslisten,105470
107331721164,Djøf Studerende,Djøf,105275
144098125661833,Nordea Invest,Nordea Invest,104088
141343589252160,Dansk Industri - DI,Dansk Industri,102198
49348971479,Pia Olsen Dyhr,SF,101538
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,96683
98486774725,Djøf,Djøf,95971
1877705062505422,Ren madglæde,Ren madglæde,92719
687073988036611,Martin Geertsen,Geertsen Martin Raahauge,90614
699619700116377,Sophie Løhde,Sophie Løhde,90407
19176473894,IMS (International Media Support),IMS (International Media Support),90395
314676938743,DM din akademiske fagforening,Dansk Magisterforening,88835
231846396898755,Knorr,Knorr,85245
2186079465008254,Velliv Foreningen,Velliv Foreningen,84809
414066575314961,Er du OK?,Fagbevægelsens Hovedorganisation,82827
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,82301
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,82202
1531094703803625,fakta,Coop,80196
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,79708
246977185497434,Plastic Change,Plastic Change,78748
183887801641951,Verdens Skove,Verdens Skove,78297
104695404710124,Frie Grønne - Danmarks Nye Venstrefløjsparti,"Frie Grønne, Danmarks Nye Venstrefløjsparti",77928
1270634403002717,Danish Crown,Danish Crown,77147
783709408832368,De Grønne - Danmarks Grønne Liberale Parti,Holm Jonas,76264
529124290474705,Nikolaj Villumsen,Enhedslisten,75368
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,74456
107321204072537,DoLand,DoLand,73383
494902077334290,Tuborgfondet,Tuborgfondet,73137
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,72902
167887506877,AIDS-Fondet,AIDS-Fondet,72854
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,72506
102429034973588,Lysogluft.nu,Altan.dk,72487
131935326880890,Mødrehjælpen,Mødrehjælpen,70540
191547430887338,Alzheimerforeningen,Alzheimerforeningen,68637
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,68206
112058486903106,Vores Mål,2030-panelet,68183
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,67723
154415494575789,IDA,IDA,67436
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,67336
2047554945456852,Climaider,Climaider,67101
13808707023,Netto,Netto,66211
674034729594774,Nikolaj Bøgh,Nikolaj Bøgh,63758
1512534209063033,GF Forsikring,GF Forsikring,60418
231609407194100,Isabella Arendt,Kristendemokraterne,58770
2190488887846226,Petar Socevic,Socevic Petar,58459
520449347983427,Dansk Folkeparti,Dansk Folkeparti,58267
170902079673829,Ørsted,Ørsted,57711
329413910880676,Jan E. Jørgensen,Jørgensen Jan Ejnar,56379
671022293105597,Alex Vanopslagh,Liberal Alliance,55505
102071101766821,Sex? Kun med samtykke,Sex kun med samtykke,54002
41459763029,Socialdemokratiet,These ads ran without a disclaimer,52650
104544224264943,3F Transport,3F Transport,52164
924692171033381,"UNHCR, FN’s Flygtningeorganisation","UNHCR, FN’s Flygtningeorganisation",51421
676061179094769,Alternativet,Alternativet,51180
33588644626,World Animal Protection Danmark,These ads ran without a disclaimer,51152
59143726810,Psykiatrifonden,These ads ran without a disclaimer,49987
287306323369,Børnecancerfonden,Børnecancerfonden,49085
547601668763372,Lizette Risgaard,Lizette Risgaard,49068
408582579294175,UK government,These ads ran without a disclaimer,48397
2047554945456852,Climaider,RenSti,48397
164752600281593,Joachim B. Olsen,Joachim B. Olsen,47909
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,47306
334318366655425,Facebook,Facebook,46815
309867232515766,Mette Abildgaard,Mette Abildgaard,46545
665216113917321,Rent Hero,These ads ran without a disclaimer,45934
1866357980295379,AkademikerPension,MP Pension,45111
728307113871618,Klaus Riskær Pedersen,Parti Borgerlisten,44391
12787473132,Berlingske,These ads ran without a disclaimer,44156
17428770950,Ræson,Clement Kjersgaard,43429
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,42355
106118147843145,CO2HERO,CO2HERO,41904
167891603415958,Lederne,Lederne,41067
100952085083394,Fremtidens Bæredygtige Landskaber,Fremtidens Bæredygtige Landskaber,40995
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,40730
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,40130
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,38842
852608988134698,Tikko,Tikko,38136
529124290474705,Nikolaj Villumsen,Nikolaj Villumsen,37605
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,37477
867877683280051,Weekendavisen,These ads ran without a disclaimer,36486
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",36435
111394892261429,Morten Messerschmidt,Morten Messerschmidt,36004
990998001028850,Folkekirken Vesterbro,Folkekirken Vesterbro,35963
100161418032681,EcoTree International,EcoTree International,35350
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,35235
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,35168
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,34644
718327901589937,Mette Thiesen,Mette Thiesen,34365
1704424023182897,Politiken Historie,Politiken Historie,34315
229585537051606,DM Akademikerbladet,Magisterbladet,33619
