Page ID,Page Name,Disclaimer,Amount Spent (DKK)
67571270393,Red Barnet,Red Barnet,619967
65929129383,Røde Kors,Røde Kors,570186
26458152911,SOS Børnebyerne,SOS Børnebyerne,503830
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,490748
41459763029,Socialdemokratiet,Socialdemokratiet,356921
399210657232918,PlanBørnefonden,PlanBørnefonden,314513
220361474643059,Arla,Arla,310528
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",301977
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,269298
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),238291
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,235319
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,233585
178362315106,European Parliament,European Parliament,225066
36664432940,Amnesty International Danmark,Amnesty International Danmark,224784
63691965101,UNICEF Danmark,UNICEF Danmark,219618
90497015205,Kvickly,Coop,219329
250994288337708,Sex og Samfund,Sex og Samfund,203312
72672361910,Børns Vilkår,Børns Vilkår,191755
125934997444897,SuperBrugsen,Coop,187110
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,181959
130388840342741,Danske Bank,Danske Bank,177328
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,169235
109012749124622,3F - Gør dig stærkere,3F - Danmarks Stærkeste Fagforening,160780
55365680705,Greenpeace Danmark,Greenpeace Danmark,153386
116269191760882,DSB,DSB,149733
144965885963,Oxfam IBIS,Oxfam IBIS,148965
194089010674568,Finansforbundet (DK),Finansforbundet (DK),145253
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,142442
57497067718,Mette Frederiksen,Socialdemokratiet,141810
74796954245,SF,SF,130330
112664272109384,Skagenfood,Skagenfood,130134
126543540781090,Ældre Sagen,Ældre Sagen,129071
2079067062409423,Mona Juul,Mona Juul,124413
10150141618795408,Coop Danmark,Coop,119798
12860228293,Politiken,These ads ran without a disclaimer,114017
66328502645,Dagbladet Information,These ads ran without a disclaimer,112670
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,109784
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,108123
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,106376
104023927005,NRGi,NRGi,106295
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,104289
1452133531486822,Ali Aminali,Det Konservative Folkeparti,102681
1988450301399589,Danica Pension,Danica Pension,99105
106952222676974,Liberal Alliance,Liberal Alliance,97767
107898832590939,European Commission,European Commission,97454
223690937691260,Falck Danmark,Falck Danmark,93386
784211188333860,Dagli’Brugsen,Coop,91567
520449347983427,Dansk Folkeparti,Dansk Folkeparti,88382
139443622778678,Troels Lund Poulsen,Poulsen Troels Lund,86483
12860228293,Politiken,Politiken,84654
2109922459023773,Veganerpartiet,Veganerpartiet,81303
1270634403002717,Danish Crown,Danish Crown,80999
65929129383,Røde Kors,These ads ran without a disclaimer,79524
133707013355759,Danner,Danner,78340
136775899834790,Plantebevægelsen,Plantebevægelsen,77915
623315704356818,Jacob Bundsgaard,Jacob Bundsgaard,75208
1877705062505422,Ren madglæde,Ren madglæde,74592
864373427248898,Dybbøl Banke Skansegården,Charles Ginnerskov,71375
144098125661833,Nordea Invest,Nordea Invest,70795
968210306678930,Børneavisen,Børneavisen,68012
49348971479,Pia Olsen Dyhr,SF,67016
141343589252160,Dansk Industri - DI,Dansk Industri,66809
1512534209063033,GF Forsikring,GF Forsikring,66209
132364993978468,Andreas Steenberg,Streenberg Andreas Frost,64716
223040066022,Enhedslisten,Enhedslisten,62581
671022293105597,Alex Vanopslagh,Alex Vanopslagh,62433
231609407194100,Isabella Arendt,Kristendemokraterne,62221
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,61401
191547430887338,Alzheimerforeningen,Alzheimerforeningen,60964
1458354184437993,Nicolai Wammen,Socialdemokratiet,60772
104544224264943,3F Transport,3F Transport,59739
107331721164,Djøf Studerende,Djøf,58944
414066575314961,Er du OK?,Fagbevægelsens Hovedorganisation,58184
1531094703803625,fakta,Coop,57774
852608988134698,Tikko,Tikko,57190
231846396898755,Knorr,Knorr,56003
547601668763372,Lizette Risgaard,Fagbevægelsens Hovedorganisation,55491
389665107805619,Michael Aastrup Jensen,Jensen Michael Aastrup,55226
341299649231023,Zetland,Zetland,54595
13808707023,Netto,Netto,53942
460055244123143,Britt Bager,Bager Britt,53688
331034483992282,Nick Zimmermann - Dansk Folkeparti,Zimmermann Nick,52546
622025317930902,Erhvervsstyrelsen,Erhvervsstyrelsen,51445
112058486903106,Vores Mål,2030-panelet,51211
494902077334290,Tuborgfondet,Tuborgfondet,51085
26458152911,SOS Børnebyerne,These ads ran without a disclaimer,49656
1751959911736210,Gitte Willumsen - Folketingskandidat for Venstre,Willumsen Gitte,49538
178793372195,LETZ SUSHI,LETZ SUSHI,49340
671022293105597,Alex Vanopslagh,Liberal Alliance,48615
867877683280051,Weekendavisen,Weekendavisen,46826
131935326880890,Mødrehjælpen,Mødrehjælpen,45327
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,These ads ran without a disclaimer,44974
167887506877,AIDS-Fondet,AIDS-Fondet,44514
102071101766821,Sex? Kun med samtykke,Sex kun med samtykke,44358
1550318855207094,Jens Meilvang,Meilvang Jens,44010
183887801641951,Verdens Skove,Verdens Skove,43708
728307113871618,Klaus Riskær Pedersen,Parti Klaus Riskær Pedersen,43442
264009771074617,Niels Fuglsang,Fuglsang Niels Peder Rindum,42867
547601668763372,Lizette Risgaard,Lizette Risgaard,42119
267297590272820,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",41475
314676938743,DM din akademiske fagforening,Dansk Magisterforening,40338
124375627628891,SEAS-NVE,SEAS-NVE,40136
676061179094769,Alternativet,Alternativet,39756
1033120613483808,AURA Energi,AURA Energi,39208
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,38421
154415494575789,IDA,IDA,37967
104845427961964,Smag på Danmark,These ads ran without a disclaimer,37958
1877014859272860,Danske Bank,Danske Bank,37693
170902079673829,Ørsted,Ørsted,37393
252520351444054,Morten Østergaard,Radikale Venstre,37161
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,36887
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,36224
783709408832368,De Grønne - Danmarks Grønne Liberale Parti,Holm Jonas,35738
98486774725,Djøf,Djøf,34715
41459763029,Socialdemokratiet,These ads ran without a disclaimer,34669
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,33273
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,32221
622795374413773,Venstre i Favrskov,Venstre i Favrskov Kommune,32178
121660121250866,Spar Nord Fonden,Spar Nord Fonden,32042
19176473894,IMS (International Media Support),IMS (International Media Support),31561
100836634954174,SletDet,Red Barnet,30977
2186079465008254,Velliv Foreningen,Velliv Foreningen,30717
102589177944454,Fælles handling. Færre sygedage,Beskæftigelsesministeriet,30676
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,30643
408582579294175,UK government,These ads ran without a disclaimer,30547
246977185497434,Plastic Change,Plastic Change,30501
646746285466931,Nye Borgerlige,Nye Borgerlige,30329
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,29311
304554445813,Bolius,Bolius,28561
167891603415958,Lederne,Lederne,28556
199699810115067,Forbrugerrådet Tænk,Forbrugerrådet Tænk,27941
112664272109384,Skagenfood,These ads ran without a disclaimer,27700
98135994249,Diabetesforeningen,Diabetesforeningen,27624
127178647715,Julemærkefonden,Julemærkefonden,27528
59143726810,Psykiatrifonden,These ads ran without a disclaimer,27457
153708144675646,PFA,PFA,27104
359674067377201,BUPL,BUPL,27053
529124290474705,Nikolaj Villumsen,Enhedslisten,26903
190576781304993,Realdania,These ads ran without a disclaimer,26402
187552947958482,Dansk Iværksætter Forening,Dansk Iværksætter Forening,26272
2047554945456852,Climaider,Climaider,26034
114195323371432,Handicap og job,Styrelsen for Arbejdsmarked og Rekruttering,25900
8432708678,Clio,Clio,25609
34290022401,Kristeligt Dagblad,These ads ran without a disclaimer,25575
287306323369,Børnecancerfonden,Børnecancerfonden,24853
111012618953788,Danmarks Iværksætteruge,Dansk Iværksætter Forening,24652
140503649313790,Volkswagen,These ads ran without a disclaimer,24356
398454550257699,Lars Boje Mathiesen,Nye Borgerlige,24295
33588644626,World Animal Protection Danmark,These ads ran without a disclaimer,24287
128700897207990,Europa-Parlamentet i Danmark,Europa-Parlamentet i Danmark,24201
229585537051606,DM Akademikerbladet,Magisterbladet,23727
917531384985846,Anne Lawaetz Arhnung Adm. direktør i Landbrug & Fødevarer,Landbrug & Fødevarer,23076
2071183673144991,Pernille Weiss,Det Konservative Folkeparti,22500
221239504574504,Bo Godt,BeboerBladet,22414
